Country,Indicator,Year,Value
Canada,"Gross domestic product, constant prices (percent change)",1980,2.163
Canada,"Gross domestic product, constant prices (percent change)",1981,3.503
Canada,"Gross domestic product, constant prices (percent change)",1982,-3.166
Canada,"Gross domestic product, constant prices (percent change)",1983,2.562
Canada,"Gross domestic product, constant prices (percent change)",1984,5.899
Canada,"Gross domestic product, constant prices (percent change)",1985,4.738
Canada,"Gross domestic product, constant prices (percent change)",1986,2.121
Canada,"Gross domestic product, constant prices (percent change)",1987,4.072
Canada,"Gross domestic product, constant prices (percent change)",1988,4.411
Canada,"Gross domestic product, constant prices (percent change)",1989,2.337
Canada,"Gross domestic product, constant prices (percent change)",1990,0.203
Canada,"Gross domestic product, constant prices (percent change)",1991,-2.091
Canada,"Gross domestic product, constant prices (percent change)",1992,0.89
Canada,"Gross domestic product, constant prices (percent change)",1993,2.658
Canada,"Gross domestic product, constant prices (percent change)",1994,4.494
Canada,"Gross domestic product, constant prices (percent change)",1995,2.682
Canada,"Gross domestic product, constant prices (percent change)",1996,1.689
Canada,"Gross domestic product, constant prices (percent change)",1997,4.28
Canada,"Gross domestic product, constant prices (percent change)",1998,3.893
Canada,"Gross domestic product, constant prices (percent change)",1999,5.141
Canada,"Gross domestic product, constant prices (percent change)",2000,5.139
Canada,"Gross domestic product, constant prices (percent change)",2001,1.875
Canada,"Gross domestic product, constant prices (percent change)",2002,2.999
Canada,"Gross domestic product, constant prices (percent change)",2003,1.806
Canada,"Gross domestic product, constant prices (percent change)",2004,3.092
Canada,"Gross domestic product, constant prices (percent change)",2005,3.21
Canada,"Gross domestic product, constant prices (percent change)",2006,2.638
Canada,"Gross domestic product, constant prices (percent change)",2007,2.05
Canada,"Gross domestic product, constant prices (percent change)",2008,0.995
Canada,"Gross domestic product, constant prices (percent change)",2009,-2.915
Canada,"Gross domestic product, constant prices (percent change)",2010,3.091
Canada,"Gross domestic product, constant prices (percent change)",2011,3.137
Canada,"Gross domestic product, constant prices (percent change)",2012,1.756
Canada,"Gross domestic product, constant prices (percent change)",2013,2.326
Canada,"Gross domestic product, constant prices (percent change)",2014,2.873
Canada,"Gross domestic product, constant prices (percent change)",2015,0.65
Canada,"Gross domestic product, constant prices (percent change)",2016,1.039
Canada,"Gross domestic product, constant prices (percent change)",2017,3.034
Canada,"Gross domestic product, constant prices (percent change)",2018,2.743
Canada,"Gross domestic product, constant prices (percent change)",2019,1.908
Canada,"Gross domestic product, constant prices (percent change)",2020,-5.038
Canada,"Gross domestic product, constant prices (percent change)",2021,5.951
Canada,"Gross domestic product, constant prices (percent change)",2022,4.189
Canada,"Gross domestic product, constant prices (percent change)",2023,1.529
Canada,"Gross domestic product, constant prices (percent change)",2024,1.555
Canada,"Gross domestic product, constant prices (percent change)",2025,1.153
Canada,"Gross domestic product, constant prices (percent change)",2026,1.541
Canada,"Gross domestic product, constant prices (percent change)",2027,1.88
Canada,"Gross domestic product, constant prices (percent change)",2028,1.685
Canada,"Gross domestic product, constant prices (percent change)",2029,1.731
Canada,"Gross domestic product, constant prices (percent change)",2030,1.635
Canada,"Inflation, average consumer prices (percent change)",1980,10.183
Canada,"Inflation, average consumer prices (percent change)",1981,12.462
Canada,"Inflation, average consumer prices (percent change)",1982,10.803
Canada,"Inflation, average consumer prices (percent change)",1983,5.816
Canada,"Inflation, average consumer prices (percent change)",1984,4.339
Canada,"Inflation, average consumer prices (percent change)",1985,3.951
Canada,"Inflation, average consumer prices (percent change)",1986,4.174
Canada,"Inflation, average consumer prices (percent change)",1987,4.365
Canada,"Inflation, average consumer prices (percent change)",1988,4.031
Canada,"Inflation, average consumer prices (percent change)",1989,4.984
Canada,"Inflation, average consumer prices (percent change)",1990,4.78
Canada,"Inflation, average consumer prices (percent change)",1991,5.626
Canada,"Inflation, average consumer prices (percent change)",1992,1.49
Canada,"Inflation, average consumer prices (percent change)",1993,1.865
Canada,"Inflation, average consumer prices (percent change)",1994,0.166
Canada,"Inflation, average consumer prices (percent change)",1995,2.149
Canada,"Inflation, average consumer prices (percent change)",1996,1.571
Canada,"Inflation, average consumer prices (percent change)",1997,1.621
Canada,"Inflation, average consumer prices (percent change)",1998,0.996
Canada,"Inflation, average consumer prices (percent change)",1999,1.735
Canada,"Inflation, average consumer prices (percent change)",2000,2.719
