date,year,month,month_name,quarter,year_month,price_usd_per_lb,price_usd_per_kg,price_yoy_pct,price_yoy_absolute,price_index_2017,food_cpi_index,cpi_yoy_pct,cpi_yoy_absolute,cpi_index_2017,affordability_index
2017-01-01,2017,1,January,1,2017-01,0.7,1.5432339999999998,,,97.053726169844,248.242,,,99.27102262445851,97.7664212617185
2017-02-01,2017,2,February,1,2017-02,0.695,1.5322108999999997,,,96.36048526863082,248.791,,,99.4905656164616,96.85389229779102
2017-03-01,2017,3,March,1,2017-03,0.692,1.5255970399999998,,,95.94454072790293,249.165,,,99.64012678041267,96.29106648905206
2017-04-01,2017,4,April,2,2017-04,0.686,1.51236932,,,95.11265164644713,249.739,,,99.86966717642318,95.236776426247
2017-05-01,2017,5,May,2,2017-05,0.726,1.6005541199999997,,,100.6585788561525,250.016,,,99.98043841282546,100.67827312431554
2017-06-01,2017,6,June,2,2017-06,0.752,1.65787424,,,104.263431542461,249.653,,,99.83527610663764,104.43546170102589
2017-07-01,2017,7,July,3,2017-07,0.764,1.6843296799999998,,,105.92720970537259,250.214,,,100.05961785256427,105.86409580481717
2017-08-01,2017,8,August,3,2017-08,0.753,1.6600788599999998,,,104.40207972270363,250.493,,,100.17118888128715,104.2236604044208
2017-09-01,2017,9,September,3,2017-09,0.741,1.63362342,,,102.73830155979202,250.993,,,100.37113696143567,102.35841166097966
2017-10-01,2017,10,October,4,2017-10,0.723,1.5939402599999999,,,100.2426343154246,251.364,,,100.51949843690589,99.72456674994744
2017-11-01,2017,11,November,4,2017-11,0.712,1.5696894399999999,,,98.71750433275562,250.871,,,100.32234962987945,98.40031129350079
2017-12-01,2017,12,December,4,2017-12,0.711,1.5674848199999998,,,98.57885615251298,251.238,,,100.46911152070845,98.11857063371576
2018-01-01,2018,1,January,1,2018-01,0.682,1.50355084,-2.571428571428558,-0.03968315999999983,94.5580589254766,252.361,1.6592679723817838,4.119,100.91819490872203,93.69773112866514
2018-02-01,2018,2,February,1,2018-02,0.691,1.5233924199999997,-0.5755395683453179,-0.008818479999999962,95.80589254766029,252.266,1.3967547057570417,3.4749999999999943,100.8802047734938,94.96996240518459
2018-03-01,2018,3,March,1,2018-03,0.682,1.50355084,-1.445086705202303,-0.022046199999999905,94.5580589254766,252.37,1.2862962294062141,3.2050000000000125,100.9217939741647,93.69438968720951
2018-04-01,2018,4,April,2,2018-04,0.685,1.5101647,-0.1457725947521804,-0.0022046199999998795,94.97400346620451,253.209,1.389450586412222,3.469999999999999,101.25730685265393,93.79471607358404
2018-05-01,2018,5,May,2,2018-05,0.698,1.5388247599999998,-3.8567493112947604,-0.061729359999999955,96.77642980935873,253.098,1.2327211058492438,3.082000000000022,101.21291837886095,95.61667755404946
2018-06-01,2018,6,June,2,2018-06,0.689,1.5189831799999998,-8.3776595744681,-0.13889106000000018,95.52859618717503,253.231,1.4331892667021728,3.578000000000003,101.26610456818045,94.3342262394003
2018-07-01,2018,7,July,3,2018-07,0.69,1.5211877999999996,-9.685863874345557,-0.16314188000000018,95.66724436741765,253.746,1.411591677524049,3.5320000000000107,101.47205109073344,94.2794033816018
2018-08-01,2018,8,August,3,2018-08,0.705,1.5542570999999998,-6.3745019920318775,-0.10582175999999999,97.74696707105718,254.077,1.4307785047885657,3.584000000000003,101.60441671979174,96.20346263157755
2018-09-01,2018,9,September,3,2018-09,0.693,1.5278016599999997,-6.477732793522284,-0.10582176000000021,96.08318890814556,254.393,1.3546194515384968,3.4000000000000057,101.73078390644564,94.44848964941255
2018-10-01,2018,10,October,4,2018-10,0.685,1.5101647,-5.25587828492392,-0.08377555999999986,94.97400346620451,254.358,1.1911013510287782,2.9939999999999998,101.71678754083521,93.37102140399023
