id,site,job_url,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,description,company_industry,company_url,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,state
in-d1e83167a88e4678,indeed,https://www.indeed.com/viewjob?jk=d1e83167a88e4678,Software Engineer,Sbt Global,"Irvine, CA, US",2025-11-25,fulltime,direct_data,yearly,80000.0,100000.0,USD,False,,,,"Company Description On-Site Full-Time Salary - $80K-$100K Company Overview SBT Global, Inc specializes in system software development, enterprise resource planning (ERP), customer relationship management (CRM), business intelligence (BI), enterprise information systems (EIS), AI-driven analytics, and SAP-based consulting. SBT Global, Inc. supports U.S. clients by providing advanced enterprise technology solutions, including AI-enhanced analytics, SAP consulting, and CRM integration. Job Description Develop and complete CCS functionalities for personalization services and big-data information services in accordance with approved specifications. Ensure smooth integration of developed software with the existing infotainment platform. Conduct functional, integration, and system-level testing to validate performance and compatibility. Prepare detailed technical documentation for developed features and integrations. Ensure adherence to security, quality, and performance standards throughout the development lifecycle. Provide post-launch support, including bug resolution and performance optimization. Implement requirement changes requested by customers and complete all related JIRA tasks. Qualified applicants may submit a resume and cover letter to - jenniferk@sbtgus.com Qualifications Bachelor's degree in Computer Science, Software Engineering, Information Technology, or a related field. Two (2) year of experience in software development, software integration, or a related engineering field. Preferred Qualifications Experience working with infotainment platforms or related software integration environments. Familiarity with functional testing and system-level integration workflows. Experience preparing technical documentation for engineering deliverables. Experience using JIRA or comparable issue-tracking systems. Ability to meet structured timelines and delivery milestones. Additional Information All your information will be kept confidential according to EEO guidelines.",nan,https://www.indeed.com/cmp/Sbt-Global,nan,nan,,,,,,California
in-d485e107c2874395,indeed,https://www.indeed.com/viewjob?jk=d485e107c2874395,Lighting Designer / Programmer / Operator (Night Clubs & Dance Venues),LITEMAKERS,"Los Angeles, CA, US",2025-11-25,contract,nan,nan,,,nan,False,,,,"Lighting Designer / Programmer / Operator (Independent Contractor) Los Angeles & Inland Empire / Morongo Areas LITEMAKERS, a lighting services company with 10+ years of club, concert, and corporate event clients, is seeking experienced Lighting Designers, Programmers, and Operators for ongoing independent-contractor work. About the work, we support lighting for: &mdash; Nightclubs & dance venues &mdash; Concerts & live music &mdash; Corporate & private events &mdash; Special events and one-offs You'll program, operate, and troubleshoot lighting systems on-site in fast-paced professional environments. Requirements: Solid MA2 & MA3 experience (programming, operation, patching, showfiles) Troubleshooting and safety awareness Professionalism and reliability &mdash; absolutely essential Independent contractor status (1099) Own transportation &mdash; must be able to travel to jobs Good communication and client-facing skills Comfort with nights, weekends, and changing schedules We need people who: Show up on time Can run the board confidently Handle issues without supervision Represent the company well with venues and clients What We Offer: Regular opportunities with established venues and corporate clients A steady flow of varied events (clubs, concerts, casinos, corporate) How to Apply; Forward here your resume and or recent show list, incl. your email and or cell number Tell us about your MA2/MA3 experience level...Let us know your general availability Thank you! Job Type: Contract Work Location: On the road",nan,https://www.indeed.com/cmp/Litemakers,nan,nan,,,,,,California
in-c5b56328e4b79261,indeed,https://www.indeed.com/viewjob?jk=c5b56328e4b79261,Senior Python Fullstack Engineer-5,Realign,"Sunnyvale, CA, US",2025-11-25,contract,nan,nan,,,nan,False,,,,"Job Type: Contract Job Category: IT Job Description Role: Senior Python Fullstack Engineer Location: Sunnyvale, CA We are seeking a Senior Python Fullstack Engineer to design, develop, and deploy scalable web applications and backend services. The role involves building high-performance APIs, integrating Vector Databases, and working across the full stack to deliver robust, secure, and maintainable solutions. Responsibilities: Develop and optimize backend services using Python , Flask , and Django . Design RESTful APIs, implement business logic, and ensure high performance and scalability. Integrate and work with Vector Databases for search and retrieval use cases. Build clean, responsive UI components using HTML/CSS/JavaScript (nice to have). Collaborate with cross-functional teams to design and deliver end-to-end features. Ensure code quality through best practices, testing, and code reviews. Must-Have Skills: Strong experience in Python , Flask , Django , and API development. Hands-on experience with VectorDB (Pinecone, Weaviate, FAISS, etc.). Solid understanding of databases, microservices, and system design. Nice to Have: Knowledge of Core/Advanced Java . Frontend skills: HTML/CSS/JavaScript . Experience with PyTorch and ML-driven features. Required Skills DEVOPS ENGINEER SENIOR EMAIL SECURITY ENGINEER",nan,https://www.indeed.com/cmp/Realign,nan,nan,,,,,,California
in-a7f199d037151364,indeed,https://www.indeed.com/viewjob?jk=a7f199d037151364,Staff Software Engineer,Realign,"Hercules, CA, US",2025-11-25,fulltime,nan,nan,,,nan,False,,,,"Job Type: Full Time Job Category: IT Job Description Role: Staff Software Engineer Location: Hercules, CA FTE As a Staff Software Engineer, you will also provide technical leadership: mentoring junior engineers, driving best practices in code reviews and design discussions, and leading initiatives to modernize our software stack. You'll have the opportunity to introduce modern engineering practices (e.g. continuous integration/continuous delivery for embedded, and advanced testing frameworks.) It is hybrid and requires some time in the lab each week. If you are passionate about building high-quality software that has a direct impact on human health, this role offers a unique blend of hands-on development and technical leadership. How You'll Make An Impact: Develop Embedded Control Software: Design and implement the core C++ control software that drives automated lab instruments, handling everything from device initialization to high-level coordination of subsystems to error handling. Orchestration & Scheduling: Develop and maintain scheduling and orchestration logic to coordinate instrument operations (e.g. sample handling, reagent dispensing, measurements) at high throughput (100+ samples/hour). Ensure timed execution of workflows across multiple embedded controllers. Error Handling & Recovery: Build robust error handling and fault recovery mechanisms. Anticipate error conditions (device faults, step loss, etc.) and implement recovery sequences that allow the instrument to safely continue or gracefully halt with minimal downtime. Firmware/Hardware Integration: Interface with distributed firmware microcontroller boards over a CANopen bus (coordinating 10+ boards). Maintain communication protocols and data models for commands/status and ensure reliable real-time messaging between the main software and firmware subsystems. Cross-Functional Collaboration: Work closely with systems engineering to align software with hardware design, with assay scientists to understand requirements, and with quality/regulatory teams to meet compliance and documentation standards. Coordinate integration activities and troubleshooting across mechanical, electronics, and assay domains. Technical Leadership & Mentoring: Mentor junior and mid-level software engineers by sharing best practices in embedded development, performing design and code reviews, and guiding problem solving. Lead architectural discussions and contribute to design documentation for new features and systems. Lab work: Triaging and troubleshooting hardware/software integration issues, and providing expert technical guidance to cross-functional teams. Testing & Automation: Drive improvements in software quality by expanding integration testing and simulation. Lead the development of hardware simulation frameworks and automated test suites to validate instrument behavior in CI/CD pipelines. Champion the use of continuous integration, unit testing, and other modern DevOps practices to increase software reliability and maintainability. Required Skills DEVOPS ENGINEER SENIOR EMAIL SECURITY ENGINEER",nan,https://www.indeed.com/cmp/Realign,nan,nan,,,,,,California
in-59398f23ef7cb1eb,indeed,https://www.indeed.com/viewjob?jk=59398f23ef7cb1eb,Senior Shopify Frontend Developer - Onsite Only,iCarCover,"Fullerton, CA, US",2025-11-25,fulltime,direct_data,yearly,70000.0,100000.0,USD,False,,,,"Company Overview: We are a fast-growing DTC eCommerce brand in the automotive accessories space, operating on Shopify Plus with high monthly sales volume. As we transition from a headless Next.js frontend to a highly optimized Shopify frontend (or hybrid model), we are looking for a highly experienced Shopify Frontend Developer to take the lead on this migration and help us push performance and scalability to the next level. Job Description: We are seeking a Senior Shopify Frontend Developer with deep expertise in Shopify Plus , Liquid, and storefront customization. The ideal candidate will lead the frontend transition from our current headless setup to either a native Shopify frontend or a high-performance hybrid structure, with a strong focus on speed, scalability, and custom UX. Key Responsibilities: Rebuild our current Next.js headless frontend using Shopify's native theme structure or a hybrid architecture that ensures fast loading and seamless UX. Handle complex product variation logic (up to 7 variations) using Matrixify or equivalent apps. Build dynamic product pages where variation images update live based on selection. Customize layout and theme structure within Shopify to support new UX flows. Collaborate with our design and backend teams to ensure clean integration with existing data. Optimize for Core Web Vitals and Shopify performance benchmarks. Requirements: 7+ years of experience working with Shopify Plus. Strong knowledge of Shopify Liquid, metafields, Hydrogen (optional), and Shopify CLI. Experience migrating from headless (e.g., Next.js) to Shopify native frontend or hybrid setups. Strong front-end skills: HTML, CSS, JavaScript, JSON, GraphQL (optional). Experience integrating third-party Shopify apps (like Matrixify) into custom themes. Ability to modify theme structure and layout for image-based variations. Strong understanding of performance optimization for Shopify storefronts. Excellent communication skills and ability to work independently. Nice to Have: Familiarity with Shopify Hydrogen or Remix. Experience with A/B testing or CRO implementation inside Shopify themes. Experience working with automotive or high-SKU product catalogs. Location: On-site (Fullerton, CA) Job Type: Full-time Pay: $70,000.00 - $100,000.00 per year Application Question(s): How many years of experience do you have with Shopify Liquid? Have you previously handled a restructuring from a headless frontend back to Shopify Liquid? Experience: Shopify: 7 years (Required) Work Location: In person",nan,https://www.indeed.com/cmp/Icarcover,nan,nan,,,,,,California
in-cb89cbd160243e6b,indeed,https://www.indeed.com/viewjob?jk=cb89cbd160243e6b,Senior Software Engineer,ServiceNow,"Santa Clara, CA, US",2025-11-25,fulltime,direct_data,yearly,140700.0,239200.0,USD,True,,,,"Company Description It all started in sunny San Diego, California in 2004 when a visionary engineer, Fred Luddy, saw the potential to transform how we work. Fast forward to today &mdash; ServiceNow stands as a global market leader, bringing innovative AI-enhanced technology to over 8,100 customers, including 85% of the Fortune 500&reg;. Our intelligent cloud-based platform seamlessly connects people, systems, and processes to empower organizations to find smarter, faster, and better ways to work. But this is just the beginning of our journey. Join us as we pursue our purpose to make the world work better for everyone. Job Description What you get to do in this role: Build high-quality, clean, scalable and reusable code by enforcing best practices around software engineering architecture and processes (Code Reviews, Unit testing, etc.) Work with the product owners to understand detailed requirements and own your code from design, implementation, test automation and delivery of high-quality product to our users. Implement software that is simple to use to allow customers to extend and customize the functionality to meet their specific needs Contribute to the design and implementation of new products and features while also enhancing the existing product suite Be a mentor for colleagues and help promote knowledge-sharing Qualifications To be successful in this role you have: Experience in leveraging or critically thinking about how to integrate AI into work processes, decision-making, or problem-solving. This may include using AI-powered tools, automating workflows, analyzing AI-driven insights, or exploring AI's potential impact on the function or industry. 4+ years of experience with Java or a similar OO language Passion for JavaScript and the Web as a platform, reusability, and componentization Experience with data structures, algorithms, object-oriented design, design patterns, and performance/scale considerations Experience with any of the modern UI frameworks like Angular, React or Vue Analytical and design skills FD21 For positions in this location, we offer a base pay of $140,700 - $239,200, plus equity (when applicable), variable/incentive compensation and benefits. Sales positions generally offer a competitive On Target Earnings (OTE) incentive compensation structure. Please note that the base pay shown is a guideline, and individual total compensation will vary based on factors such as qualifications, skill level, competencies, and work location. We also offer health plans, including flexible spending accounts, a 401(k) Plan with company match, ESPP, matching donations, a flexible time away plan and family leave programs. Compensation is based on the geographic location in which the role is located and is subject to change based on work location. Additional Information Work Personas We approach our distributed world of work with flexibility and trust. Work personas (flexible, remote, or required in office) are categories that are assigned to ServiceNow employees depending on the nature of their work and their assigned work location. Learn more here. To determine eligibility for a work persona, ServiceNow may confirm the distance between your primary residence and the closest ServiceNow office using a third-party service. Equal Opportunity Employer ServiceNow is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, national origin or nationality, ancestry, age, disability, gender identity or expression, marital status, veteran status, or any other category protected by law. In addition, all qualified applicants with arrest or conviction records will be considered for employment in accordance with legal requirements. Accommodations We strive to create an accessible and inclusive experience for all candidates. If you require a reasonable accommodation to complete any part of the application process, or are unable to use this online application and need an alternative method to apply, please contact globaltalentss@servicenow.com for assistance. Export Control Regulations For positions requiring access to controlled technology subject to export control regulations, including the U.S. Export Administration Regulations (EAR), ServiceNow may be required to obtain export control approval from government authorities for certain individuals. All employment is contingent upon ServiceNow obtaining any export license or other approval that may be required by relevant export control authorities. From Fortune. &copy;2025 Fortune Media IP Limited. All rights reserved. Used under license.",nan,https://www.indeed.com/cmp/Servicenow,"10,000+",more than $10B (USD),"At ServiceNow, our technology makes the world work for everyone, and our people make it possible.",,,,,California
in-72d98dfa4e43395b,indeed,https://www.indeed.com/viewjob?jk=72d98dfa4e43395b,Senior Staff Machine Learning Engineer,ServiceNow,"Santa Clara, CA, US",2025-11-25,fulltime,direct_data,yearly,197800.0,346200.0,USD,True,,,,"Company Description It all started in sunny San Diego, California in 2004 when a visionary engineer, Fred Luddy, saw the potential to transform how we work. Fast forward to today &mdash; ServiceNow stands as a global market leader, bringing innovative AI-enhanced technology to over 8,100 customers, including 85% of the Fortune 500&reg;. Our intelligent cloud-based platform seamlessly connects people, systems, and processes to empower organizations to find smarter, faster, and better ways to work. But this is just the beginning of our journey. Join us as we pursue our purpose to make the world work better for everyone. Job Description What you get to do in this role: Please note that this role requires you to be in our Santa Clara office for two days per week. PLATO (Platform Engineering and AI Technology Organization) at ServiceNow is a customer-focused innovative group building intelligent software using a variety of technology stacks to enable end-to-end, industry-leading work experiences for our customers. We are a group of people deeply invested in the success of our customers that happen to have expertise and knowledge in advanced technologies and software engineering best practices. We are data driven, structured, committed and we enjoy what we are doing. We prioritize robustness, performance and user experience over the technology stack and tools. We are a group of technology professionals and platform engineers with a dual mission. We build and evolve the AI platform, and partner with teams to build products and end-to-end AI-powered work experiences. In equal measure, we lay the foundations, research, experiment, and de-risk AI technologies that unlock new work experiences in the future. As a Senior Staff Machine Learning Engineer you will: Contribute to the design, development and implementation of infrastructure, platform, deployment and observability features that power AI workloads. Collaborate with researchers, AI engineers, and infrastructure teams to ensure our GPU clusters perform efficiently, scale well, and remain reliable. Contribute to the continuous improvement of the SRE practice by turning operational use cases into requirements for software tooling. Contribute to the execution of deployment and support activities for AI/ML developers; Build high-quality, clean, scalable and reusable code by enforcing best practices around software engineering architecture and processes (Code Reviews, Unit testing, etc.); Work with the product owners to understand detailed requirements and own your code from design, implementation, test automation and delivery of high-quality product to our users; Experience with operating LLMs on NVIDIA GPUs. Be a mentor for colleagues and help promote knowledge-sharing. Qualifications To be successful in this role you have: Experience in leveraging or critically thinking about how to integrate AI into work processes, decision-making, or problem-solving. This may include using AI-powered tools, automating workflows, analyzing AI-driven insights, or exploring AI's potential impact on the function or industry. Proficient in prompt engineering and developing LLM based features Experience with methods of training and fine tuning large language models, such as distilation, supervised fine-tunning and policy optimization Experience in using AI productivity tools such as Cursor, Windsurf, etc 6+ years of development experience with Python, GoLang, Java or similar languages; 8+ years of experience with infrastructure and platform operations, deployments, SRE, and DevOps with a continued focus on improving Platform health; 6+ years of experience operating highly-available distributed workloads on Kubernetes following a DevOps approach. Experience with DevOps tooling (e.g. Helm / Ansible / Kubernetes / Prometheus /Splunk/ GitLab CI); Strong working experience operating distributed systems built on Linux and J2EE; Experience with software-defined networking, infrastructure as code and configuration management; Experience building software for compliance and security in regulated environments Ability to drive outcome in projects with material technical risk. Additional information For positions in this location, we offer a base pay of $197,800 - $346,200, plus equity (when applicable), variable/incentive compensation and benefits. Sales positions generally offer a competitive On Target Earnings (OTE) incentive compensation structure. Please note that the base pay shown is a guideline, and individual total compensation will vary based on factors such as qualifications, skill level, competencies, and work location. We also offer health plans, including flexible spending accounts, a 401(k) Plan with company match, ESPP, matching donations, a flexible time away plan and family leave programs. Compensation is based on the geographic location in which the role is located and is subject to change based on work location. Additional Information Work Personas We approach our distributed world of work with flexibility and trust. Work personas (flexible, remote, or required in office) are categories that are assigned to ServiceNow employees depending on the nature of their work and their assigned work location. Learn more here. To determine eligibility for a work persona, ServiceNow may confirm the distance between your primary residence and the closest ServiceNow office using a third-party service. Equal Opportunity Employer ServiceNow is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, national origin or nationality, ancestry, age, disability, gender identity or expression, marital status, veteran status, or any other category protected by law. In addition, all qualified applicants with arrest or conviction records will be considered for employment in accordance with legal requirements. Accommodations We strive to create an accessible and inclusive experience for all candidates. If you require a reasonable accommodation to complete any part of the application process, or are unable to use this online application and need an alternative method to apply, please contact globaltalentss@servicenow.com for assistance. Export Control Regulations For positions requiring access to controlled technology subject to export control regulations, including the U.S. Export Administration Regulations (EAR), ServiceNow may be required to obtain export control approval from government authorities for certain individuals. All employment is contingent upon ServiceNow obtaining any export license or other approval that may be required by relevant export control authorities. From Fortune. &copy;2025 Fortune Media IP Limited. All rights reserved. Used under license.",nan,https://www.indeed.com/cmp/Servicenow,"10,000+",more than $10B (USD),"At ServiceNow, our technology makes the world work for everyone, and our people make it possible.",,,,,California
in-5799bd1020b8e36a,indeed,https://www.indeed.com/viewjob?jk=5799bd1020b8e36a,Senior Application Programmer – Mainframe Systems,Delvix,"Downey, CA, US",2025-11-25,contract,direct_data,yearly,104000.0,124800.0,USD,False,,,,"Senior Application Programmer &ndash; Mainframe Systems Type: Onsite Job Summary We are seeking a highly experienced Senior Application Programmer &ndash; Mainframe Systems to lead and support complex IT application initiatives. The ideal candidate will be responsible for the design, development, testing, implementation, and maintenance of new and existing mainframe applications. This role requires deep expertise in COBOL, IMS, DB2, CICS, and related mainframe tools in a large enterprise environment. Key Responsibilities Lead and participate in complex mainframe applications design, development, modification, and support. Analyze and refine system requirements and translate them into functional application prototypes. Plan and design systems and applications architecture for new and existing platforms. Write, debug, optimize, and maintain high-quality code within a mainframe environment. Develop user interfaces and determine output formats/media. Perform software quality checks, system integration, and functional testing. Collaborate with business users to conduct application testing and ensure operational readiness. Integrate software and hardware components as required. Prepare and maintain comprehensive technical documentation. Evaluate and recommend new application software tools and technologies. Ensure compliance with information security and information assurance standards throughout the development lifecycle. Provide production support, troubleshooting, and performance optimization as needed. Required Skills & Knowledge Strong understanding of application software development principles, methodologies, and best practices. Experience with structured system design, scalability, reliability, and maintainability. Hands-on knowledge of database concepts including data structures, modeling, warehousing, and transaction processing. Familiarity with systems engineering principles and enterprise infrastructure requirements. Ability to communicate effectively, prepare technical reports, and work collaboratively with cross-functional teams. Working knowledge of government regulations and compliance requirements related to system applications. Preferred Technical Skills Strong technical background with: IMS, JCL, CICS, SPUFI COBOL and DB2 Experience working in a large-scale mainframe environment preferred. Experience Requirements Minimum 7 years of hands-on experience in electronic data processing systems design and programming, with experience in one or more of the following: Languages COBOL, Natural/SuperNatural, IMS/DB/DC, DB2/SQL, Assembler, SAS, CICS, MF FOCUS Tools/Utilities MVS JCL, TSO/ISPF, IBM OPTIM, File Manager, SPUFI, ICEMAN/ICETOOLS, SORT, VSAM, CLIST, FTP, DYL260/280 CA Tools: Endevor, Spool, OM Web Viewer, Gen (CoolGen) IBM WebSphere, Debugger, N2O Databases DB2, IMS, ADABAS, FOCUS Operating System z/OS Other EntireX, ASP, HTML, Cloverleaf Preferred Experience Hands-on experience with IMS/DB2/COBOL/CICS programming in enterprise mainframe environments. Education Requirements Bachelor's degree in Computer Science, Information Technology, or a related field. Equivalent experience may substitute for formal education on a year-for-year basis. Job Type: Contract Pay: $50.00 - $60.00 per hour Work Location: In person",nan,https://www.indeed.com/cmp/Delvix,nan,nan,,,,,,California
in-fd3735e1c6a95d1b,indeed,https://www.indeed.com/viewjob?jk=fd3735e1c6a95d1b,Senior Full Stack Engineer,Tech Magnetics,"Newark, CA, US",2025-11-25,contract,nan,hourly,,,USD,False,,,,"Job Overview We are seeking a highly experienced Senior Software Engineer with strong expertise in full-stack development, large-scale system design, and production-grade software delivery. The ideal candidate will be responsible for designing, developing, optimizing, and maintaining both business and system-level applications. This role requires deep technical knowledge, strong analytical skills, and the ability to collaborate effectively with cross-functional teams. Key Responsibilities Design, develop, implement, test, and maintain complex business and system-level software applications. Build and maintain React-based component libraries and reusable UI frameworks. Optimize software implementations for performance, scalability, and reliability. Gather and analyze requirements and translate them into detailed technical specifications. Implement, customize, and deploy system software as per client and project needs. Review enhancement requests and design updates, ensuring compliance with overall architecture. Write clean, efficient, and maintainable code following industry best practices and coding standards. Create technical documentation, design specifications, and comprehensive test plans. Conduct unit testing, debugging, and troubleshooting for both new and legacy systems. Perform quality assurance reviews and post-implementation verification. Collaborate with cross-functional teams (QA, UX, product, and stakeholders) to ensure successful project delivery. Qualifications 12+ years of hands-on software development experience with a focus on large-scale system design. Strong foundation in computer science: data structures, algorithms, object-oriented programming, and architecture principles. Extensive experience with the following technologies: (React, TypeScript, Node.js, Java, MongoDB, MERN stack) Proven ability to diagnose complex technical issues and deliver stable, production-ready solutions. Experience customizing system software, creating test data, writing both detailed test plans, and conducting thorough unit testing. Strong communication, analytical thinking, and problem-solving skills. Preferred Skills Experience working with cloud environments (AWS, Azure, GCP). Knowledge of DevOps tools, CI/CD pipelines, and automation processes. Familiarity with microservices architecture and containerization (Docker/Kubernetes). Job Type: Contract Pay: $75.00 per hour Expected hours: 40 per week Benefits: 401(k) Health insurance Application Question(s): Please note that this role falls under non-sponsor/transfer visa compliance, and the company is unable to provide H1B sponsorship, H1B transfers, or new work visa support at this time. We kindly request that candidates requiring employer-sponsored visas (such as H1B or TN) refrain from applying, as we are unable to accommodate these visa types for this position. Experience: Software development: 10 years (Required) Strong full-stack skills: React, TypeScript, Node.js, MERN: 8 years (Required) Solid Java backend: 7 years (Required) Strong CS fundamentals (DSA & architecture).: 7 years (Preferred) Strong unit testing, debugging, and documentation skills.: 6 years (Preferred) Ability to Commute: Newark, CA 94560 (Required) Work Location: In person",nan,https://www.indeed.com/cmp/Tech-Magnetics,nan,nan,,,,,,California
in-a2f737af45856596,indeed,https://www.indeed.com/viewjob?jk=a2f737af45856596,Senior Software Automation/Test Engineer,Palo Alto Networks,"Santa Clara, CA, US",2025-11-25,fulltime,direct_data,yearly,126000.0,200000.0,USD,False,,,,"Company Description Our Mission At Palo Alto Networks&reg; everything starts and ends with our mission: Being the cybersecurity partner of choice, protecting our digital way of life. Our vision is a world where each day is safer and more secure than the one before. We are a company built on the foundation of challenging and disrupting the way things are done, and we're looking for innovators who are as committed to shaping the future of cybersecurity as we are. Who We Are We believe collaboration thrives in person. That's why most of our teams work from the office full time, with flexibility when it's needed. This model supports real-time problem-solving, stronger relationships, and the kind of precision that drives great outcomes. Job Description Your Career At Palo Alto Networks, we're not just building products &mdash; we're redefining what's possible in cybersecurity. As a Sr Staff SDET Engineer, you'll play a critical role in our mission to secure the world's digital transformation. Your work will directly impact the quality and reliability of the solutions that protect global enterprises every day. If you're passionate about driving quality at scale and want to be part of a team that's leading the charge in cloud security innovation, we want to hear from you. Why Cortex Cloud? Market Leader &ndash; Be part of the fastest-growing cloud security platform, trusted by leading organizations around the globe, and help ensure its quality scales with its success. Innovative Culture &ndash; Collaborate with top minds in cybersecurity and automation, where your ideas for smarter, faster, and more secure testing will be valued and implemented. Massive Impact &ndash; Your work as an SDET will directly contribute to protecting the world's most critical digital assets by ensuring our solutions are secure, stable, and nproduction-ready. Rapid Growth &ndash; Join a high-velocity team where career growth and impact go handnin hand. As we scale, you'll have opportunities to take ownership, lead initiatives, and grow your technical expertise. Job description Own the testing activity of features or areas, encompassing test coverage, efficiency, planning, execution, automation test failure triaging, and continuous improvement such as customer bug RCA. Analyze complex defects and issues, guiding the isolation of root causes found during and after software release. Collaborate closely with engineering, Product Management, UX, Documentation, DevOps, Customer engineers, and other teams throughout the product development lifecycle from requirements to release. Take responsibility for feature quality, becoming the go-to expert for testing-related activities in your area/feature. Conduct root cause analysis on production issues and develop improvement plans. Drive test design and strategy for high-impact and priority features. Design and develop test plans and test strategies for complex new features. Manage the complexity of Cloud platforms and test data design. Estimate work effort and ensure tasks are on track. Address challenges or risks effectively with stakeholders. Design, implement, and continuously improve test automation efficiency to boost the testing team's productivity. Apply a consistent test design methodology when developing testing automation. Design, develop, and maintain test automation tools and utilities for both Backend and UI. Define, develop, and maintain complex testbed environments. Build and maintain test automation frameworks, create robust scripts supporting various reporting needs, troubleshoot failures, integrate with bug-tracking systems, and work seamlessly with CI/CD for cloud-based products. Be a self-motivated, independent, and proactive engineer responsible for qualifying Palo Alto Networks products with public and private cloud solutions. Design and develop Backend, UI, and end-to-end automated tests for both regression and progression features in our products Qualifications Your Experience 8+ years of hands-on experience in enterprise-level software testing. Bachelor's degree in Engineering, majoring in Computer Science or Information Technology. Proficient in at least one programming language, with a preference for Python. Proven experience with automation frameworks like Pytest (preferred) and Selenium. Experienced in working with complex automation frameworks and executing detailed test plans. Significant domain knowledge of cloud environments such as AWS and Azure; familiarity with GCP is advantageous. Capable of analyzing complex issues, identifying root causes, and providing robust automation solutions. In-depth experience with CI/CD processes and tools, particularly Jenkins and Gitlab, for cloud-based SaaS products. Demonstrated experience in developing test frameworks and tools from scratch, with a strong focus on continuous improvement. Excellent verbal and written communication skills in English, capable of articulating complex concepts clearly and concisely. Additional Information Compensation Disclosure The compensation offered for this position will depend on qualifications, experience, and work location. For candidates who receive an offer at the posted level, the starting base salary (for non-sales roles) or base salary + commission target (for sales/commissioned roles) is expected to be between $126000 - $200000. The offered compensation may also include restricted stock units and a bonus. A description of our employee benefits may be found here. Our Commitment We're problem solvers that take risks and challenge cybersecurity's status quo. It's simple: we can't accomplish our mission without diverse teams innovating, together. We are committed to providing reasonable accommodations for all qualified individuals with a disability. If you require assistance or accommodation due to a disability or special need, please contact us at accommodations@paloaltonetworks.com. Palo Alto Networks is an equal opportunity employer. We celebrate diversity in our workplace, and all qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or other legally protected characteristics. All your information will be kept confidential according to EEO guidelines.",nan,https://www.indeed.com/cmp/Palo-Alto-Networks,"10,000+",$5B to $10B (USD),Your career will have a global impact: one that protects our way of life in the digital age by preventing successful cyberattacks.,,,,,California
