id,site,job_url,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,description,company_industry,company_url,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,state,parsed_skills
in-73859d9c92b45d75,indeed,https://www.indeed.com/viewjob?jk=73859d9c92b45d75,Software Engineer I,Uber,"Sunnyvale, CA, US",2025-11-19,fulltime,direct_data,yearly,150000.0,158000.0,USD,False,,,,"About the Role At Uber, we provide a centralized, reliable, and interactive observability data platform that includes metrics, logging, and tracing. This platform empowers engineers with the tools needed for monitoring, troubleshooting, and performing root cause analysis at scale. The Logging team, a core component of this platform, is responsible for delivering a cutting-edge centralized Logging Platform at Uber's scale. Our system ingests over 35 million log events per second in near real time and handles over 18 petabytes of data available for search, over 20 trillion records. As Uber continues to grow, our system evolves to meet increasing demands. Beyond solving the inherent challenges of large-scale distributed systems-such as scalability, availability, performance, and efficiency-we also focus on providing intelligent insights that identify issues before they impact our customers, ensuring a seamless experience for millions of users worldwide. We are a dynamic, agile team with members from diverse backgrounds. We dream big, aim high, and execute with precision. Join us to tackle challenging large-scale distributed system problems and raise the bar of observability for Uber. What the Candidate Will Need / Bonus Points - What the Candidate Will Do - Design system architecture, own key components to deliver a centralized logging system for Uber. Join on call rotation, driving continuous improvements on system availability, scalability, performance and efficiency. Collaborate with other infrastructure teams, production engineer team and product manager to drive adoption and best practices, and to design and implement high impact, cross-product features. - Basic Qualifications - BS or higher degree in Computer Science, or a related technical discipline, or equivalent experience. Proficient in one or more backend languages, like Java, Go, C/C++, C#, with the ability to pick up new ones quickly. Strong problem solving skills, with relevant experience in designing and implementing distributed backend services - Preferred Qualifications - Batch and stream data processing experience is a big plus Experience building user interfaces with TypeScript is a big plus Experience with OpenTelemetry, Prometheus, Influx and/or building and operating monitoring infrastructure. Under the hood experience with Apache Lucene, ElasticSearch, OpenSearch and other Search technologies is a plus Proven record of building and operating highly reliable distributed systems at scale For New York, NY-based roles: The base salary range for this role is USD$150,000 per year - USD$158,000 per year. For San Francisco, CA-based roles: The base salary range for this role is USD$150,000 per year - USD$158,000 per year. For Seattle, WA-based roles: The base salary range for this role is USD$150,000 per year - USD$158,000 per year. For Sunnyvale, CA-based roles: The base salary range for this role is USD$150,000 per year - USD$158,000 per year. For all US locations, you will be eligible to participate in Uber's bonus program, and may be offered an equity award & other types of comp. You will also be eligible for various benefits. More details can be found at the following link https://www.uber.com/careers/benefits.",nan,https://www.indeed.com/cmp/Uber,"10,000+",more than $10B (USD),We reimagine the way the world moves for the better.,,,,,California,"agile, c, c#, c++, distributed systems, elasticsearch, go, java, prometheus, scalability, typescript"
in-69b7d06fce104183,indeed,https://www.indeed.com/viewjob?jk=69b7d06fce104183,Software Engineer I,Uber,"San Francisco, CA, US",2025-11-19,fulltime,direct_data,yearly,150000.0,158000.0,USD,False,,,,"About the Role At Uber, we provide a centralized, reliable, and interactive observability data platform that includes metrics, logging, and tracing. This platform empowers engineers with the tools needed for monitoring, troubleshooting, and performing root cause analysis at scale. The Logging team, a core component of this platform, is responsible for delivering a cutting-edge centralized Logging Platform at Uber's scale. Our system ingests over 35 million log events per second in near real time and handles over 18 petabytes of data available for search, over 20 trillion records. As Uber continues to grow, our system evolves to meet increasing demands. Beyond solving the inherent challenges of large-scale distributed systems-such as scalability, availability, performance, and efficiency-we also focus on providing intelligent insights that identify issues before they impact our customers, ensuring a seamless experience for millions of users worldwide. We are a dynamic, agile team with members from diverse backgrounds. We dream big, aim high, and execute with precision. Join us to tackle challenging large-scale distributed system problems and raise the bar of observability for Uber. What the Candidate Will Need / Bonus Points - What the Candidate Will Do - Design system architecture, own key components to deliver a centralized logging system for Uber. Join on call rotation, driving continuous improvements on system availability, scalability, performance and efficiency. Collaborate with other infrastructure teams, production engineer team and product manager to drive adoption and best practices, and to design and implement high impact, cross-product features. - Basic Qualifications - BS or higher degree in Computer Science, or a related technical discipline, or equivalent experience. Proficient in one or more backend languages, like Java, Go, C/C++, C#, with the ability to pick up new ones quickly. Strong problem solving skills, with relevant experience in designing and implementing distributed backend services - Preferred Qualifications - Batch and stream data processing experience is a big plus Experience building user interfaces with TypeScript is a big plus Experience with OpenTelemetry, Prometheus, Influx and/or building and operating monitoring infrastructure. Under the hood experience with Apache Lucene, ElasticSearch, OpenSearch and other Search technologies is a plus Proven record of building and operating highly reliable distributed systems at scale For New York, NY-based roles: The base salary range for this role is USD$150,000 per year - USD$158,000 per year. For San Francisco, CA-based roles: The base salary range for this role is USD$150,000 per year - USD$158,000 per year. For Seattle, WA-based roles: The base salary range for this role is USD$150,000 per year - USD$158,000 per year. For Sunnyvale, CA-based roles: The base salary range for this role is USD$150,000 per year - USD$158,000 per year. For all US locations, you will be eligible to participate in Uber's bonus program, and may be offered an equity award & other types of comp. You will also be eligible for various benefits. More details can be found at the following link https://www.uber.com/careers/benefits.",nan,https://www.indeed.com/cmp/Uber,"10,000+",more than $10B (USD),We reimagine the way the world moves for the better.,,,,,California,"agile, c, c#, c++, distributed systems, elasticsearch, go, java, prometheus, scalability, typescript"
in-fa21bcf0452b8477,indeed,https://www.indeed.com/viewjob?jk=fa21bcf0452b8477,Full Stack Software Engineer,SpaceX,"Hawthorne, CA, US",2025-11-19,nan,direct_data,yearly,120000.0,170000.0,USD,True,,,,"SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today SpaceX is actively developing the technologies to make this possible, with the ultimate goal of enabling human life on Mars. FULL STACK SOFTWARE ENGINEER The application software team is the central nervous system of SpaceX &ndash; we create mission critical applications that are used throughout SpaceX to accelerate launch vehicle production and flight as well as systems that allow Starlink to grow into a worldwide fast, reliable Internet service. We are looking for engineers who treat fellow teammates with fairness, respect, and support. Our team is currently creating and evolving systems to enable rapid build and reuse of Starship as well as designing the next generation manufacturing software that will be used in high throughput factories for Starlink. Other applications range from platforms that support concurrent streams of data from many always-on assets to manage the world's largest satellite constellation to public facing systems where customers can join our Starlink network globally. We work closely with engineers throughout the company to create and update our systems with respect to crewed launches, Starship flights, changes to the Starlink network and much more. Aerospace experience is not required to be successful here - rather we look for smart, motivated, respectful, collaborative engineers who love solving problems and want to make an impact on a super inspiring mission. You will have full ownership of challenging problems, working with a team of enthusiastic engineers with diverse perspectives to design and produce solutions that enable SpaceX to move towards our goals at a rapid pace. The success of the missions at SpaceX depends on the software that you and your team produce. RESPONSIBILITIES: Develop highly reliable software solutions that are used across SpaceX Create new applications that improve how SpaceX operates Build prototypes to prove out key design concepts and quantify technical constraints Own all aspects of software engineering and product development Deep dive into your users' problems to find and create efficient solutions Bring your voice to the table in team collaborations on architecture, design, and code reviews BASIC QUALIFICATIONS: Bachelor's degree in computer science, engineering, math, or scientific discipline; OR 2+ years of professional experience building software in lieu of a degree 1+ years of experience in full stack development PREFERRED SKILLS AND EXPERIENCE: Programming experience in Python, C#.NET, Go, Scala, Java, or similar object-oriented language 1+ years of rigorous experience building single page web applications Experience with version control, continuous integration, and continuous delivery concepts Expertise in designing software systems Deep understanding of testing, continuous integration, build, deployment & monitoring Expertise in profiling and improving application performance Experience with build systems (Make, Bazel/Pants/Buck, Gradle) and package management tools (pip, npm) Experience with UNIX-like operating systems and tools like Terraform, Ansible, Puppet for managing them Experience working with in-stream data processing using Apache Kafka, RabbitMQ, ActiveMQ, or similar technologies Production experience with Docker and Kubernetes Front-end experience in Angular, React, or similar JavaScript framework Database experience with PostgreSQL, SQL Server, or similar database technologies ADDITIONAL REQUIREMENTS: You may be asked to work extended hours/weekends dependent on launch cadence This role requires you to be onsite. Remote and/or hybrid work will not be considered COMPENSATION AND BENEFITS: Pay Range: Software Engineer/Level I: $120,000.00 - $145,000.00/per year Software Engineer/Level II: $140,000.00 - $170,000.00/per year Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Employees accrue paid sick leave pursuant to Company policy which satisfies or exceeds the accrual, carryover, and use requirements of the law. ITAR REQUIREMENTS: To conform to U.S. Government export regulations, applicant must be a (i) U.S. citizen or national, (ii) U.S. lawful, permanent resident (aka green card holder), (iii) Refugee under 8 U.S.C. &sect; 1157, or (iv) Asylee under 8 U.S.C. &sect; 1158, or be eligible to obtain the required authorizations from the U.S. Department of State. Learn more about the ITAR here. SpaceX is an Equal Opportunity Employer; employment with SpaceX is governed on the basis of merit, competence and qualifications and will not be influenced in any manner by race, color, religion, gender, national origin/ethnicity, veteran status, disability status, age, sexual orientation, gender identity, marital status, mental or physical disability or any other legally protected status. Applicants wishing to view a copy of SpaceX's Affirmative Action Plan for veterans and individuals with disabilities, or applicants requiring reasonable accommodation to the application/interview process should reach out to EEOCompliance@spacex.com .",Aerospace And Defense,https://www.indeed.com/cmp/Spacex,"1,001 to 5,000",$100M to $500M (USD),"SpaceX designs, manufactures and launches the world's most advanced rockets and spacecraft.",,,,,California,"ansible, docker, go, java, javascript, kafka, kubernetes, postgresql, python, scala, sql, terraform, unix"
in-2f2c09797e87dcd2,indeed,https://www.indeed.com/viewjob?jk=2f2c09797e87dcd2,Senior .NET Software Developer,Quake Global,"San Diego, CA, US",2025-11-19,fulltime,direct_data,yearly,150000.0,170000.0,USD,False,,,,"We are seeking a motivated and talented individual to join our team as a Senior .Net Software Developer . In this role, you will design and develop distributed microservices for Quake Global's IoT asset management platform. You will work with event-driven architecture, message-driven systems, and modern .NET technologies to build scalable, cloud-native solutions. You will be a good fit if you have deep expertise in microservices architecture, learn new skills quickly, and work well independently and as a part of a team to build quality solutions. DUTIES AND RESPONSIBILITIES: Design, implement, and test distributed microservices for Quake Global's IoT asset management platform. Architect and develop event-driven systems using message-driven architecture patterns. Build RESTful APIs and asynchronous message handlers for microservices communication. Implement authentication, authorization, and security patterns using enterprise identity providers. Design and optimize database schemas, Entity Framework Core models, and data access patterns. Work with the team on coding, specification development, integration testing, and code coverage generation. Deploy and maintain containerized applications on Kubernetes infrastructure. Implement comprehensive health checks, monitoring, and observability solutions. Debug distributed systems issues, document solutions, and follow software documentation processes. Work closely with systems engineers and other teams in developing the product. Perform other related duties as assigned by management. QUALIFICATIONS: REQUIRED EXPERIENCE (8+ years): Core Backend Technologies: Expert-level C# development with .NET 6/8/9 (latest versions) ASP.NET Core Web API development with RESTful design patterns Swagger/OpenAPI specification and API documentation Entity Framework Core (code-first migrations, query optimization, performance tuning) SQL Server (database design, stored procedures, performance optimization) Strong knowledge of OOP, SOLID principles, and design patterns Message-Driven Architecture & Microservices (CRITICAL): MassTransit or NServiceBus for message-driven architecture RabbitMQ message broker (publish/subscribe, competing consumers, message patterns) Event-driven architecture (commands, events, CQRS patterns) Distributed systems patterns (eventual consistency, idempotency, distributed locking, saga patterns) Service-to-service communication and integration patterns Microservices decomposition and bounded contexts Testing & Quality Assurance: Integration testing with TestContainers or similar frameworks xUnit, NUnit, or MSTest testing frameworks Mocking frameworks (Moq, NSubstitute) Code coverage tools and quality metrics Test-driven development (TDD) or behavior-driven development (BDD) practices Observability & Operations: Structured logging with Serilog or similar frameworks Health check endpoint implementation and monitoring Application Performance Monitoring (APM) tools Troubleshooting distributed systems issues HIGHLY DESIRABLE: Experience with Refit or RestSharp for HTTP client abstractions Knowledge of Jira, Confluence, or similar project management tools Redis for distributed caching and session management Docker containerization (multi-stage builds, optimization, Alpine Linux) Kubernetes deployment and management (manifests, ConfigMaps, Secrets, Services, health checks) NICE TO HAVE: Authentication & Security: Keycloak, Auth0, IdentityServer, or enterprise OAuth2/OIDC providers JWT token validation and claims-based authorization Role-based access control (RBAC) and resource-based authorization API security best practices Infrastructure & DevOps: GitLab CI/CD or GitHub Actions for automated pipelines Version control with Git (branching strategies, pull requests, code reviews) Report generation libraries (QuestPDF, ClosedXML, CsvHelper) ELK Stack (Elasticsearch, Logstash, Kibana) or similar logging infrastructure Experience with IoT device integration and RFID/barcode systems Job Type: Full-time Pay: $150,000.00 - $170,000.00 per year Benefits: 401(k) 401(k) matching Dental insurance Employee assistance program Flexible schedule Flexible spending account Health insurance Health savings account Life insurance Paid time off Referral program Vision insurance Application Question(s): What is your desired base salary? Education: Bachelor's (Required) Experience: C# in .Net: 8 years (Required) Location: San Diego, CA 92123 (Required) Work Location: In person",Telecommunications,https://www.indeed.com/cmp/Quake-Global,51 to 200,$25M to $100M (USD),"Quake Global is a fast-moving wireless design and manufacturing company that is fortunate to have a tremendous set of core technologies, a highly talented team and strong leadership.",,,,,California,"api development, c, c#, ci/cd, communication, confluence, design patterns, distributed systems, docker, elasticsearch, git, github, gitlab, jira, kubernetes, linux, microservices, oop, project management, redis, sql"
in-0385cbec5a1b7c69,indeed,https://www.indeed.com/viewjob?jk=0385cbec5a1b7c69,Android IOT Cloud Engineer,Rapid Eagle Inc,"Sunnyvale, CA, US",2025-11-19,fulltime,direct_data,yearly,135200.0,176800.0,USD,False,,,,"Benefits: 401(k) matching Dental insurance Health insurance Android IOT Cloud Engineer San Jose, CA Onsite Backend / Cloud development &times; Connected Vehicle / Embedded systems Cloud & API Integration Strong experience with RESTful and/or GraphQL APIs Authentication methods: OAuth 2.0, JWT. Data formats: JSON, protobuf. Experience with third-party SDKs and API lifecycle management. Understanding of cloud-to-vehicle communication patterns (MQTT, WebSocket, HTTP/HTTPS). Programming Languages C++ (for applet framework side) Python, Go, or Node.js for cloud services or integration scripts Java/Kotlin if Android Automotive is part of the stack Cloud Platforms Familiarity with at least one major platform: AWS (IoT Core, Lambda, API Gateway) Azure IoT Hub Google Cloud IoT / Firebase Understanding of vehicle-cloud security, certificates, and OTA mechanisms. Android context: Kotlin and Java main languages for Android development. C++ (JNI) for low-level integrations or performance-critical components. Python/Node.js/Go optional, for backend or integration tools. Integrating with third-party cloud services (Spotify, Alexa, Google APIs, weather, etc.). Familiarity with API design and OpenAPI/Swagger specs. Understanding data synchronization, state management, and offline handling. Optional but valuable: experience with Firebase, AWS, or Azure for managing connected services. Nice to have Experience with Android Automotive Companion App (mobile-to-car integration). Knowledge of CarPlay / Android Auto integration boundaries. Experience building headless Android services for background sync or event handling. Familiarity with Google Automotive Services (GAS) certification requirements. Job responsibilities Develop cloud-based third-party integrations and leverage our applets framework to represent third-party functionalities in the vehicle. Integrate external cloud APIs (Spotify, weather, navigation, payment services, etc.) Bridge cloud backends and in-vehicle applets (the same framework from the previous role). Possibly handle data synchronization, authentication, and OTA updates. Android context: Building Android services, apps, or applets that integrate cloud APIs (music, weather, payments, voice assistants, etc.). Implementing data flow between cloud services and Android Automotive components (CarService, HMI, Vehicle HAL). Possibly contributing to an in-vehicle framework or SDK that allows other teams to integrate new cloud-based features safely.",nan,https://www.indeed.com/cmp/Rapid-Eagle-Inc,nan,nan,,,,,,California,"aws, azure, c++, communication, go, java, json, kotlin, lambda, python"
in-e631c6f9efa67b8f,indeed,https://www.indeed.com/viewjob?jk=e631c6f9efa67b8f,Lead Manufacturing Test Engineer – Python,Red Oak Technologies,"San Francisco, CA, US",2025-11-19,fulltime,direct_data,yearly,130000.0,150000.0,USD,False,,,,"Lead / Senior Manufacturing Test Software Engineer (Python) Location: San Francisco, CA (On-site) About the Role Red Oak Technologies is partnering with a leading LiDAR technology company to hire a hands-on technical lead for production test software. This role is ideal for candidates with strong Python expertise and experience in manufacturing test environments. We are considering both senior and lead-level engineers who are ready to guide a small team while remaining actively involved in coding and test development. Position Overview As the Lead Manufacturing Test Engineer , you will develop, maintain, and enhance production test software for high-volume LiDAR sensor manufacturing. You will work closely with cross-functional teams to ensure test coverage, optimize throughput, and support the transition of products from development to production. This position requires a mix of technical leadership and hands-on development using Python. Key Responsibilities Design, implement, and maintain production test software using Python for LiDAR sensors and subassemblies. Lead a small team of Test Engineers, providing mentorship in both technical and soft skills. Collaborate with development, QA, and manufacturing teams to improve test strategies and coverage. Optimize test processes to reduce cycle time, improve data quality, and increase production efficiency. Apply best practices in coding standards, version control, CI/CD pipelines, and automated testing. Track project progress, report risks, and recommend solutions to management. Support contract manufacturing sites occasionally (<10% travel). Work full-time onsite in San Francisco, CA. Qualifications Strong Python development experience (minimum 5 years). Familiarity with CI/CD tools, GitLab/Jenkins, and SQL database design. Experience in debugging, data collection, and analysis for hardware/software test systems. Skilled in using project tracking tools such as Jira or Confluence. Proven track record delivering results in fast-paced technical environments. Excellent organizational and multitasking abilities. Prior experience in technical leadership or people management (3+ years preferred). Experience testing electro-mechanical assemblies is highly desired. Exposure to production test software development for high-volume manufacturing is a plus. Education BS in Computer Science, Mechanical Engineering, Mechatronics, or a related technical field required. MS degree preferred. Additional Information Background screening is required. The role is within an electrical component manufacturing environment. Red Oak Technologies values diversity, integrity, and strong partnerships with clients and candidates. Job Type: Full-time Pay: $130,000.00 - $150,000.00 per year Work Location: In person",nan,https://www.indeed.com/cmp/Red-Oak-Technologies,201 to 500,nan,,,,,,California,"ci/cd, confluence, gitlab, jenkins, jira, leadership, python, sql"
in-dfe199f7961ed028,indeed,https://www.indeed.com/viewjob?jk=dfe199f7961ed028,Cloud DevOps Engineer with OCI-2,Realign,"CA, US",2025-11-19,fulltime,nan,nan,,,nan,True,,,,"Job Type: Full Time Job Category: IT Job Description Job Title: Cloud DevOps Engineer with OCI Location : Remote Fulltime JOB SUMMARY: We are seeking a passionate Mid-Level DevOps Engineer with experience designing, implementing, and maintaining automated solutions for provisioning and deploying against cloud infrastructure. This role requires strong expertise in cloud platforms, containerization, infrastructure as code, and DevSecOps best practices to ensure solutions maintain and build upon established department standards and procedures. Candidates with experience in Oracle Cloud Infrastructure (OCI) is required. ROLES AND RESPONSIBILITIES: 1. Design, build, and manage cloud infrastructure solutions to support scalable application deployments. 2. Implement and optimize Continuous Integration (CI) and Continuous Deployment/Delivery (CD) pipeline solutions that fully automate the build and deployment of critical platforms. 3. Develop and maintain infrastructure-as-code using Terraform or similar tools. 4. Manage cloud platform stability and hosted applications, security and infrastructure solutions. 5. Deploy, manage, and troubleshoot containerized applications using Kubernetes, Helm, and Docker. 6. Collaborate with development teams to improve DevOps workflows, security, and automation strategies. 7. Proactively decipher performance bottlenecks and recommend site reliability solutions as appropriate to improve the developer user experience. 8. Promote Cloud and DevSecOps best practices by publishing self-service aids, training and leading communities of practice. 9. Responsible for code release and production cloud orchestration support. 10. Partner with Cloud Platform and other infrastructure teams to deliver solutions effectively. 11. Implement, monitor, and maintain fail-proof cloud infrastructure systems, controls, and policies to protect corporate assets, systems, data (corporate, print and digital), and intellectual property. 12. Successfully resolve end-user issues pertaining to Application Deployments and DevOps tools. Support users on an on-call basis as necessary. 13. Ensure compliance with HIPAA regulations and requirements. 14. The position responsibilities outlined above are in no way to be construed as all encompassing. Other duties, responsibilities, and qualifications may be required and/or assigned as necessary. JOB SCOPE: This position works independently under general supervision to complete the assigned job responsibilities. Work performed is often varied and complex, requiring a reliance on a knowledge base built through experience. The incumbent follows established procedures and uses knowledge of the Company's general business principles, industry dynamics, market trends, and specific operation details when performing the duties of the position as assigned. Job Description As an Equal Opportunity Employer, the Company will provide equal consideration to all employees and job candidates without regard to sex, age, race, marital status, sexual orientation, religion, national origin, citizenship status, physical or mental disability, political affiliation, service in the Armed Forces of the United States, or any other characteristic protected by federal, state, or local law. JOB REQUIREMENTS (Education, Experience, and Training): Minimum high school diploma plus five (5) years' experience in an Information Technology related role with exposure to configuration management. Bachelor's degree in Computer Science is strongly preferred. Technical certification and/or training are a plus Technical knowledge and hands-on experience with: Version control tools like Git Expertise in building and deploying applications to Oracle Cloud Infrastructure or other cloud using Jenkins, GitHub Actions, Azure DevOps or similar tool Expertise working with and managing resources native to cloud providers (OCI preferred, AWS, Azure, GCP) Proficiency in Terraform or similar tools for infrastructure provisioning and automation Strong understanding of DevSecOps principles, including TDD, BDD, and security best practices Expertise in Kubernetes, Helm, Docker, or other tools for container orchestration and management Experience with SCA, SAST, and DAST scanning tools such as SonarQube, JFrog XRAY, Checkmarx Experience with setting up and managing API Gateways Experience with Kafka or other messaging queue Experience with Artifact Binary management tools such as Artifactory or Nexus Scripting experience on Linux and Windows (Python, Bash, PowerShell, or similar) Experience administrating Jenkins, GitHub for Enterprise, and Artifactory preferred Experience working with SaaS tools like Data Bricks, Snowflake, and Salesforce preferred Experience deploying applications using GitOps tools like ArgoCD or FluxCD preferred Familiarity with service mesh technologies like Istio or Linkerd is a plus Familiarity with Secret Management tooling like OCI Vault, Hashicorp Vault, or Thycotic Secret Server is a plus Required Skills",nan,https://www.indeed.com/cmp/Realign,nan,nan,,,,,,California,"aws, azure, bash, docker, gcp, git, github, jenkins, kafka, kubernetes, linux, oracle, powershell, python, snowflake, terraform"
in-920e9877dfd3bc66,indeed,https://www.indeed.com/viewjob?jk=920e9877dfd3bc66,Ground Software Engineer - Space Transportation,Legion Technical,"San Jose, CA, US",2025-11-19,fulltime,direct_data,yearly,140000.0,175000.0,USD,False,,,,"Come join our growing team of enterprising engineers paving a way to the next frontier of space transportation. This is a full time opportunity with a host of benefits. All qualified resumes will be responded to in 24hrs or less. Due to the nature of this work candidates must be a U.S. Citizen Ground Software Engineer Build and maintain ground software systems supporting spacecraft automation, testing, and on-orbit mission operations. Desired Skills Go programming Networking fundamentals Knowledge of spacecraft operations or astrodynamics Experience with DoD/USG programs; ability to hold a clearance Required Skills Backend Core: Python Linux server configuration/administration Kubernetes / Helm deployment Intermediate Experience: SQL, NoSQL, and time-series databases (Postgres, MongoDB, InfluxDB) Bash/shell scripting Frontend development (Vue.js, TypeScript/JavaScript) AWS or Azure cloud services Microservices, IoT applications, CI/CD Event systems (Kinesis, ROS2, MQTT, RabbitMQ, etc.) Ability to work independently Strong technical, written, and verbal communication skills Core Responsibilities Validate, test, and enhance vendor/open-source software Build software supporting spacecraft automation and test infrastructure Develop tools supporting on-orbit operations and anomaly resolution Education BS in Software Engineering or related field 3&ndash;5 years experience Job Type: Full-time Pay: $140,000.00 - $175,000.00 per year Work Location: In person",nan,https://www.indeed.com/cmp/Legion-Technical,nan,nan,,,,,,California,"aws, azure, bash, ci/cd, communication, go, javascript, kubernetes, linux, microservices, mongodb, python, shell scripting, sql, typescript"
in-2ba251c6c823253d,indeed,https://www.indeed.com/viewjob?jk=2ba251c6c823253d,Spacecraft Flight Software Engineer,Legion Technical,"San Jose, CA, US",2025-11-19,fulltime,direct_data,yearly,140000.0,175000.0,USD,False,,,,"Come join our growing team of enterprising engineers paving a way to the next frontier of space transportation. This is a full time opportunity with a host of benefits. All qualified resumes will be responded to in 24hrs or less. Due to the nature of this work candidates must be a U.S. Citizen Flight Software Engineer Design, develop, and test software used to control spacecraft flight systems in a fast-paced environment. Desired Skills Knowledge of spacecraft operations and/or astrodynamics Linux server configuration/administration Yocto embedded Linux experience Linux device driver development Rust programming Experience with DoD/USG programs; ability to hold a clearance Required Skills Strong proficiency in Python, C++, and C Linux shell scripting Experience with either NASA cFS or ROS2 Ability to work independently Strong technical, written, and verbal communication skills Core Responsibilities Validate, test, and extend vendor/open-source software Develop software for spacecraft automation, testing, and on-orbit ops Support anomaly resolution during on-orbit operations Education BS in Computer Science or related field 5&ndash;8 years relevant experience Job Type: Full-time Pay: $140,000.00 - $175,000.00 per year Work Location: In person",nan,https://www.indeed.com/cmp/Legion-Technical,nan,nan,,,,,,California,"c, c++, communication, linux, python, rust, shell scripting"
in-c8f7637b989e1286,indeed,https://www.indeed.com/viewjob?jk=c8f7637b989e1286,Senior Manufacturing Test Software Engineer (Python),Red Oak Technologies,"San Francisco, CA, US",2025-11-19,fulltime,direct_data,yearly,165000.0,175000.0,USD,False,,,,"Manufacturing Test Engineering Manager (or Senior/Lead Test Engineer) Location: San Francisco, CA (Onsite) Red Oak Technologies is partnering with our client, a leader in LiDAR sensor technology, to identify a highly skilled Manufacturing Test Engineering Manager. We are open to considering strong Senior or Lead-level Test Engineers who are ready to take on team leadership responsibilities while continuing to code daily. This role is fully onsite in San Francisco, CA. Direct Hire $165-175k Per Year Position Overview The Manufacturing Test Engineering Manager will be a hands-on technical leader responsible for developing and maintaining production test software for high-volume LiDAR sensor manufacturing. The ideal candidate will have strong Python development skills, proven experience in test engineering for electro-mechanical assemblies, and the ability to mentor and guide a team while contributing individually on a daily basis. The role requires close collaboration with cross-functional teams to improve test coverage, reduce test time, and ensure production readiness as new products move from development into manufacturing. Key Responsibilities Develop, maintain, and improve production test software using Python for LiDAR sensor and sub-assembly manufacturing. Serve as a working manager, providing technical leadership while contributing hands-on daily. Mentor and train Test Engineers on both technical and soft skills. Establish team priorities, KPIs, and work goals aligned with product development schedules and company objectives. Collaborate with cross-functional teams on software development, verification, and validation for new product introductions. Drive continuous improvement initiatives, including test time reduction, data quality enhancements, and production process optimization. Apply software engineering best practices, including coding standards, code reviews, source control management, CI/CD pipelines, and test automation. Communicate project updates, risks, and recommendations to management and stakeholders. Ensure timely completion of team deliverables and proactively address constraints or delays. Support contract manufacturing facilities with occasional travel (less than 10%). Work full-time onsite in San Francisco, CA. Qualifications and Skills Strong proficiency in Python development (minimum 5 years). Experience with CI/CD infrastructure, GitLab, Jenkins, and SQL database design. Strong skills in debugging, programming, data collection, and data analysis. Experience using project tracking tools such as Jira, Confluence, or equivalents. Proven ability to deliver results in a fast-paced engineering environment. Excellent organizational skills with the ability to manage multiple concurrent projects. Demonstrated people management or technical leadership experience (3+ years preferred). Experience working with high-precision electro-mechanical assemblies. Preferred: Experience developing test software for high-volume production and test equipment. Education BS in Computer Science, Mechatronics, Mechanical Engineering, or a related technical field required. MS degree preferred. Additional Information Background screening is conducted by the client. The Manufacturing group has zero tolerance for misdemeanor or felony theft or robbery offenses. This position is within an electrical component manufacturing environment (not medical devices). About Red Oak Technologies Since 1995, Red Oak Technologies has been a trusted partner in the technology industry, specializing in identifying and placing highly skilled contract, permanent, and project-based professionals. We value diversity and welcome applicants from all backgrounds and experiences. Red Oak Core Values: Relationships First | Exceptional Quality and Service | Unwavering Integrity and Trust | Be Easy To Do Business With | Respect Everyone Job Type: Full-time Pay: $165,000.00 - $175,000.00 per year Work Location: In person",nan,https://www.indeed.com/cmp/Red-Oak-Technologies,201 to 500,nan,,,,,,California,"ci/cd, confluence, gitlab, jenkins, jira, leadership, python, sql"
