id,site,job_url,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,description,company_industry,company_url,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,state,parsed_skills
in-d499a7583f260b61,indeed,https://www.indeed.com/viewjob?jk=d499a7583f260b61,"Servicenow developer : Santa Clara, CA",pyramidci,"Santa Clara, CA, US",2025-11-29,fulltime,nan,nan,,,nan,False,,,,Experience on ServiceNow platform Experience in leading teams for development and implementation of ServiceNow modules like: Excellent understanding of ServiceNow platform capabilities and tools Excellent understanding of technical and functional design requirements related to ServiceNow,nan,https://www.indeed.com/cmp/Pyramidci,nan,nan,,,,,,California,
in-d633dd1ef30ab03a,indeed,https://www.indeed.com/viewjob?jk=d633dd1ef30ab03a,Sr ML/AI Software Eng,PlayStation,"San Diego, CA, US",2025-11-29,nan,direct_data,yearly,177300.0,265900.0,USD,False,,,,"Position Type: Location(s): United States, San Diego, CA Date Posted: Job ID: R-122300 Why PlayStation? PlayStation isn't just the Best Place to Play &mdash; it's also the Best Place to Work. Today, we're recognized as a global leader in entertainment producing The PlayStation family of products and services including PlayStation&reg;5, PlayStation&reg;4, PlayStation&reg;VR, PlayStation&reg;Plus, acclaimed PlayStation software titles from PlayStation Studios, and more. PlayStation also strives to create an inclusive environment that empowers employees and embraces diversity. We welcome and encourage everyone who has a passion and curiosity for innovation, technology, and play to explore our open positions and join our growing global team. The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Group Corporation. Who We Are At Sony Interactive Entertainment (SIE) PlayStation, we create unforgettable gaming experiences&mdash;and we're just as committed to building a world-class team. As a leader in interactive entertainment, PlayStation operates at a massive scale, supporting millions of players worldwide and processing billions of transactions annually across our digital ecosystem. Our Store Publishing Operations & Commerce (SPOC) team is responsible for ensuring trust, security, and seamless transactions across PlayStation's digital store. We provide data-driven solutions to support platform services, customer experience, payments, fraud prevention, and risk management. By using advanced analytics and machine learning/AI, we assist in protecting the commerce ecosystem, facilitating business growth, and optimizing player experiences. About the Role We are seeking a Senior ML/AI Engineer to lead the design, optimization, and deployment of large-scale automation efforts, utilizing LLMs and generative AI as appropriate. This role sits at the intersection of machine learning, backend engineering, and cloud-scale infrastructure, focusing on building intelligent systems that power our teams. The ideal candidate has hands-on experience building scalable, automated systems. You combine backend engineering expertise with applied AI knowledge, using technologies like LangChain, vector databases, and LLM APIs alongside microservices, Kubernetes, Terraform, and CI/CD pipelines to create resilient, intelligent systems. You'll partner closely with devOps, data science, and data engineering to deploy scalable, reliable, and cost-efficient automation solutions that increase efficiencies, and accelerates innovation across the organization. Key Responsibilities Automate Workflows: Architect, build, test, and monitor AWS-based workflows to solve critical business problems Microservices and APIs: Develop microservices for ML-driven applications using Python or Java, ensuring scalability and resilience. Service Availability: Guarantee high levels of service availability through participation in an on-call rotation, following best practices for disaster recovery and business continuity. Automated Deployment: Ensure all work is deployed in an automated, repeatable fashion, optimizing infrastructure for cost and efficiency. Qualifications and Education Requirements Educational Background: Bachelor's degree with 6+ years of experience in machine learning, backend engineering, or AI platform development. Coding Proficiency: Demonstrated experience with Java and Python. Cloud Competency: Proficiency with common AWS services or equivalent such as EKS/ECS, Kinesis, Lambda, DynamoDB, SNS, and SQS. Systems Monitoring and Analytics: Knowledge of systems monitoring, alerting, and analytics using tools such as Datadog, Splunk, New Relic, or AWS CloudTrail. Communication Skills: Demonstrated success in cross-functional collaboration. LLM Expertise: Proven experience developing, evaluating and orchestrating agentic workflows MLOps and Distributed Systems: Hands-on experience with distributed systems and MLOps tooling such as Kubernetes, Docker, MLflow, Airflow, Terraform, and CI/CD. Preferred Skills Data Streaming and Orchestration: Familiarity with tools such as Kafka, Flink, Spark, dbt, and Airflow. Multi-Modal LLM Systems: Experience with multi-modal LLM systems (text + image embeddings). AI Observability and Evaluation: Exposure to AI observability, prompt evaluation frameworks, and safety alignment tools. Vector Database Knowledge: Understanding of vector databases and retrieval workflows. PlayStation isn't just the Best Place to Play - it's also the Best Place to Work. We've thrilled gamers since 1994 when we launched the original PlayStation. Today, we're recognized as a global leader in interactive and digital entertainment. The PlayStation brand falls under Sony Interactive Entertainment, a wholly owned subsidiary of Sony Corporation. Sony is an Equal Opportunity Employer. All persons will receive consideration for employment without regard to race, color, religion, gender, pregnancy, national origin, ancestry, citizenship, age, legally protected physical or mental disability, covered veteran status, status in the U.S. uniformed services, sexual orientation, marital status, genetic information or membership in any other legally protected category. We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond. We sincerely appreciate the time and effort you spent in contacting us and we thank you for your interest in PlayStation. Please refer to our Candidate Privacy Notice for more information about how we process your personal information, and your data protection rights. At SIE, we consider several factors when setting each role's base pay range, including the competitive benchmarking data for the market and geographic location. Please note that the base pay range may vary in line with our hybrid working policy and individual base pay will be determined based on job-related factors which may include knowledge, skills, experience, and location. In addition, this role is eligible for SIE's top-tier benefits package that includes medical, dental, vision, matching 401(k), paid time off, wellness program and coveted employee discounts for Sony products. This role also may be eligible for a bonus package. The estimated base pay range for this role is listed below. $177,300&mdash;$265,900 USD Equal Opportunity Statement: Sony is an Equal Opportunity Employer. All persons will receive consideration for employment without regard to gender (including gender identity, gender expression and gender reassignment), race (including colour, nationality, ethnic or national origin), religion or belief, marital or civil partnership status, disability, age, sexual orientation, pregnancy, maternity or parental status, trade union membership or membership in any other legally protected category. We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond. PlayStation is a Fair Chance employer and qualified applicants with arrest and conviction records will be considered for employment.",nan,https://www.indeed.com/cmp/Playstation,"5,001 to 10,000",more than $10B (USD),"Talented colleagues, new opportunities, and exciting challenges! That's why we come into work every day. Come join us, Greatness Awaits You!",,,,,California,"airflow, aws, ci/cd, communication, datadog, distributed systems, docker, dynamodb, ecs, eks, java, kafka, kubernetes, lambda, microservices, mlflow, new relic, python, scalability, spark, terraform"
in-74040a630200dd53,indeed,https://www.indeed.com/viewjob?jk=74040a630200dd53,"Software Verification Engineer (Teradyne, Agoura Hills)",Teradyne,"Agoura Hills, CA, US",2025-11-29,nan,direct_data,yearly,79900.0,127800.0,USD,False,,,,"We are the global test and automation specialists, powering next-generation technologies through sophisticated solutions. Behind every electronic device you use, Teradyne's test technology ensures your device works right the first time, every time! Our portfolio of automation solutions help manufacturers to develop and deliver products quickly, efficiently and cost-effectively. Together, Teradyne companies deliver manufacturing automation across industries and applications around the world! We attract, develop, and retain a high-performance workforce, comprised of people with diverse backgrounds and a shared drive for excellence. We strive to foster a positive and inclusive work environment that helps employees, and communities, thrive. Our Purpose TERADYNE, where experience meets innovation and driving excellence in every connection. We are fueled by creativity and diversity of thought and in our workforce. Our employees are supported to innovate and learn something new every day. We cultivate a culture of inclusion for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team &ndash; one that makes better decisions, drives innovation and delivers better business results. Opportunity Overview The Quality Engineering (QE) Team is responsible for assessing quality at all states of the Software Development Life Cycle so that Teradyne maintains its quality leadership in the Automated Test Equipment (ATE) industry. The Software Quality Engineer is an integral member of the QE team, using and developing automated tests for Teradyne's flagship software products, as well as working with various in-house tools and industry leading digital and analog hardware. The Teradyne Quality Engineering team is looking for a highly motivated, energetic, software engineer who will work collaboratively with the test and development teams as well as independently to determine and develop imaginative, thorough, and practical testing solutions. Reviewing system, hardware, software and user interface requirements documentation Planning, designing, creating, executing, and automating tests focused on proving our products meet stringent requirements System and user-focused testing that extends beyond the written requirements of the product Enhancing in-house tools to make test creation more efficient and effective. Managing defects in the defect tracking database to report, track, manage, and resolve issues found during product verification. Interacts with software and hardware engineering teams, working closely with Software Development Engineering to prepare and continually manage a test strategy for defect assessment, peer reviews, test coverage analysis, and various levels of system integration tests. Participate in customer account, Teradyne engineering, Applications, and Marketing teams to understand key business and technical requirements. Analyze problems and recommend solutions on Teradyne ATE platform to optimize customer throughput and performance Work directly with engineering field teams to understand and improve test process; make recommendations to improve quality of test coverage. Develop shared knowledge in the form of application solutions and test techniques. This position may require some amount of travel (10 - 25%) to customer sites to support beta testing and transition teams. All About You We seek individuals who share our passion and determination. Our commitment to customer success drives us to go the extra mile. If you're ready to join us in this mission, take a closer look at the minimum criteria for the position. BSEE/BSCS/BS Computer Engineering/BS Software Engineering or equivalent Familiarity with Agile and Waterfall Software Development Life Cycles (SDLC) Programming with C/C++, C# and VBA/VB.NET/Excel Other experience with scripting languages such as Perl or Python Experience using MS Visual Studio, github, JIRA, and other SW Development related tools Understanding of embedded systems, digital, power, and/or analog hardware is highly desired Experience testing and/or developing test applications for semiconductors Effective written and verbal communications skills in English Able to work in an international, multi-site, dynamic and diverse team-oriented environment 2+ years of test/product engineering experience in analog, digital and mixed signal testing with strong background in test design and development. Any experience with ATE equipment (Teradyne or others) is highly desired We are only considering candidates local to position location and are unable to provide relocation for this position. (remove IF: providing relocation OR not regionally relevant) This position is not eligible for visa sponsorship. (remove IF: providing visa sponsorship OR not regionally relevant) Compensation: The base salary range for this role is $79,900 - $127,800. This range is a good faith estimate, and the amount of base salary will correspond with experience and skill set. This range can also fluctuate depending on demand and location. Benefits: Teradyne offers a variety of robust health and well-being benefit programs, including medical, dental, vision, Flexible Spending Accounts, retirement savings plans, life and disability insurance, paid vacation & holidays, tuition assistance programs, and more. Please click here to see details. #LI-KD1",nan,https://www.indeed.com/cmp/Teradyne,"5,001 to 10,000",$1B to $5B (USD),Enabling the next generation of technology through advanced test solutions and collaborative and autonomous mobile robots.,,,,,California,"agile, c, c#, c++, excel, github, go, jira, leadership, python"
in-4c1355e5ce1cd7b8,indeed,https://www.indeed.com/viewjob?jk=4c1355e5ce1cd7b8,Associate Gameplay Engineer,NEXON America,"El Segundo, CA, US",2025-11-29,fulltime,direct_data,yearly,83200.0,110240.0,USD,True,,,,"About Nexon Nexon America is a branch of Nexon Co., Ltd., a global video game publisher and leading developer of online virtual worlds for PCs, consoles, and mobile devices. Nexon proudly offers celebrated franchises like MapleStory and Mabinogi that have been enjoyed by millions of players for over two decades. When we founded our Nexon America branch in 2006, we made it our goal to bring those unique games to western players using a player-first approach. We achieve that goal by applying our team's outstanding free-to-play expertise and live game support to every decision, every day. But we're committed to more than our games! Here at Nexon America, we're all about open communication, diversity, mutual respect, and collaboration, so we can bring out the best in each other. Nexies find support, friendship, and career growth all in one place! And because we know a healthy work-life balance is the key to happiness, Nexies also enjoy flexible hours, a hybrid work model, and extra perks like food trucks, happy hours, and team events. It's why we've earned the Great Place to Work certification for 5 years running! We're looking to expand our team with passionate individuals who want to learn, play, and grow with us. Ready for a new challenge? Summary of Position Nexon America's Western Dev team is looking to expand our team with gameplay engineers for a new exciting project. Ready for a new challenge? Join our team to learn, play, and grow with us! We announced our plan for the 'MapleStory Western Project' at GDC 2024 &ndash; a brief overview of the information posted for MapleStory players can be found on the official website: https://www.nexon.com/maplestory/news/general/17104/inkwell-s-note-greetings You will join the MapleStory Development Team, where you will play a important role in designing, developing, and implementing game features that enhance the MapleStory experience. You will collaborate closely with game designers, artists, and other engineers to create engaging gameplay and ensure technical excellence. We are currently working in the office 2-3x a week in a hybrid work model Job Responsibilities Develop and maintain game features for MapleStory Collaborate with designers and artists to bring creative visions to life Optimize game performance and resolve bugs to ensure a seamless player experience. Other duties as assigned Work Experience 1+ years of experience as a software engineer in the online game development, or a related field Education, Professional Training, Technical Training or Certification Bachelor's degree in Computer Science/Engineering, or equivalent experience Award-winning history in public programming competitions (huge plus) Knowledge/Skills Required: Proficient in C++ language Excellent problem-solving skills and ability to work under tight deadlines Excellent communication and cross-functional collaboration skills Preferred: Passionate about MapleStory, with deep familiarity with its gameplay, history, and community Proficient in Korean Nexon's Benefits and Perks We offer medical, dental and vision plans for you, your spouse or domestic partner and your children. Employees who enroll in the high deductible health plan receive an annual employer contribution to a health savings account and company paid hospital indemnity benefits. We also provide company paid life, AD&D, short-term and long-term disability benefits as well as access to voluntary life and AD&D for yourself and your dependents, flexible spending accounts, a 401(k) savings plan with a company match, and pet insurance. Nexies are encouraged to take advantage of our monthly wellness credit, participate in lunchtime yoga, and enroll in language classes. We host bi-monthly catered lunches, monthly happy hours, and maintain a well-stocked snack bar. To help you maintain a good work life balance, we offer paid time off, sick days, company holidays, and a year-end break. Nexon is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, national origin, protected veteran status, or any other basis protected by applicable law and will not be discriminated against on the basis of disability. Compensation Description for Pay Transparency (annually) The base salary range for this position in El Segundo, CA is $40 - $53 per hour. Our salary ranges are determined by market data based on position and level. The range displayed on each job posting reflects the minimum and maximum salaries for that position. An individual's pay is determined by factors including, but not limited to, a candidate's qualifications, skills, experiences, relevant education or training, and location. Base pay is one part of the Total Rewards package that is provided to compensate and recognize employees for their work. This role may be eligible for additional discretionary bonuses/incentives, however the salary range listed in this job posting reflects the base salary only. Beware of Recruitment Scams We have been made aware of fraudulent recruitment activities by individuals falsely claiming to represent Nexon America. Our recruiters will only contact you from official company email addresses ending in @nexon.com and will follow a formal interview process. We will never request for payment or personal financial information such as photos of government-issued identification during the recruitment process or offer a job without a formal interview process. If you receive suspicious email, we advise you to mark the email as junk or spam, so your email provider will block future messages from the sender. Flexible work from home options available.",nan,https://www.indeed.com/cmp/Nexon-America-1,201 to 500,$25M to $100M (USD),Innovation...That's what Nexon is all about. A pioneer in the world of interactive entertainment software.,,,,,California,"c++, communication"
in-fa837cad26f1a6e1,indeed,https://www.indeed.com/viewjob?jk=fa837cad26f1a6e1,"Sr Cloud DevOps Engineer (Oakland, CA - Onsite)",Fictiv,"Oakland, CA, US",2025-11-29,nan,nan,nan,,,nan,False,,,,"Fictiv Exists to Enable Hardware Innovators to Build Better Products, Faster Fictiv exists to help product innovators create. Fictiv is a global manufacturing and supply chain company that enables organizations to scale globally across Fictiv's four global manufacturing centers in India, Mexico, China, and the U.S.. Companies use Fictiv to access high-quality production, optimize supply chain logistics, and mitigate supply chain risk&mdash;ensuring they can move from prototype to full-scale manufacturing with speed and confidence. To date, Fictiv has delivered more than 35 million commercial and prototype parts for industries such as aerospace, robotics, automotive, climate tech, and more, helping them innovate faster, free up precious resources, and drive profitable growth. Role Summary (Impact in this Role) Fictiv is seeking a highly skilled Sr Cloud DevOps Engineer with at least 10 years of experience in managing cloud infrastructure and automation. The ideal candidate will have deep expertise in AWS, CloudFormation, AWS CodeBuild, serverless (Lambda) architectures, and Linux system administration. You will be responsible for building, maintaining, and optimizing our DevOps pipeline and production infrastructure, ensuring high availability, scalability, and security for a rapidly growing global company. Eligibility to Work Candidates must be U.S. citizens or permanent residents (Green Card holders) to be considered for this role. This requirement is non-negotiable &mdash; this is a U.S. regulation-bound role. Areas of Responsibility: Essential Functions Leverage automation to scale Fictiv's infrastructure as we expand as a multi-regional global company. Design, deploy, and manage cloud infrastructure using AWS services. Build tools for deployment, monitoring, and troubleshooting of system resources in an AWS environment. Perform infrastructure upgrades and updates to maximize system efficiency while minimizing downtime. Collaborate with cross-functional teams to optimize the DevOps lifecycle, deployments, and ensure best practices. Troubleshoot and resolve infrastructure issues in production environments. Maintain documentation of infrastructure, automation scripts, and operational processes. Participate in shared on-call responsibility with other engineers (including developers) to meet SLA requirements for uptime. All employees are expected to maintain and contribute to the QMS. Experience: Minimum Qualifications 10+ years of experience in a combination of DevOps, Cloud Infrastructure Engineering, Site Reliability Engineering, or Systems Engineering. 5+ years of experience writing code with Python and shell scripting. Hands-on experience with AWS services: EC2, Lambda, CloudFormation, IAM, CloudWatch, S3, VPC, CodeBuild, Elastic Beanstalk, RDS, ECS, etc. Experience building CI/CD pipelines. Strong understanding of security best practices in AWS. Familiarity with monitoring and logging tools and techniques. Excellent problem-solving and troubleshooting skills. Strong written and verbal communication skills. Physical Demands The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. While performing the duties of this job, the employee is routinely required to sit; walk; talk, and hear; use hands to keyboard, fingers, handle, and feel; stoop, kneel, crouch, twist, crawl, reach, and stretch. About Fictiv Fictiv is transforming how the next rockets, self-driving cars, and life-saving robots are designed, developed, and delivered to customers around the world. People who succeed at Fictiv are talented, creative, and driven to achieve professional excellence and support our vision to help product innovators create. We're actively seeking teammates who: Bring diverse perspectives and experience to our culture and company. Excel at being part of a strong, empathetic team. Thrive in an environment emphasizing respect, honesty, collaboration, and growth. Have an 'always learning' mindset that celebrates learning, not just wins. Help us continue to build a world-class organization that values the contributions of all of our teammates We encourage applications from members of underrepresented groups, including but not limited to women, members of the LGBTQ community, people of color, people with disabilities, and veterans.",Industrial Manufacturing,https://www.indeed.com/cmp/Fictiv,51 to 200,nan,,,,,,California,"aws, ci/cd, cloudformation, communication, ecs, excel, lambda, linux, python, s3, scalability, shell scripting"
in-e2c20440c8314cf0,indeed,https://www.indeed.com/viewjob?jk=e2c20440c8314cf0,"PeopleSoft SQR Developer in Pasadena, CA (12+ months W2 contract)",ValueBase Consulting,"Pasadena, CA, US",2025-11-28,contract,nan,hourly,,,USD,False,,,,"PeopleSoft SQR Developer Pasadena, CA (Onsite &ndash; Local Candidates Only) 12+ Months Contract $60 per hour on W2 Job Description: We are seeking a highly experienced PeopleSoft SQR Developer for a long-term onsite W2 contract opportunity in Pasadena, CA. The ideal candidate will bring strong hands-on PeopleSoft technical expertise with deep knowledge of SQR development and PeopleTools. Responsibilities: Design, develop, enhance, and maintain SQR programs for PeopleSoft applications Work closely with business, functional, and technical teams to translate requirements into effective solutions Troubleshoot and resolve production issues; perform root cause analysis Optimize SQR and SQL queries for performance improvement Support enhancements, upgrades, patches, and integrations across PeopleSoft modules Prepare and maintain detailed technical documentation Required Skills & Experience: 10+ years of PeopleSoft development experience Expertise in SQR, PeopleTools, PeopleCode, Application Engine Strong SQL and relational database experience Experience supporting PeopleSoft Financials and/or HCM environments Strong analytical, debugging, and communication skills Ability to perform independently in a fast-paced environment",nan,https://www.indeed.com/cmp/Valuebase-Consulting,nan,nan,,,,,,California,"communication, sql"
in-7da0bd9f4d94ffab,indeed,https://www.indeed.com/viewjob?jk=7da0bd9f4d94ffab,"Technical Lead – Python Backend & PySpark in Pasadena, CA",ValueBase Consulting,"Pasadena, CA, US",2025-11-28,contract,nan,hourly,,,USD,False,,,,"Job Title: Lead Python Backend Developer (PySpark) Location: Pasadena, CA (Onsite &ndash; Local Candidates Only) Job Type: 12+ Months W2 Contract Interview: In-Person Interview Required Experience Level: 12+ Years Pay: $65 per hour on W2 Job Description: We are seeking an experienced Lead Python Backend Developer with strong PySpark expertise for a long-term onsite W2 contract role in Pasadena, CA. The ideal candidate will be a hands-on technical leader capable of designing scalable backend and data solutions while collaborating effectively with cross-functional engineering teams. Responsibilities: Lead backend development using Python for scalable and distributed systems Design and implement data processing pipelines using PySpark Work closely with architects and data engineering teams on system integration and solution design Ensure performance, reliability, and maintainability of code and applications Drive best practices, participate in design/code reviews, and provide mentorship to junior engineers Troubleshoot production issues and support deployment automation and CI/CD processes Required Skills & Experience: 12+ years of backend development experience with strong proficiency in Python Hands-on experience working with PySpark in big data environments Strong understanding of distributed computing frameworks and microservices architecture Experience with cloud platforms such as AWS, Azure, or GCP Strong SQL and database experience (relational & NoSQL) Excellent communication, analytical, and leadership skills Must be able to work onsite in Pasadena, CA and attend an in-person interview Employment Details: Duration: 12+ months contract with potential extensions Work Type: W2 only ( No C2C ) Rate: $65/hour on W2 Location: Pasadena, CA &ndash; Onsite",nan,https://www.indeed.com/cmp/Valuebase-Consulting,nan,nan,,,,,,California,"aws, azure, ci/cd, communication, distributed systems, gcp, leadership, microservices, pyspark, python, sql"
in-9e5f7fbef0e4f76f,indeed,https://www.indeed.com/viewjob?jk=9e5f7fbef0e4f76f,Launch Vehicle Ground Software Engineer,Firefly Aerospace,"Vandenberg AFB, CA, US",2025-11-28,fulltime,nan,nan,,,nan,False,,,,"ABOUT FIREFLY AEROSPACE Firefly Aerospace is a space and defense technology company that enables our world to launch, land, and operate in space &ndash; anywhere, anytime. As the partner of choice for critical space missions, Firefly is the only commercial company to launch a satellite to orbit with 24-hour notice and the only company to achieve a successful Moon landing. Our launch vehicles, lunar landers, and orbital vehicles provide government and commercial customers with full mission services from low Earth orbit to the Moon and beyond. Headquartered in north Austin, Texas, Firefly is looking for passionate, hardworking innovators to join our team and help fuel our successful trajectory into space. SUMMARY As a Launch Vehicle Ground Software Engineer at Firefly Aerospace, you will develop the software that powers our launch operations, from engine tests to liftoff. This role focuses on building and maintaining real-time ground control systems used at test stands and launch pads, ensuring safe, reliable, and efficient vehicle operations. You will work closely with test, avionics, and propulsion teams to integrate hardware, sensors, and control loops into ground systems. With expertise in LabVIEW, Python, and real-time data acquisition, you will create operator interfaces, automation scripts, and data pipelines that directly support launch vehicle readiness and execution. Your work will be at the heart of enabling Firefly to launch quickly, safely, and repeatedly. RESPONSIBILITIES Design and implement ground control and monitoring software for launch vehicles and test stands. Develop LabVIEW applications for real-time control, data acquisition, and operator interfaces. Write Python applications and scripts for system integration, automation, and data analysis. Integrate software with hardware interfaces including sensors, actuators, and control systems. Build real-time telemetry and control pipelines to support countdown and launch operations. Collaborate with propulsion, avionics, and test teams to meet operational requirements. Support test stand operations, engine firings, and full-scale vehicle rehearsals. Implement robust fault detection, safety interlocks, and operator alerts in ground software. Maintain and improve software for scalability, reliability, and mission-critical performance. Participate in on-console operations during integrated vehicle tests and launches. QUALIFICATIONS Required: BS in Computer Science, Electrical Engineering, or related technical field. 3+ years of experience in ground systems, controls, or data acquisition software. Proficiency with LabVIEW for instrumentation, control, and operator interfaces. Strong Python development skills for integration, automation, and analysis. Experience working with real-time control systems and hardware integration. Knowledge of networking, communication protocols, and data acquisition hardware. Ability to work in high-reliability, safety-critical operational environments. Desired: MS in Engineering, Computer Science, or related technical field. Experience with launch vehicle ground systems or aerospace test environments. Familiarity with PLCs, SCADA, or other industrial control systems. Background in propulsion or fluid systems instrumentation and controls. Experience with test stand operations, engine testing, or flight hardware checkout. Familiarity with CI/CD pipelines, software containerization, and orchestration/deployment (e.g., Docker, Kubernetes, or virtualized environments). Familiarity with time-series database technologies (e.g., InfluxDB) for high-volume telemetry or test data. Active security clearance or eligibility to obtain one.",Aerospace And Defense,https://www.indeed.com/cmp/Firefly-Aerospace,51 to 200,nan,,,,,,California,"ci/cd, communication, docker, kubernetes, python, scalability"
in-336f2f8f22306b15,indeed,https://www.indeed.com/viewjob?jk=336f2f8f22306b15,"Founding Engineer, Full Stack",Gullia Filing,"San Francisco, CA, US",2025-11-28,fulltime,direct_data,yearly,175000.0,375000.0,USD,False,,,,"Must be a U.S. citizen or a permanent resident (green card holder). About the Company Datawizz is building the single pane of glass for LLM operations, streamlining how large language models are used in real-world applications. Backed by a $12.5M seed round led by Human Capital, the company is led by the former CEO of RapidAPI. With 25+ early adopters already using the platform, they are positioned to transform the way developers build and scale AI applications. Roles and Responsibilities: Build user-facing dashboards and developer tooling Design and implement APIs and backend systems Make architecture decisions for scalability and reliability Own features end-to-end, from design to launch Work closely with early customers to shape product direction Job Requirements: 1+ years of professional experience building full stack applications Proficient in React, Next.js, TypeScript, and Node.js Strong backend focus Experience designing scalable APIs Experience deploying to cloud infrastructure (AWS, Docker, Terraform, Kubernetes) &ndash; preferred Background in dev tools or data infrastructure &ndash; preferred Founder or co-founder experience &ndash; preferred Degree from a top 25 university &ndash; preferred for junior candidates Product-oriented mindset Comfortable in fast-paced, high-ownership environments Must be a U.S. citizen or a permanent resident (green card holder). Job Type: Full-time Pay: $175,000.00 - $375,000.00 per year Benefits: AD&D insurance Health insurance Life insurance Vision insurance Application Question(s): what is your visa type? Location: San Francisco, CA 94105 (Preferred) Work Location: In person",nan,https://www.indeed.com/cmp/Gullia-Filing,nan,nan,,,,,,California,"aws, docker, kubernetes, scalability, terraform, typescript"
in-0b06c39773ccbdcc,indeed,https://www.indeed.com/viewjob?jk=0b06c39773ccbdcc,Full Stack Engineer,Superfiliate,"Venice, CA, US",2025-11-28,fulltime,direct_data,yearly,49920.0,60320.0,USD,True,,,,"About us Superfiliate is ushering in the next era of growth for e-commerce businesses by introducing new social buying paradigms that make it fun and rewarding for individuals to tell people about the products and brands they love. We see a world where the brands that people discover are no longer dictated by who will pay top dollar for their attention, but rather by the recommendations of those they trust. We're a team of builders where everyone has a voice and the best ideas win, not the loudest voice in the room. We have designed our culture to create an environment where people are empowered to do their best work and continuously improve and grow. Our team is fully distributed with offices in Los Angeles, CA, and Florian&oacute;polis, Brazil but look for every opportunity we can to get together to build meaningful relationships and comradery beyond the work we do on a daily basis. Full Stack Engineer Your responsibilities Design, Build, test, and deploy code using our best practices; Help to identify, prioritize, and execute tasks in the software development life cycle; Team up with the product and design team to define, plan, and execute deliverables; Partner with the Lead Engineer and fellow Software Engineers in conducting requirements discovery, solution presentations, and various workshop formats; Help to write documentation about our architecture, engineering processes, and best practices; We are looking for a Lead Engineer who has: 3+ years of working experience with our back-end stack: Ruby, Rails, Sidekiq, GraphQL, Relational Databases; Hands-on experience with our front-end stack: React, Preact, Typescript, NextJS, SWR; Ability to thrive in a fast-paced, dynamic startup environment; Ability to maintain a positive mood and inspire coworkers, wherever they are in the world; Pragmatic and product-oriented mindset; As a bonus, having experience working with Shopify or any other e-commerce platform; As a bonus, having previous experience with event sourcing architecture; Perks & Benefits Superfiliate offers a competitive salary (in $USD); Paid time off + local holidays; Work from home stipend to make sure every team member has the equipment they need to be most productive; Weekly lunches - the only catch: you have to share in our Slack channel! Company offsites - we hold team retreats to get together and connect in person; A culture of creative, passionate people who truly enjoy the work they do and the people they do it with;",nan,https://www.indeed.com/cmp/Superfiliate,nan,nan,,,,,,California,typescript
