id,site,job_url,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,description,company_industry,company_url,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,state,parsed_skills
in-7de21ee664e863ad,indeed,https://www.indeed.com/viewjob?jk=7de21ee664e863ad,Product Success Analyst,Essen Health,"Bronx, NY, US",2025-11-28,fulltime,direct_data,yearly,55000.0,65000.0,USD,False,,,,"Overview At Essen Health Care, we care for that! As the largest privately held multispecialty medical group in the Bronx, we provide high-quality, compassionate, and accessible medical care to some of the most vulnerable and under-served residents of New York State. Guided by a Population Health model of care, Essen has five integrated clinical divisions offering urgent care, primary care, and specialty services, as well as nursing home staffing and care management. Founded in 1999, our over 20-year commitment has fueled an unwavering dedication toward innovating a better healthcare delivery system. Essen has expanded from a single primary care office to an umbrella organization offering specialties from women's health to endocrinology, from psychiatry to a vast array of other specialties. All clinical services are offered via telehealth or in-person at over 35 medical offices and at home through the Essen House Calls program. Essen Health Care is the place Where Care Comes Together! We are looking for the most talented and effective individuals to join our rapidly growing company. With over 1,100 employees and 400+ Practitioners, we care for over 250,000 patients annually in New York City and beyond. From medical providers to administration & operational staff, there is a career here for you. Join our team today! Job Summary We are seeking a dynamic and results-driven Product Success Analyst with 3-5 years of experience in healthcare IT. This role is pivotal in ensuring the successful implementation, optimization, and long-term sustainability of our technology products. The ideal candidate will be a strategic thinker with strong analytical skills, technical fluency, and the ability to lead cross-functional initiatives. Responsibilities - Lead and manage multiple concurrent product implementations within healthcare IT environments.- Conduct ROI analysis post-deployment to measure success and identify areas for optimization.- Collaborate with cross-functional teams (engineering, operations, product, and executive leadership) to ensure product adaptability and alignment with business goals.- Develop and maintain a strategic product roadmap to guide long-term success and scalability.- Drive operational execution and support executive stakeholders in sustaining product rollouts.- Provide leadership and mentorship to team members; potential to build and manage a growing team.- Apply knowledge of the Software Development Life Cycle (SDLC) to support product evolution and delivery. Qualifications - Bachelor's degree or higher in Computer Science, Information Systems, Business, or a related field. - 3-5 years of experience in healthcare IT, with a focus on product implementation and optimization. - Strong understanding of technical product lifecycles and implementation methodologies.- Proficiency in: - Excel, SQL, Python ? for data analysis and reporting. - DevOps, Jira, Visio, Figma ? for project tracking, process mapping, and design collaboration.- Demonstrated experience in financial analysis and business case development.- Proven ability to lead teams, manage stakeholders, and influence decision-making.- Excellent communication and presentation skills. Preferred Qualifications: - Experience working with diverse teams and managing multiple implementations simultaneously. - Familiarity with healthcare compliance standards and data privacy regulations is a plus. Why Join Us? - Opportunity to work on cutting-edge healthcare technology.- High-impact role with executive visibility and room for career growth. - Collaborative and inclusive team culture. - Potential to expand and lead a team under your direction $55,000-$65,000 Equal Opportunity Employer Essen Health care is proud to be an equal opportunity employer, and we seek candidates who desire to work in and serve an ethnically diverse population. Job Type: Full-time Pay: $55,000.00 - $65,000.00 per year Work Location: In person",nan,https://www.indeed.com/cmp/Essen-Health-1,nan,nan,,,,,,New York,"communication, excel, jira, leadership, presentation, python, sql"
in-910c9221acd687d6,indeed,https://www.indeed.com/viewjob?jk=910c9221acd687d6,Pricing Analyst,Gerspach Properties,"Tonawanda, NY, US",2025-11-28,fulltime,direct_data,yearly,41600.0,49920.0,USD,False,,,,"Pricing Analyst PoolSupplies.com is a leading national pool supply company offering all items needed to own and operate a swimming pool. Our goal is to offer all consumers products and brands that they not only trust, but depend on for pool sanitization, safety and fun. The primary method of sales is through e-commerce channels with shipments directly to the end user. The Company is seeking a candidate for the position of Pricing Analyst. The primary responsibility will be to manage, analyze and adjust the online pricing of products on marketplace channels (Amazon, eBay and Walmart) as well as company websites. This role requires being 100% onsite. Responsibilities & Requirements: Analyze data on sales velocity, competition, profitability and inventory to make profit-driving price changes across large catalog of SKU's on websites and channels. Input price changes manually through company Enterprise Resource Planning (ERP) system or by bulk upload via spreadsheet Work closely with other members of pricing team and Operations Manager to ensure catalog of products are priced correctly and consistently across multiple sales channels Continuously check competition and recommend changes. Optimize profitability and inventory turnover via strategic pricing decision Support other departments (advertising, purchasing, etc.) with analysis of price and sales data Qualifications : Associate Degree in marketing or business. Evidence the ability to work with large data sets and translate analysis into actions, profit margin, and profitability calculations. Strong written communications skills and the ability to use them at all organizational levels. Experience conducting market research, including competitive analysis. Comfortable in dealing with high levels of ambiguity. Well organized and detail-oriented with the ability to work with many data points across multiple systems from a variety of sources. Ability to prioritize, multi-task and follow-up. Strong Microsoft Excel and Google Sheets skills. Able to work independently and collaboratively. &middot; Job Type: Full-time Pay: $20.00 - $24.00 per hour Expected hours: 40 per week Benefits: 401(k) 401(k) matching Dental insurance Employee assistance program Employee discount Health insurance Health savings account Paid time off Referral program Vision insurance People with a criminal record are encouraged to apply Application Question(s): What wage range are you looking for? Work Location: In person",nan,https://www.indeed.com/cmp/Gerspach-Properties,nan,nan,,,,,,New York,"excel, google sheets"
in-96fc37f08089a4aa,indeed,https://www.indeed.com/viewjob?jk=96fc37f08089a4aa,"Senior Consultant(Business Analyst MDM, P&C Domain)",Global KTech,"New York, NY, US",2025-11-28,contract,direct_data,yearly,135200.0,145600.0,USD,True,,,,"Job Title : Senior Consultant Primary Skill : Master Data Management, Business Analysis, SQL, Data analytics, Requirements Elicitation and Documentation, User Story Documentation, Business Data Analysis Job Description : Job Title: Business Analyst Sr. (MDM, P&C Domain) Experience: 12+ Years Domain Expertise: Property and Casualty Insurance Professional Summary Experienced Business Analyst with over a decade of proven success in the Property and Casualty insurance domain. Brings deep expertise in data analysis, business process modeling, and stakeholder collaboration. Has played a key role in multiple Master Data Management (MDM) initiatives and is well-versed in Agile project delivery. Core Competencies Data Analysis & SQL: Strong analytical skills with the ability to interpret complex datasets. Comfortable writing SQL queries for data profiling, validation, and reporting to support business decisions. MDM Project Exposure: Experience in defining and implementing MDM rules including match and merge logic, survivorship strategies, and data quality standards. Collaborates with data stewards and governance teams to ensure consistency and accuracy across systems. Location : New York, New York, United States Pay: $65.00 - $70.00 per hour Experience: Business analysis: 10 years (Required) MDM: 8 years (Required) Work Location: Hybrid remote in New York, NY 10001",nan,https://www.indeed.com/cmp/Global-Ktech-1,nan,nan,,,,,,New York,"agile, sql"
in-3a008999cadab118,indeed,https://www.indeed.com/viewjob?jk=3a008999cadab118,Data Analyst Intern,Booz Allen Hamilton,"Rome, NY, US",2025-11-27,"fulltime, internship",direct_data,yearly,48000.0,98000.0,USD,True,,,,"Data Analyst Intern The Opportunity: Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data analyst intern, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors &mdash; from fraud detection, to cancer research, to national intelligence &mdash; you know the answers are in the data. We have an opportunity for you to use your analytical skills to improve our business. You'll work closely with your customer to understand their questions and needs, and then dig into their data-rich environment to find the pieces of their information puzzle. You'll apply analytical skills and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help clients make informed decisions. You'll provide your customer with a deep understanding of their data, what it all means, and how they can use it. Join us as we use data science for good. Join us. the world can't wait. You Have: Experience with AI/ML Analytics Knowledge of data manipulation, database management, statistical analysis, data visualization, and web scraping Ability to solve problems to overcome programming and analysis challenges Ability to obtain a Secret clearance Scheduled to obtain a Doctorate degree in an Engineering or Data Science field by May 2028 Nice If You Have: Experience with Research and Development Knowledge of time series analysis and natural language processing Clearance : Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information. Compensation At Booz Allen, we celebrate your contributions, provide you with opportunities and choices, and support your total well-being. Our offerings include health, life, disability, financial, and retirement benefits, as well as paid leave, professional development, tuition assistance, work-life programs, and dependent care. Our recognition awards program acknowledges employees for exceptional performance and superior demonstration of our values. Full-time and part-time employees working at least 20 hours a week on a regular basis are eligible to participate in Booz Allen's benefit programs. Individuals that do not meet the threshold are only eligible for select offerings, not inclusive of health benefits. We encourage you to learn more about our total benefits by visiting the Resource page on our Careers site and reviewing Our Employee Benefits page. Salary at Booz Allen is determined by various factors, including but not limited to location, the individual's particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $48,000.00 to $98,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen's total compensation package for employees. This posting will close within 90 days from the Posting Date. Identity Statement As part of the application process, you are expected to be on camera during interviews and assessments. We reserve the right to take your picture to verify your identity and prevent fraud. Work Model Our people-first culture prioritizes the benefits of flexibility and collaboration, whether that happens in person or remotely. If this position is listed as remote or hybrid, you'll periodically work from a Booz Allen or client site facility. If this position is listed as onsite, you'll work with colleagues and clients in person, as needed for the specific role. Commitment to Non-Discrimination All qualified applicants will receive consideration for employment without regard to disability, status as a protected veteran or any other status protected by applicable federal, state, local, or international law.",nan,https://www.indeed.com/cmp/Booz-Allen-Hamilton,"10,000+",$5B to $10B (USD),"Booz Allen is an advanced technology company delivering outcomes with speed for America's most critical defense, civil, and national security priorities.",,,,,New York,time series
in-99a7c116223839b8,indeed,https://www.indeed.com/viewjob?jk=99a7c116223839b8,Senior Epic Willow Analyst (Senior Product Services & Management Analyst),Northwell Health,"Lake Success, NY, US",2025-11-27,fulltime,direct_data,yearly,85090.0,147220.0,USD,False,,,,"Job Description Supports and enhances products on larger, more complex or multiple products for enterprise resource planning, budgeting, data warehousing, and financial reporting. Collaborates with Finance and vendors to ensure products and solutions are properly supported. Provides support to ensure all products are functioning optimally, data integrity is intact and financial reports are in alignment with are produced timely and accurately. Participates in implementing or enhancing products and solutions following the hybrid product/project development and implementation lifecycle. Job Responsibility Supports various financial systems within the portfolio, following the support model, while providing excellent customer service to all customers and end users. Analyzes and troubleshoots production problems; escalates issues and executes solutions. Works as a project / product lead on larger, more complex projects and/or on multiple projects and solutions. Collaborates with multiple product teams and solution teams, IT and Business Product Managers, IT Business Solutions Leads, and other key stakeholders. Implements or enhances systems, following the software and solution delivery lifecycle and hybrid project management methods. Maintains direct responsibility for successful outcome of assigned project(s) and solutions; interacts with end users to assist in collecting, documenting, and analyzing business requirements; communicates clearly and timely with customers and end users. Creates clear, technical designs, and specifications; develops solutions and communicates requirements to external developers. Develops, coordinates, and executes detailed test plans. Trains end users and documents processes for knowledge transfer. Identifies and documents solution related risks and issues; providing guidance and documentation, including scope of work, objectives, timelines, and quality of deliverables. Follows policies to ensure business requirements are appropriately translated and communicates risks to stakeholders. Keeps current with new functionality or technical offerings related to financial systems as well as with accounting concepts pertinent to healthcare finance. Recommends and implements improvements to end user processes as they relate to financial systems. Operates under limited guidance and work assignments involve moderately complex to complex issues where the analysis of situations or data requires in-depth evaluation of variable factors. Performs related duties as required. All responsibilities noted here are considered essential functions of the job under the Americans with Disabilities Act. Duties not mentioned here, but considered related are not essential functions. Job Qualification Bachelor's Degree required, or equivalent combination of education and related experience. Master's degree in Computer Science, Business, or Engineering, preferred. 3-5 years of relevant experience, required. Excellent strategic thinking, project management, and time management skills, preferred. Strong organization, communication, and collaboration skills, preferred. Additional Salary Detail The salary range and/or hourly rate listed is a good faith determination of potential base compensation that may be offered to a successful applicant for this position at the time of this job advertisement and may be modified in the future.When determining a team member's base salary and/or rate, several factors may be considered as applicable (e.g., location, specialty, service line, years of relevant experience, education, credentials, negotiated contracts, budget and internal equity).",nan,https://www.indeed.com/cmp/Northwell-Health,"10,000+",more than $10B (USD),Improve the health and quality of life for those we serve by providing world-class service and compassionate care.,,,,,New York,"communication, data warehousing, project management"
in-777361682c611b90,indeed,https://www.indeed.com/viewjob?jk=777361682c611b90,Senior Epic Willow Analyst (Senior Product Services & Management Analyst),Northwell Health,"Lake Success, NY, US",2025-11-27,fulltime,direct_data,yearly,85090.0,147220.0,USD,False,,,,"Job Description Supports and enhances products on larger, more complex or multiple products for enterprise resource planning, budgeting, data warehousing, and financial reporting. Collaborates with Finance and vendors to ensure products and solutions are properly supported. Provides support to ensure all products are functioning optimally, data integrity is intact and financial reports are in alignment with are produced timely and accurately. Participates in implementing or enhancing products and solutions following the hybrid product/project development and implementation lifecycle. Job Responsibility Supports various financial systems within the portfolio, following the support model, while providing excellent customer service to all customers and end users. Analyzes and troubleshoots production problems; escalates issues and executes solutions. Works as a project / product lead on larger, more complex projects and/or on multiple projects and solutions. Collaborates with multiple product teams and solution teams, IT and Business Product Managers, IT Business Solutions Leads, and other key stakeholders. Implements or enhances systems, following the software and solution delivery lifecycle and hybrid project management methods. Maintains direct responsibility for successful outcome of assigned project(s) and solutions; interacts with end users to assist in collecting, documenting, and analyzing business requirements; communicates clearly and timely with customers and end users. Creates clear, technical designs, and specifications; develops solutions and communicates requirements to external developers. Develops, coordinates, and executes detailed test plans. Trains end users and documents processes for knowledge transfer. Identifies and documents solution related risks and issues; providing guidance and documentation, including scope of work, objectives, timelines, and quality of deliverables. Follows policies to ensure business requirements are appropriately translated and communicates risks to stakeholders. Keeps current with new functionality or technical offerings related to financial systems as well as with accounting concepts pertinent to healthcare finance. Recommends and implements improvements to end user processes as they relate to financial systems. Operates under limited guidance and work assignments involve moderately complex to complex issues where the analysis of situations or data requires in-depth evaluation of variable factors. Performs related duties as required. All responsibilities noted here are considered essential functions of the job under the Americans with Disabilities Act. Duties not mentioned here, but considered related are not essential functions. Job Qualification Bachelor's Degree required, or equivalent combination of education and related experience. Master's degree in Computer Science, Business, or Engineering, preferred. 3-5 years of relevant experience, required. Excellent strategic thinking, project management, and time management skills, preferred. Strong organization, communication, and collaboration skills, preferred. Additional Salary Detail The salary range and/or hourly rate listed is a good faith determination of potential base compensation that may be offered to a successful applicant for this position at the time of this job advertisement and may be modified in the future.When determining a team member's base salary and/or rate, several factors may be considered as applicable (e.g., location, specialty, service line, years of relevant experience, education, credentials, negotiated contracts, budget and internal equity).",nan,https://www.indeed.com/cmp/Northwell-Health,"10,000+",more than $10B (USD),Improve the health and quality of life for those we serve by providing world-class service and compassionate care.,,,,,New York,"communication, data warehousing, project management"
in-c8b38e2410912ab1,indeed,https://www.indeed.com/viewjob?jk=c8b38e2410912ab1,Implementation-Conversion Analyst Specialist,FIS,"New York, NY, US",2025-11-27,fulltime,direct_data,yearly,104250.0,175120.0,USD,False,,,,"Position Type : Full time Type Of Hire : Experienced (relevant combo of work and education) Education Desired : Bachelor of Commerce/Business Job Description Every day, our teams innovate across the world of finance. We collaborate to work smarter, while making a difference. We believe in diversity and inclusivity, giving a voice to everyone on the team. And we celebrate our success together. If you want to make an impact in fintech, we'd like to know: Are you FIS? About the role: As an Implementation Conversion Analyst, you will be the face of FIS, working closely with our clients as they implement our solutions as we change the way the world banks. You will examine data files, processes, forms, reports and operational needs of our customers, in order to facilitate data mapping and system conversions. After assessing all client needs, you will create a roadmap that will guide clients through the process while you teach them our products and coach them through setup and integration. About the team: What you will be doing: Conducting data analysis, product mapping and client interviews to assess data requirements for software utilization. Creating data maps and transaction workflow documents that show exactly how every field will be converted. Performing tests to ensure new, customized software meets customer specific needs. Coordinating and conducting readiness reviews to ensure conversion is proceeding correctly. Training customers on new systems and procedures. What you will need: The ability to translate client requirements to technical specifications and then explain these concepts to customer groups. Strong analytical and problem-solving skills as well as excellent human relations, negotiation and documentation skills. A bachelor's in business or a related field or the equivalent experience. Added bonus if you have: What we offer you: At FIS, you can grow your career as far as you want to take it. Here's what else we offer: Opportunities to make an impact in fintech Personal and professional learning Inclusive, diverse work environment Resources to give back to your community Competitive salary and benefits FIS is committed to providing its employees with an exciting career opportunity and competitive compensation. The pay range for this full-time position is $104,250.00 - $175,120.00 and reflects the minimum and maximum target for new hire salaries for this position based on the posted role, level, and location. Within the range, actual individual starting pay is determined by additional factors, including job-related skills, experience, and relevant education or training. Any changes in work location will also impact actual individual starting pay. Please consult with your recruiter about the specific salary range for your preferred location during the hiring process. Privacy Statement FIS is committed to protecting the privacy and security of all personal information that we process in order to provide services to our clients. For specific information on how FIS protects personal information online, please see the Online Privacy Notice. EEOC Statement FIS is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, marital status, genetic information, national origin, disability, veteran status, and other protected characteristics. The EEO is the Law poster is available here supplement document available here For positions located in the US, the following conditions apply. If you are made a conditional offer of employment, you will be required to undergo a drug test. ADA Disclaimer: In developing this job description care was taken to include all competencies needed to successfully perform in this position. However, for Americans with Disabilities Act (ADA) purposes, the essential functions of the job may or may not have been described for purposes of ADA reasonable accommodation. All reasonable accommodation requests will be reviewed and evaluated on a case-by-case basis. Sourcing Model Recruitment at FIS works primarily on a direct sourcing model; a relatively small portion of our hiring is through recruitment agencies. FIS does not accept resumes from recruitment agencies which are not on the preferred supplier list and is not responsible for any related fees for resumes submitted to job postings, our employees, or any other part of our company. #pridepass",nan,https://www.indeed.com/cmp/Fis-9,"10,000+",more than $10B (USD),"FIS is a global leader in financial services technology, with a focus on retail and institutional banking, payments, asset and wealth management, risk and compliance, and outsourcing solutions.",,,,,New York,
in-eca64f3b952564f8,indeed,https://www.indeed.com/viewjob?jk=eca64f3b952564f8,"Construction/Engineering Business Analyst -90352303 - NYC, Phila, DC",Amtrak,"New York, NY, US",2025-11-26,nan,direct_data,yearly,94300.0,122256.0,USD,False,,,,"Your success is a train ride away! As we move America's workforce toward the future, Amtrak connects businesses and communities across the country. We employ more than 20,000 diverse, energetic professionals in a variety of career fields throughout the United States. The safety of our passengers, our employees, the public and our operating environment is our priority, and the success of our railroad is due to our employees. Are you ready to join our team? Our values of 'Do the Right Thing, Excel Together and Put Customers First' are at the heart of what matters most to us, and our Core Capabilities, 'Building Trust, Accountability, Effective Communication, Customer Focus, and Proactive Safety & Security' are what every employee needs to know and do to be most impactful at Amtrak. By living the Amtrak values, focusing on our capabilities, and actively embracing and fostering diverse ideas, backgrounds, and perspectives, together we will honor our past and make Amtrak a company of the future. **This role may be headquartered in New York, Philadelphia or Washington DC.** SUMMARY OF DUTIES: The Lead Business Analyst (Alternate Delivery Specialist) is responsible for working with Capital Delivery teams to identify, develop, and implement commercial strategy for capitally-funded projects. The position develops the tools, frameworks, and processes that will be used to identify industry trends to inform senior leadership decision-making, with a specific focus on commercial terms and delivery strategy. This includes assisting with alternative delivery methods, such as CMAR, design-build, and delivery partner, and collaborating with team peers to help define best practices and develop data-driven strategies aimed to improve project delivery. This role will also assist with market research and outreach to increase competitive efficiencies within the marketplace. The Lead Business Analyst (Alternative Delivery Specialist) will collaborate closely with Project Management, Procurement and Law colleagues to assist with contracting strategy development. This includes on-going support for project teams on commercial matters in all project phases. ESSENTIAL FUNCTIONS: Support the Program Development and Project Services (PDPS) team to advance capitally-funded projects with the appropriate contract vehicle to meet organizational objectives and requirements from funding partners. Conduct market research, including identifying vendors, preparing presentations and materials, and performing status checks of market conditions. Engages with third-party stakeholders and serves as point of contact regarding agreements. Participate in industry days and market outreach meetings with vendors, Amtrak stakeholders, and third-parties, and identifies follow-up action items. Identify and develop milestones and relevant incentives and disincentives to ensure completion of projects on time and within budget. Prepare consolidated reports for management on industry trends and standards from multiple sources. Coordinate with Capital Delivery regarding project management-related data and delivery methods. Perform review of information provided by internal and external stakeholders. Provides support for project teams on commercial matters in all project phases, including construction claims. MINIMUM QUALIFICATIONS: Bachelor's Degree required OR equivalent combination of training, education and relevant experience may be considered in lieu of a degree. Relevant experience preferred. Must be authorized to work in the United States Direct work experience in contract development or contract management for construction projects. Strong understanding of and experience with alternative delivery methods, prior to and after award of such contracts. Proven skills in developing strategies and objectives to meet the needs of the corporation in delivering capital projects. Demonstrated ability to build rapport within all levels of the organization and to communicate effectively with colleagues, departmental managers and senior leadership across organizational disciplines. Demonstrated ability to collect, summarize and analyze qualitative and quantitative information. Strong command of Microsoft Office suite. Working knowledge of project management practices. PREFERRED QUALIFICATIONS: Bachelor's degree or higher in Business Administration, Law, Engineering, Contract Management, Construction Management, or Public Administration. 6-9 years of relevant experience Strong working knowledge of alternative delivery methods. Previous experience working with project teams, law, and procurement to execute capital projects. Familiarity with project scheduling, cost control systems, and contract claims. Familiarity with and ability to apply key concepts in all areas of project management including strategic planning, impact studies, budgetary analysis, logistical planning, and organizational relationships. WORK ENVIRONMENT: In office 4/5 days working at a desk and computer. Salaried position requires work outside of normal business hours as necessary. Approx. 10% travel mainly on the Northeast Corridor COMMUNICATIONS AND INTERPERSONAL SKILLS: Must have excellent oral and written communication skills. The salary range is $94,300-$122,256. Pay is based on several factors including but not limited to education, work experience, certifications, internal equity, etc. Depending on an employee's assigned worksite or location, Amtrak may consider a geo-pay differential to be applied to the employee's base salary. Amtrak may offer additional incentive and pay programs to recognize and reward our employees, including a short-term incentive bonus based upon factors such as individual and company performance that is commensurate with the level of the position and/or long-term incentive plan compensation. In addition to your salary, Amtrak offers a comprehensive benefit package that includes health, dental, and vision plans; health savings accounts; wellness programs; flexible spending accounts; 401K retirement plan with employer match; life insurance; short and long term disability insurance; paid time off; back-up care; adoption assistance; surrogacy assistance; reimbursement of education expenses; Public Service Loan Forgiveness eligibility; Railroad Retirement sickness and retirement benefits; and rail pass privileges. Learn more about our benefits offerings here. #LI-CD1 Requisition ID: 165134 Work Arrangement: 06-Onsite 4/5 Days Click here for more information about work arrangements at Amtrak. Relocation Offered: No Travel Requirements: Up to 25% You power our progress through your performance. We want your work at Amtrak to be more than a job. We want your career at Amtrak to be a fulfilling experience where you find challenging work, rewarding opportunities, respect among colleagues, and attractive compensation. Amtrak maintains a culture that values high performance and recognizes individual employee contributions. Amtrak is committed to a safe workplace free of drugs and alcohol. All Amtrak positions requires a pre-employment background check that includes prior employment verification, a criminal history check and a pre-employment drug screen. Candidates who test positive for marijuana will be disqualified, regardless of any state or local statute, ordinance, regulation, or other law that legalizes or decriminalizes the use or possession of marijuana, whether for medical, recreational, or other use. Amtrak's pre-employment drug testing program is administered in accordance with DOT regulations and applicable law. In accordance with DOT regulations (49 CFR &sect; 40.25), Amtrak is required to obtain prior drug and alcohol testing records for applicants/employees intending to perform safety-sensitive duties for covered Department of Transportation positions. If an applicant/employee refuses to provide written consent for Amtrak to obtain these records, the individual will not be permitted to perform safety-sensitive functions. In accordance with federal law governing security checks of covered individuals for providers of public transportation (Title 6 U.S.C. &sect;1143), Amtrak is required to screen applicants for any permanent or interim disqualifying criminal offenses. Note that any education requirement listed above may be deemed satisfied if you have an equivalent combination of education, training and experience. Amtrak is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race/color, to include traits historically associated with race, including but not limited to, hair texture and hairstyles such as braids, locks and twists, religion, sex (including pregnancy, childbirth and related conditions, such as lactation), national origin/ethnicity, disability (intellectual, mental and physical), veteran status, marital status, ancestry, sexual orientation, gender identity and gender expression, genetic information, citizenship or any other personal characteristics protected by law..",Transport And Freight,https://www.indeed.com/cmp/Amtrak,"10,000+",$1B to $5B (USD),The future rides with us - let's enjoy the journey together!,,,,,New York,"communication, excel, leadership, project management"
in-7c01e3b147d446de,indeed,https://www.indeed.com/viewjob?jk=7c01e3b147d446de,Business Analyst Corporate/Commercial Banking-4,Realign,"New York, NY, US",2025-11-26,contract,nan,nan,,,nan,False,,,,"Job Type: Contract Job Category: IT Job Description Role: Business Analyst &ndash; Corporate/Commercial Banking Location: NYC (Onsite) Contract Required Skills & Experience: 7+ years of experience in Corporate, Commercial, or Institutional Banking Strong Business Systems Analyst (BSA) background with proven capability in functional requirements gathering, documentation, and stakeholder interaction Excellent communication skills with the ability to engage business and technical teams effectively Solid understanding of IT SDLC , Agile methodologies , and data analysis (including SQL and data profiling) Experience in Corporate/Commercial Lending lines of business is required Prior experience with ACBS or similar conversion/migration projects is highly preferred Quality Assurance Skills (Highly Preferred): Hands-on experience performing QA/testing on user interfaces , web applications , and database testing (SQL) Ability to build and execute test plans ; exposure to test automation is an added advantage Ideal Candidate: Strong analytical mindset with attention to detail Ability to work cross-functionally in fast-paced environments Comfortable balancing BSA and QA responsibilities when needed Required Skills DATA ANALYST",nan,https://www.indeed.com/cmp/Realign,nan,nan,,,,,,New York,"agile, communication, sql"
in-eb6772f9375e7b9d,indeed,https://www.indeed.com/viewjob?jk=eb6772f9375e7b9d,Reference Data Services Senior Analyst Assistant Vice President,Citi,"New York, NY, US",2025-11-25,fulltime,direct_data,yearly,109120.0,163680.0,USD,False,,,,"The Reference Data Services Sr Analyst is a seasoned professional role. Applies in-depth disciplinary knowledge, contributing to the development of new techniques and the improvement of processes and work-flow for the area or function. Integrates subject matter and industry expertise within a defined area. Requires in-depth understanding of how areas collectively integrate within the sub-function as well as coordinate and contribute to the objectives of the function and overall business. Evaluates moderately complex and variable issues with substantial potential impact, where development of an approach/taking of an action involves weighing various alternatives and balancing potentially conflicting situations using multiple sources of information. Requires good analytical skills in order to filter, prioritize and validate potentially complex and dynamic material from multiple sources. Strong communication and diplomacy skills are required. Regularly assumes informal/formal leadership role within teams. Involved in coaching and training of new recruits Significant impact in terms of project size, geography, etc. by influencing decisions through advice, counsel and/or facilitating services to others in area of specialization. Work and performance of all teams in the area are directly affected by the performance of the individual. Responsibilities: Exercises full leadership and supervisory responsibility over Operations Support department typically consisting of multiple teams. Evaluates subordinates' performance and makes recommendations for staffing, pay increases, promotions, terminations, etc. Determines hiring to ensure adequate staffing. Recommends new work procedures with broader scope of impact. Deals with variable (occasionally complex) issues with substantial potential impact. Directly impacts the area through shared responsibility for delivery of end results and contribution to planning, budget management and formulation of procedures; influences resource planning. Responsible for opening and maintaining customer sub-accounts or product pricing setups, and actively ensuring that customer/product data details and settlement instructions across a variety of systems remain up to date. Has the ability to operate with a limited level of direct supervision. Can exercise independence of judgement and autonomy. Acts as SME to senior stakeholders and /or other team members. Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency. Qualifications: 5-8 years of prior operations management experience Strong communication skills both written and verbal Leadership mentality Microsoft Office Suite proficiency Ability to multi-task while maintaining attention to detail Education: Bachelor's/University degree or equivalent experience Work schedule: Monday to Friday 8:30am to 5pm - Job Family Group: Operations - Services - Job Family: Reference Data Services - Time Type: Full time - Primary Location: New York New York United States - Primary Location Full Time Salary Range: $109,120.00 - $163,680.00 In addition to salary, Citi's offerings may also include, for eligible employees, discretionary and formulaic incentive and retention awards. Citi offers competitive employee benefits, including: medical, dental & vision coverage; 401(k); life, accident, and disability insurance; and wellness programs. Citi also offers paid time off packages, including planned time off (vacation), unplanned time off (sick leave), and paid holidays. For additional information regarding Citi employee benefits, please visit citibenefits.com. Available offerings may vary by jurisdiction, job level, and date of hire. - Most Relevant Skills Please see the requirements listed above. - Other Relevant Skills For complementary skills, please see above and/or contact the recruiter. - Anticipated Posting Close Date: Dec 03, 2025 - Citi is an equal opportunity employer, and qualified candidates will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other characteristic protected by law. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi . View Citi's EEO Policy Statement and the Know Your Rights poster.",nan,https://www.indeed.com/cmp/Citi,"10,000+",more than $10B (USD),Citi is more than a global financial services company. It's an engine for progress. Apply today to to get involved.,,,,,New York,"communication, leadership"
