id,site,job_url,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,description,company_industry,company_url,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,state,parsed_skills
in-d89227ca1bb73efa,indeed,https://www.indeed.com/viewjob?jk=d89227ca1bb73efa,"Database Administrator MS Access, Emerging Talent Intern (Spring)",Metropolitan Transportation Authority,"Brooklyn, NY, US",2025-11-24,internship,nan,hourly,,,USD,False,,,,"Job ID: 13458 Business Unit: New York City Transit Location: Brooklyn, NY, United States Regular/Temporary: Intern Department: NYC Transit Authority Date Posted: Nov 25, 2025 Description Department: Administration, New York City Transit- Subways Location: 130 Livingston Street, Brooklyn, NY 11201 Position Title: Database Administrator MS Access, Emerging Talent Intern Hourly Rate: $19.00 (Undergraduate) OVERVIEW OF DEPARTMENT: The Department is Subways is responsible for the operations and maintenance of the subway infrastructure system. This Division is responsible for Construction Projects in that system with given budget and schedule. The information reported and managed is focused primarily on construction: time management, job progress, construction activities, employee assignments, and schedule. RESPONSIBILITIES: Learn and apply spreadsheet (MS Excel) and database (MS Access) skills for use in construction. Support in the following areas: Learn the existing database and spreadsheets in use. Optimize and improve existing database and spreadsheets. Trouble shoot User issues encountered during use. Develop new objects in Excel and Access. Understand how data is collected, managed, and assessed. Updating various databases and spreadsheets. Review and assess data for quality and accuracy. Support in preparing and developing reports, graphs and charts and present your work to managers. Learn basics in Transit operations and construction. Interact with end Users. Provide help desk support and trouble-shooting support. Opportunity to learn Enterprise Asset Management (EAM) -SAP based software. Office duties (data entry, answering phones, mailroom, copying, etc.) PROJECTS: Intern will be assigned multiple databases and spreadsheets used in project management and construction, Construction Projects Financial Projects Asset Condition Projects Interns will be supporting multiple projects in improving User experience and decision-making. Demonstration and presentation of these projects to end-user. Verifying and auditing User entries. Support in handling trouble-calls Interns will support in developing new spreadsheets and databases as requested by stakeholder. REQUIRED QUALIFICATIONS: Proficiency in Microsoft Office Suite is a must. The candidate should possess organizational, analytical and communication skills. The candidate should be able to work well under pressure and prioritize tasks effectively. The candidate should have a keen eye for detail and be able to work independently while being an active team player. Intermediate knowledge in MS Excel and MS Access. Effective report writing. REQUIRED EDUCATION: Matriculated in an undergraduate program in good standing with at least 2.5 GPA Major(s) Preferred: Computer Science (Database), Mathematics, Data Science, Accounting, Finance, or related field. All applicants must be authorized to work in the United States at the time of application. Students' transcript must be submitted. Equal Employment Opportunity MTA and its subsidiary and affiliated agencies are Equal Opportunity Employers, including with respect to veteran status and individuals with disabilities. The MTA encourages qualified applicants from diverse backgrounds, experiences, and abilities, including military service members, to apply.",nan,https://www.indeed.com/cmp/Metropolitan-Transportation-Authority-7,"10,000+",nan,We move the region that moves the world.,,,,,New York,"communication, excel, presentation, project management"
in-bc50064f81830108,indeed,https://www.indeed.com/viewjob?jk=bc50064f81830108,America Data Center | Infrastructure & Operations Department - Server Management AVP - Database Administrator,Bank of China,"New York, NY, US",2025-11-23,fulltime,direct_data,yearly,65000.0,150000.0,USD,False,,,,"Introduction: Established in 1912, Bank of China is one of the largest banks in the world, with over $3 trillion in assets and a footprint that spans more than 60 countries and regions. Our long-term outlook, institutional weight and global breadth provide our clients with a stable and reliable financial partner, whether in Corporate or Personal Banking or our Trade Services, Commodities, Financial Institutions and Global Markets lines of business. Overview: The America Data Center Database Administrator (DBA) will be responsible for the administration, maintenance, and optimization of the bank's database environments (Microsoft SQL Server and Oracle Database). This role ensures the availability, security, performance, and integrity of critical banking systems and supports application teams with database solutions. The DBA is also expected to have understandings of Windows and Linux operating systems to effectively support the underlying infrastructure. Responsibilities: Include but not limited to: Database Administration Perform daily monitoring, maintenance, and administration of SQL Server databases and some Oracle Databases in production and non-production environments. Monitor database performance, identify issues, and implement tuning solutions. Ensure high availability and disaster recovery capabilities, including backup and recovery strategies. Manage user access control, database security policies, and compliance with regulatory requirements. Apply patches, upgrades, and perform version management to ensure system stability and security. Maintain database documentation including setup, configuration, architecture, and operational procedures. Work closely with system administrators to support database infrastructure across Windows, and Linux platforms. Facilitate data restoration to testing environment to support application team with development and investigations. Project Support & Development Collaborate with application development teams to design and set up database environment, implement efficient database structures and stored procedures. Participate in system upgrades, migrations, and new application deployments. Support SQL scripting, query optimization, and PL/SQL or T-SQL code review. Assist in capacity planning and infrastructure optimization. Follow change management procedures and ensure minimal downtime during maintenance windows. Qualifications: Bachelor's degree in Computer Science, Information Technology, or related field; Master's degree preferred. Minimum 4 years of hands-on experience as a DBA supporting SQL Server in enterprise environments and Oracle databases experience. Solid knowledge of backup/recovery, clustering, replication, and performance tuning. Experience with database security, user and role management, and auditing. Working knowledge of Windows and Linux operating systems, including file systems, storage, and basic system administration. Strong understanding of database architecture, indexes, partitions, and query optimization. Familiarity with scripting languages such as PowerShell, Bash, or Ksh. Certifications such as Microsoft Certified: Azure Database Administrator Associate or Oracle University Certified Professional are a plus. Excellent problem-solving skills and ability to work in a team-oriented environment. Pay Range Actual salary is commensurate with candidate's relevant years of experience, skillset, education and other qualifications. : USD $65,000.00 - USD $150,000.00 /Yr.",Banks And Financial Services,https://www.indeed.com/cmp/Bank-of-China,"10,000+",more than $10B (USD),,,,,,New York,"azure, bash, clustering, linux, oracle, powershell, sql"
in-806556771a513435,indeed,https://www.indeed.com/viewjob?jk=806556771a513435,America Data Center | Infrastructure & Operations Department - Server Management AVP - Database Administrator,Bank of China,"New York, NY, US",2025-11-23,fulltime,direct_data,yearly,65000.0,150000.0,USD,False,,,,"Introduction: Established in 1912, Bank of China is one of the largest banks in the world, with over $3 trillion in assets and a footprint that spans more than 60 countries and regions. Our long-term outlook, institutional weight and global breadth provide our clients with a stable and reliable financial partner, whether in Corporate or Personal Banking or our Trade Services, Commodities, Financial Institutions and Global Markets lines of business. Overview: The America Data Center Database Administrator (DBA) will be responsible for the administration, maintenance, and optimization of the bank's database environments (Microsoft SQL Server and Oracle Database). This role ensures the availability, security, performance, and integrity of critical banking systems and supports application teams with database solutions. The DBA is also expected to have understandings of Windows and Linux operating systems to effectively support the underlying infrastructure. Responsibilities: Include but not limited to: Database Administration Perform daily monitoring, maintenance, and administration of SQL Server databases and some Oracle Databases in production and non-production environments. Monitor database performance, identify issues, and implement tuning solutions. Ensure high availability and disaster recovery capabilities, including backup and recovery strategies. Manage user access control, database security policies, and compliance with regulatory requirements. Apply patches, upgrades, and perform version management to ensure system stability and security. Maintain database documentation including setup, configuration, architecture, and operational procedures. Work closely with system administrators to support database infrastructure across Windows, and Linux platforms. Facilitate data restoration to testing environment to support application team with development and investigations. Project Support & Development Collaborate with application development teams to design and set up database environment, implement efficient database structures and stored procedures. Participate in system upgrades, migrations, and new application deployments. Support SQL scripting, query optimization, and PL/SQL or T-SQL code review. Assist in capacity planning and infrastructure optimization. Follow change management procedures and ensure minimal downtime during maintenance windows. Qualifications: Bachelor's degree in Computer Science, Information Technology, or related field; Master's degree preferred. Minimum 4 years of hands-on experience as a DBA supporting SQL Server in enterprise environments and Oracle databases experience. Solid knowledge of backup/recovery, clustering, replication, and performance tuning. Experience with database security, user and role management, and auditing. Working knowledge of Windows and Linux operating systems, including file systems, storage, and basic system administration. Strong understanding of database architecture, indexes, partitions, and query optimization. Familiarity with scripting languages such as PowerShell, Bash, or Ksh. Certifications such as Microsoft Certified: Azure Database Administrator Associate or Oracle University Certified Professional are a plus. Excellent problem-solving skills and ability to work in a team-oriented environment. Pay Range Actual salary is commensurate with candidate's relevant years of experience, skillset, education and other qualifications. : USD $65,000.00 - USD $150,000.00 /Yr.",Banks And Financial Services,https://www.indeed.com/cmp/Bank-of-China,"10,000+",more than $10B (USD),,,,,,New York,"azure, bash, clustering, linux, oracle, powershell, sql"
in-a1cad12be2ab7356,indeed,https://www.indeed.com/viewjob?jk=a1cad12be2ab7356,Lead Software Engineer - Cloud DBA,JPMorganChase,"New York, NY, US",2025-11-22,fulltime,direct_data,yearly,152000.0,215000.0,USD,False,,,,"JOB DESCRIPTION We have an opportunity to impact your career and provide an adventure where you can push the limits of what's possible. As a Lead Software Engineer - Database Administrator at JPMorgan Chase within the Connected Commerce Proprietary Wallets domain, you are an integral part of an agile team that works to enhance, build, and deliver trusted market-leading technology products in a secure, stable, and scalable way. As a core technical contributor, you are responsible for conducting critical technology solutions across multiple technical areas within various business functions in support of the firm's business objectives. Job responsibilities Perform administration, design, implementation and support highly available and scalable cloud database solutions Implement data models, database designs, data access and table maintenance codes Implement and maintaining the High Availability features using Data Partitioning and Database replications Resolve database performance issues, database capacity issues, replication and other data issues Work with, application Architect, Information Architects and Database Designers to identify DB of choice, implement the physical data model Develop the database performance monitoring process and analyze data for optimization opportunities Guide application team to build strong resiliency pattern, test and implement the alerting solutions Plan for and execute required database upgrades or migrations Contributes to software engineering communities of practice and events that explore new and emerging technologies Adds to team culture of diversity, opportunity, inclusion, and respect Required qualifications, capabilities, and skills Formal training or certification on software engineering concepts and 5+ years applied experience Hands-on practical experience in system design, application development, testing, and operational stability Experience in developing, debugging, and maintaining code in a large corporate environment with one or more modern programming languages and database querying languages Experience as DBA with an emphasis on Database Administration/Engineering and Cloud Services Experience with Cassandra and/or Postgres is required Experience in database performance factors, monitoring tools and tuning/backup and recovery procedures Experience in productivity factors and ability to understand impact of problems on overall database performance is required Experience with fault detection and resolution processes Preferred qualifications, capabilities, and skills Coding experience with Java(Springboot), Python, Jenkins or Spinnaker Experience with Aurora Postgres, Cassandra, CockroachDB, DynamoDB, Terraform, and AWS Services ABOUT US Chase is a leading financial services firm, helping nearly half of America's households and small businesses achieve their financial goals through a broad range of financial products. Our mission is to create engaged, lifelong relationships and put our customers at the heart of everything we do. We also help small businesses, nonprofits and cities grow, delivering solutions to solve all their financial needs. We offer a competitive total rewards package including base salary determined based on the role, experience, skill set and location. Those in eligible roles may receive commission-based pay and/or discretionary incentive compensation, paid in the form of cash and/or forfeitable equity, awarded in recognition of individual achievements and contributions. We also offer a range of benefits and programs to meet employee needs, based on eligibility. These benefits include comprehensive health care coverage, on-site health and wellness centers, a retirement savings plan, backup childcare, tuition reimbursement, mental health support, financial coaching and more. Additional details about total compensation and benefits will be provided during the hiring process. We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. We also make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as mental health or physical disability needs. Visit our FAQs for more information about requesting an accommodation. Equal Opportunity Employer/Disability/Veterans ABOUT THE TEAM Our Consumer & Community Banking division serves our Chase customers through a range of financial services, including personal banking, credit cards, mortgages, auto financing, investment advice, small business loans and payment processing. We're proud to lead the U.S. in credit card sales and deposit growth and have the most-used digital solutions &ndash; all while ranking first in customer satisfaction.",nan,https://www.indeed.com/cmp/Jpmorganchase-2,"10,000+",more than $10B (USD),"Headquartered in New York City, JPMorgan Chase is the largest bank in the United States.",,,,,New York,"agile, aws, cassandra, dynamodb, jenkins, python, system design, terraform"
in-48ef7be44de89feb,indeed,https://www.indeed.com/viewjob?jk=48ef7be44de89feb,Database Administrator - Programmer II (HYBRID),Care Compass Network,"Binghamton, NY, US",2025-11-20,nan,direct_data,yearly,74000.0,88000.0,USD,False,,,,"T his position will be hybrid and will require some on site work. Applicant must reside within a 2-hour radius of our home office in Binghamton NY. No relocation, provided. Applicants must be authorized to work for any employer in the U.S. Care Compass is unable to sponsor employment visas for this role. POSITION SUMMARY Working closely with IT and Analytics team, this role will be responsible for the design, implementation, maintenance, and security of our databases, while also leveraging programming skills to optimize performance, develop automation scripts, and support application development. This role requires both technical depth in database management and proficiency in programming to ensure seamless integration with business applications. The position will report to the IT Infrastructure Manager and will work closely with the Security Officer to ensure that the database and network environments remain within our HITRUST boundaries. RESPONSIBILITIES: The responsibilities of Database Administrator/Programmer II will include the following: Essential Functions: Install, configure and maintain database systems as well as database design, backups, auditing and logging. Implement and manage database security, backups, recovery plans, and disaster recovery strategies. Develop and maintain automation scripts for routine database tasks using programming languages (Python, PowerShell, Bash, SQL, C#, Java, APIs, etc.). Create ETL workflows using Mirth Connect (NextGen Connect) and ad-hoc scripting where necessary. Write code that conforms to industry standards for design and security. Work closely with the Security Officer and compliance department to ensure all policies, procedures and auditing are in place and adhered to. Identify and resolve issues related to databases including performance problems, software issues, server related issues and connection issues. Work closely with internal and external IT support staff to help resolve incidents or requests. Assist users with accessing and using databases and related resources. Perform regular audits to ensure data integrity, consistency, and compliance with organizational standards. Monitor the performance of databases to identify and address potential problems. Create and maintain documentation related to database configurations, procedures, and troubleshooting steps. Keeping up-to-date with the latest technologies and trends in database management and programming standards. Provide input for recommendations on IT solutions. Non-Essential Functions: May assume additional responsibilities as requested. MINIMUM REQUIREMENTS: Bachelor's degree in Computer Science, Information Technology, or related field (or equivalent work experience). 3+ years of experience as a Database Administrator. Knowledge of HIPAA, HITECH, PHI, PII Experience in medical data setting, healthcare quality measures highly desirable. Familiar with HITRUST/SSP Strong knowledge of MS SQL Server database management. Experience in other database systems (i.e. Oracle, MySQL, MS Fabric, etc.) highly desirable. Knowledge of ETL processes, EMPIs, APIs, data warehousing, and database design principles. LICENSE/CERTIFICATION: Minimum Required: N/A",nan,https://www.indeed.com/cmp/Care-Compass-Network,nan,nan,,,,,,New York,"bash, c, c#, data warehousing, etl, java, mysql, oracle, powershell, python, sql"
in-b88b291a6c2feed4,indeed,https://www.indeed.com/viewjob?jk=b88b291a6c2feed4,Database Administration - DA 25-33175,NavitsPartners,"Long Island City, NY, US",2025-11-19,nan,nan,hourly,,,USD,False,,,,"Job Title: Database Administrator Location: Long Island City, NY Duration: 6 Months Interview Type: In-person Note: The Pay Rate mentioned for this Role is for C2C Tax Term , W2 Rate will be different. Job Description Key Responsibilities: Database Installation & Configuration: Install, configure, and upgrade database software such as SQL Server and related tools. Performance Tuning & Optimization: Monitor database performance, identify bottlenecks, and implement tuning strategies including query optimization, indexing, and schema adjustments to ensure high efficiency. Backup & Recovery: Develop and maintain reliable backup and recovery procedures to ensure data integrity and availability. Conduct regular recovery testing to validate processes. Security Management: Implement and maintain database security policies, manage user access, enforce encryption standards, and perform auditing to protect sensitive data. Troubleshooting & Support: Diagnose and resolve complex database issues such as connectivity failures, data corruption, and performance degradation. Provide support to development teams and end users. Maintenance & Monitoring: Perform routine maintenance including patching, space management, and database integrity checks. Configure and manage monitoring tools and alerts. Replication & High Availability: Implement and maintain database replication, clustering, and other high-availability solutions to minimize downtime and support continuous operations. Capacity Planning: Monitor database growth and forecast future resource requirements to support scalability. Documentation: Create and maintain detailed documentation for database configurations, procedures, and troubleshooting guidelines. Collaboration: Work closely with developers, system administrators, and other IT teams to support application development, deployments, and infrastructure initiatives. Qualifications Education: Bachelor's degree in Computer Science, Information Technology, or a related field, or equivalent practical experience. Experience: 5+ years of proven experience as a Database Administrator in a production environment. Technical Skills: Strong expertise with SQL Server or other major database management systems. Proficiency in SQL and scripting languages such as PowerShell, Python, or Bash. Hands-on experience with database backup and recovery strategies. Solid understanding of database security best practices. Familiarity with Windows Server and Linux operating systems. Experience with database performance monitoring and tuning tools. Soft Skills: Excellent analytical and problem-solving abilities. High attention to detail and commitment to accuracy. Ability to work both independently and collaboratively. Strong written and verbal communication skills. Self-motivated, proactive, and able to take ownership of tasks. For more details reach at resumes@navitassols.com. About Navitas Partners, LLC: It is a certified WBENC and one of the fastest-growing Technical / IT staffing firms in the US providing services to numerous clients. We offer the most competitive pay for every position. We understand this is a partnership. You will not be blindsided and your salary will be discussed upfront.",nan,https://www.indeed.com/cmp/Navitspartners,nan,nan,,,,,,New York,"bash, clustering, communication, linux, powershell, python, scalability, sql"
in-f7f0e34ffa106f03,indeed,https://www.indeed.com/viewjob?jk=f7f0e34ffa106f03,Database Administration - DA 25-33175,NavitsPartners,"Astoria, NY, US",2025-11-19,nan,nan,hourly,,,USD,False,,,,"Job Title: Database Administrator Location: Long Island City, NY Duration: 6 Months Interview Type: In-person Note: The Pay Rate mentioned for this Role is for C2C Tax Term , W2 Rate will be different. Job Description Key Responsibilities: Database Installation & Configuration: Install, configure, and upgrade database software such as SQL Server and related tools. Performance Tuning & Optimization: Monitor database performance, identify bottlenecks, and implement tuning strategies including query optimization, indexing, and schema adjustments to ensure high efficiency. Backup & Recovery: Develop and maintain reliable backup and recovery procedures to ensure data integrity and availability. Conduct regular recovery testing to validate processes. Security Management: Implement and maintain database security policies, manage user access, enforce encryption standards, and perform auditing to protect sensitive data. Troubleshooting & Support: Diagnose and resolve complex database issues such as connectivity failures, data corruption, and performance degradation. Provide support to development teams and end users. Maintenance & Monitoring: Perform routine maintenance including patching, space management, and database integrity checks. Configure and manage monitoring tools and alerts. Replication & High Availability: Implement and maintain database replication, clustering, and other high-availability solutions to minimize downtime and support continuous operations. Capacity Planning: Monitor database growth and forecast future resource requirements to support scalability. Documentation: Create and maintain detailed documentation for database configurations, procedures, and troubleshooting guidelines. Collaboration: Work closely with developers, system administrators, and other IT teams to support application development, deployments, and infrastructure initiatives. Qualifications Education: Bachelor's degree in Computer Science, Information Technology, or a related field, or equivalent practical experience. Experience: 5+ years of proven experience as a Database Administrator in a production environment. Technical Skills: Strong expertise with SQL Server or other major database management systems. Proficiency in SQL and scripting languages such as PowerShell, Python, or Bash. Hands-on experience with database backup and recovery strategies. Solid understanding of database security best practices. Familiarity with Windows Server and Linux operating systems. Experience with database performance monitoring and tuning tools. Soft Skills: Excellent analytical and problem-solving abilities. High attention to detail and commitment to accuracy. Ability to work both independently and collaboratively. Strong written and verbal communication skills. Self-motivated, proactive, and able to take ownership of tasks. For more details reach at resumes@navitassols.com. About Navitas Partners, LLC: It is a certified WBENC and one of the fastest-growing Technical / IT staffing firms in the US providing services to numerous clients. We offer the most competitive pay for every position. We understand this is a partnership. You will not be blindsided and your salary will be discussed upfront.",nan,https://www.indeed.com/cmp/Navitspartners,nan,nan,,,,,,New York,"bash, clustering, communication, linux, powershell, python, scalability, sql"
in-c1155dbe958a76c9,indeed,https://www.indeed.com/viewjob?jk=c1155dbe958a76c9,Database Administration - DA 25-33175,NavitsPartners,"Jamaica, NY, US",2025-11-19,nan,nan,hourly,,,USD,False,,,,"Job Title: Database Administrator Location: Long Island City, NY Duration: 6 Months Interview Type: In-person Note: The Pay Rate mentioned for this Role is for C2C Tax Term , W2 Rate will be different. Job Description Key Responsibilities: Database Installation & Configuration: Install, configure, and upgrade database software such as SQL Server and related tools. Performance Tuning & Optimization: Monitor database performance, identify bottlenecks, and implement tuning strategies including query optimization, indexing, and schema adjustments to ensure high efficiency. Backup & Recovery: Develop and maintain reliable backup and recovery procedures to ensure data integrity and availability. Conduct regular recovery testing to validate processes. Security Management: Implement and maintain database security policies, manage user access, enforce encryption standards, and perform auditing to protect sensitive data. Troubleshooting & Support: Diagnose and resolve complex database issues such as connectivity failures, data corruption, and performance degradation. Provide support to development teams and end users. Maintenance & Monitoring: Perform routine maintenance including patching, space management, and database integrity checks. Configure and manage monitoring tools and alerts. Replication & High Availability: Implement and maintain database replication, clustering, and other high-availability solutions to minimize downtime and support continuous operations. Capacity Planning: Monitor database growth and forecast future resource requirements to support scalability. Documentation: Create and maintain detailed documentation for database configurations, procedures, and troubleshooting guidelines. Collaboration: Work closely with developers, system administrators, and other IT teams to support application development, deployments, and infrastructure initiatives. Qualifications Education: Bachelor's degree in Computer Science, Information Technology, or a related field, or equivalent practical experience. Experience: 5+ years of proven experience as a Database Administrator in a production environment. Technical Skills: Strong expertise with SQL Server or other major database management systems. Proficiency in SQL and scripting languages such as PowerShell, Python, or Bash. Hands-on experience with database backup and recovery strategies. Solid understanding of database security best practices. Familiarity with Windows Server and Linux operating systems. Experience with database performance monitoring and tuning tools. Soft Skills: Excellent analytical and problem-solving abilities. High attention to detail and commitment to accuracy. Ability to work both independently and collaboratively. Strong written and verbal communication skills. Self-motivated, proactive, and able to take ownership of tasks. For more details reach at resumes@navitassols.com. About Navitas Partners, LLC: It is a certified WBENC and one of the fastest-growing Technical / IT staffing firms in the US providing services to numerous clients. We offer the most competitive pay for every position. We understand this is a partnership. You will not be blindsided and your salary will be discussed upfront.",nan,https://www.indeed.com/cmp/Navitspartners,nan,nan,,,,,,New York,"bash, clustering, communication, linux, powershell, python, scalability, sql"
in-bf7364ff73a1a1a6,indeed,https://www.indeed.com/viewjob?jk=bf7364ff73a1a1a6,Database Administration - DA 25-33175,NavitsPartners,"Brooklyn, NY, US",2025-11-19,nan,nan,hourly,,,USD,False,,,,"Job Title: Database Administrator Location: Long Island City, NY Duration: 6 Months Interview Type: In-person Note: The Pay Rate mentioned for this Role is for C2C Tax Term , W2 Rate will be different. Job Description Key Responsibilities: Database Installation & Configuration: Install, configure, and upgrade database software such as SQL Server and related tools. Performance Tuning & Optimization: Monitor database performance, identify bottlenecks, and implement tuning strategies including query optimization, indexing, and schema adjustments to ensure high efficiency. Backup & Recovery: Develop and maintain reliable backup and recovery procedures to ensure data integrity and availability. Conduct regular recovery testing to validate processes. Security Management: Implement and maintain database security policies, manage user access, enforce encryption standards, and perform auditing to protect sensitive data. Troubleshooting & Support: Diagnose and resolve complex database issues such as connectivity failures, data corruption, and performance degradation. Provide support to development teams and end users. Maintenance & Monitoring: Perform routine maintenance including patching, space management, and database integrity checks. Configure and manage monitoring tools and alerts. Replication & High Availability: Implement and maintain database replication, clustering, and other high-availability solutions to minimize downtime and support continuous operations. Capacity Planning: Monitor database growth and forecast future resource requirements to support scalability. Documentation: Create and maintain detailed documentation for database configurations, procedures, and troubleshooting guidelines. Collaboration: Work closely with developers, system administrators, and other IT teams to support application development, deployments, and infrastructure initiatives. Qualifications Education: Bachelor's degree in Computer Science, Information Technology, or a related field, or equivalent practical experience. Experience: 5+ years of proven experience as a Database Administrator in a production environment. Technical Skills: Strong expertise with SQL Server or other major database management systems. Proficiency in SQL and scripting languages such as PowerShell, Python, or Bash. Hands-on experience with database backup and recovery strategies. Solid understanding of database security best practices. Familiarity with Windows Server and Linux operating systems. Experience with database performance monitoring and tuning tools. Soft Skills: Excellent analytical and problem-solving abilities. High attention to detail and commitment to accuracy. Ability to work both independently and collaboratively. Strong written and verbal communication skills. Self-motivated, proactive, and able to take ownership of tasks. For more details reach at resumes@navitassols.com. About Navitas Partners, LLC: It is a certified WBENC and one of the fastest-growing Technical / IT staffing firms in the US providing services to numerous clients. We offer the most competitive pay for every position. We understand this is a partnership. You will not be blindsided and your salary will be discussed upfront.",nan,https://www.indeed.com/cmp/Navitspartners,nan,nan,,,,,,New York,"bash, clustering, communication, linux, powershell, python, scalability, sql"
in-75815bfb2857771b,indeed,https://www.indeed.com/viewjob?jk=75815bfb2857771b,Database Administration - DA 25-33175,NavitsPartners,"New York, NY, US",2025-11-19,nan,nan,hourly,,,USD,False,,,,"Job Title: Database Administrator Location: Long Island City, NY Duration: 6 Months Interview Type: In-person Note: The Pay Rate mentioned for this Role is for C2C Tax Term , W2 Rate will be different. Job Description Key Responsibilities: Database Installation & Configuration: Install, configure, and upgrade database software such as SQL Server and related tools. Performance Tuning & Optimization: Monitor database performance, identify bottlenecks, and implement tuning strategies including query optimization, indexing, and schema adjustments to ensure high efficiency. Backup & Recovery: Develop and maintain reliable backup and recovery procedures to ensure data integrity and availability. Conduct regular recovery testing to validate processes. Security Management: Implement and maintain database security policies, manage user access, enforce encryption standards, and perform auditing to protect sensitive data. Troubleshooting & Support: Diagnose and resolve complex database issues such as connectivity failures, data corruption, and performance degradation. Provide support to development teams and end users. Maintenance & Monitoring: Perform routine maintenance including patching, space management, and database integrity checks. Configure and manage monitoring tools and alerts. Replication & High Availability: Implement and maintain database replication, clustering, and other high-availability solutions to minimize downtime and support continuous operations. Capacity Planning: Monitor database growth and forecast future resource requirements to support scalability. Documentation: Create and maintain detailed documentation for database configurations, procedures, and troubleshooting guidelines. Collaboration: Work closely with developers, system administrators, and other IT teams to support application development, deployments, and infrastructure initiatives. Qualifications Education: Bachelor's degree in Computer Science, Information Technology, or a related field, or equivalent practical experience. Experience: 5+ years of proven experience as a Database Administrator in a production environment. Technical Skills: Strong expertise with SQL Server or other major database management systems. Proficiency in SQL and scripting languages such as PowerShell, Python, or Bash. Hands-on experience with database backup and recovery strategies. Solid understanding of database security best practices. Familiarity with Windows Server and Linux operating systems. Experience with database performance monitoring and tuning tools. Soft Skills: Excellent analytical and problem-solving abilities. High attention to detail and commitment to accuracy. Ability to work both independently and collaboratively. Strong written and verbal communication skills. Self-motivated, proactive, and able to take ownership of tasks. For more details reach at resumes@navitassols.com. About Navitas Partners, LLC: It is a certified WBENC and one of the fastest-growing Technical / IT staffing firms in the US providing services to numerous clients. We offer the most competitive pay for every position. We understand this is a partnership. You will not be blindsided and your salary will be discussed upfront.",nan,https://www.indeed.com/cmp/Navitspartners,nan,nan,,,,,,New York,"bash, clustering, communication, linux, powershell, python, scalability, sql"
