id,site,job_url,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,description,company_industry,company_url,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,state
in-10ff05b138d4c367,indeed,https://www.indeed.com/viewjob?jk=10ff05b138d4c367,AI Agents Software Developer,Swanktek,"New York, NY, US",2025-11-25,fulltime,direct_data,yearly,500000.0,700000.0,USD,False,,,,"Overview &#9679; Design and develop robust AI agents using Python &#9679; Integrate AI solutions with existing enterprise systems &#9679; Evaluate third party models and services, understanding their strengths and weaknesses &#9679; Collaborate with cross functional teams to understand user needs and deliver effective agent solutions &#9679; Maintain and improve a platform for evaluating AI agents &#9679; Participate in code reviews and follow standard development practices using tools like Git and Confluence &#9679; Troubleshoot and debug AI systems to ensure optimal performance Qualifications Who you are: ? Bachelor's degree in Computer Science, Artificial Intelligence, or a related field ? Minimum of 3 years' experience in developing Python applications ? Commercial or open-source experience developing AI agents using well known frameworks or services ? Strong knowledge of Python, common AI or ML libraries, and integration with third party services ? Experience with enterprise tools such as Git, Confluence, and Slack ? Strong problem-solving skills and the ability to thrive in a dynamic environment Job Type: Full-time Pay: $500,000.00 - $700,000.00 per year Benefits: 401(k) Dental insurance Flexible schedule Health insurance Paid time off Tuition reimbursement Vision insurance Experience: AI agents using Python: 4 years (Required) Git, Confluence, and Slack: 2 years (Required) Work Location: In person",nan,https://www.indeed.com/cmp/Swanktek-2,nan,nan,,,,,,New York
in-875aa88f791f415d,indeed,https://www.indeed.com/viewjob?jk=875aa88f791f415d,Azure DevOps Lead,Gain America Inc,"Hicksville, NY, US",2025-11-25,"fulltime, contract",nan,yearly,,,USD,False,,,,"We are currently hiring W2 candidates Only. We are looking for candidates who are local to New York and can commute to Albany as needed. Visa: GC, US Citizen, H4 Location: Albany ,New York Job Overview We are seeking a highly skilled Azure DevOps Lead to oversee and enhance our cloud-based development and deployment processes. The ideal candidate will possess extensive experience in cloud computing, enterprise software, and IT infrastructure management. This role involves leading DevOps initiatives, implementing CI/CD pipelines, and ensuring the security and reliability of our cloud environments. The Azure DevOps Lead will collaborate with cross-functional teams to streamline software development lifecycle (SDLC) processes, optimize system performance, and support disaster recovery strategies across multiple platforms including Azure, AWS, Google Cloud Platform, and private cloud infrastructures. Responsibilities Lead the design, implementation, and management of Azure DevOps pipelines for continuous integration and continuous delivery (CI/CD). Oversee the deployment and configuration of containerization technologies such as Docker and Kubernetes to support scalable microservices architectures. Manage cloud infrastructure provisioning using Terraform, Ansible, Puppet, Chef, and OpenStack to ensure efficient resource utilization. Monitor system health and application performance utilizing tools like New Relic, Splunk, Elasticsearch, and log analysis techniques. Collaborate with development teams to integrate enterprise software solutions including WebSphere, Weblogic, JBoss, and Microsoft SQL Server into cloud environments. Implement security best practices for cloud infrastructure including firewall management, identity & access management (IAM), DNS security, and cloud security protocols. Facilitate incident response, disaster recovery planning, and incident management to minimize downtime. Support system testing, troubleshooting, release management, and software deployment activities across diverse platforms. Ensure compliance with IT standards such as SDLC methodologies (Agile, Scrum), requirements gathering, requirements management, and quality assurance processes. Provide technical support for complex IT projects involving virtualization (VMware), system administration on Linux/Unix/Windows servers, network administration (LAN/WAN/TCP/IP), and RESTful API integrations. Skills Extensive experience with Azure DevOps tools including pipelines for CI/CD automation. Strong knowledge of cloud computing platforms: Azure (mandatory), AWS (S3), Google Cloud Platform; familiarity with hybrid cloud architectures. Proficiency in containerization (Docker), orchestration (Kubernetes), virtualization (VMware), and open-source automation tools (Ansible, Puppet, Chef). Expertise in scripting languages such as PowerShell, Bash shell scripting, Python, Groovy, Perl; experience with scripting for automation tasks. Deep understanding of enterprise software systems like WebSphere, Weblogic; middleware integration skills. Hands-on experience with databases including MySQL, Microsoft SQL Server, Oracle; proficiency in T-SQL and PL/SQL. Knowledge of web services (RESTful APIs), web servers (NGINX), load balancing techniques. Familiarity with version control systems such as GitHub/GitLab/Subversion (SVN). Experience managing distributed systems architecture involving microservices and REST APIs. Strong background in IT project management methodologies including Agile/Scrum; incident response and incident recovery procedures. Skills in log analysis tools like Splunk or Elasticsearch; understanding of network protocols TCP/IP/TCP; DNS management; network administration fundamentals. This position offers an exciting opportunity to lead innovative cloud initiatives within a dynamic organization committed to technological excellence. The ideal candidate will demonstrate leadership in complex IT environments while maintaining a focus on security, scalability, and continuous improvement in software development practices. Job Types: Full-time, Contract Pay: Up to $70,000.00 per year Work Location: In person",nan,https://www.indeed.com/cmp/Gain-America-Inc,51 to 200,nan,,,,,,New York
in-4dd39f5e368624b3,indeed,https://www.indeed.com/viewjob?jk=4dd39f5e368624b3,Senior React Engineer,Venuiti Solutions,"Buffalo, NY, US",2025-11-25,"fulltime, contract",direct_data,yearly,110000.0,140000.0,USD,True,,,,"Job Title: React Developer (Mid-to-Senior | On-Site | U.S. & Canada Travel) Location: Buffalo, NY &ndash; Strictly On-Site Travel: Required (Primarily within the U.S., occasional travel to Canada) About the Role We're searching for a sharp, experienced, and product-focused React Developer to join our U.S.-based technical launch team. This is a fully on-site role located in Buffalo, NY, and it's designed for someone who's done more than just front-end cosmetics&mdash;you've built and shipped real, scalable applications with React, Typescript, Redux, and modern web tooling. You'll work closely with our back-end, DevOps, and QA engineers to deliver responsive, performant, and secure user interfaces for mission-critical systems. You should bring both precision and speed: someone who cares about component structure, accessibility, state management, and performance&mdash;but who can also turn around enterprise-grade features under tight timelines and changing requirements. Key Responsibilities Build modern, responsive web applications using React, TypeScript, Redux, and associated tooling. Translate Figma designs, stakeholder specs, and functional requirements into clean, performant, testable code. Work alongside Java developers and DevOps engineers to integrate APIs, error handling, and authentication workflows (OAuth, Cognito, JWT). Create, refactor, and maintain reusable UI components across multiple applications. Support test automation efforts using Jest, Vitest, or Cypress , and work with QA to build coverage for key workflows. Own accessibility (WCAG/a11y), SEO, responsive layout, and frontend performance optimization. Implement monitoring, logging, and analytics tools (Google Analytics, SonarQube, etc.) to ensure front-end observability. Participate in code reviews, architecture discussions, and Agile sprint planning. Travel to client sites (U.S. and Canada) for go-live support, UI validation, and team bootstrapping. Minimum Qualifications 5+ years of professional experience with: JavaScript, TypeScript, React, Redux, Object-Oriented Programming, Electron.js, Docker, Gitlab Strong HTML5/CSS3 skills, including SASS , and accessibility best practices Familiarity with modern front-end testing tools: Jest, Vitest, Cypress Experience working with backend teams and RESTful APIs, ideally using NodeJS, Express, or GraphQL Git version control, Agile workflows, and CI/CD familiarity Excellent problem-solving and communication skills Strong attention to design fidelity, browser compatibility, and UX polish Bonus Points For Experience with: Front-end performance audits, SEO optimization, and analytics instrumentation Prior work in healthcare , or government-secure UI systems Client-facing experience, including pre-sales support or stakeholder demos Who You Are You live and breathe JavaScript frameworks&mdash;but you don't treat design, accessibility, or mobile performance as afterthoughts. You're used to fast-paced development environments and can pivot quickly when requirements evolve. You take ownership: if the build breaks or a layout regresses, you fix it without finger-pointing. You collaborate deeply&mdash;never working in a silo, always connected to the broader delivery pipeline. You're excited about being part of a core product team with real impact on user experience and client satisfaction. Work Environment This is a strictly on-site role based in Buffalo, NY. Travel will be required across the U.S. and Canada for deployment support, validation, and training. No hybrid or remote work options available. Job Types: Full-time, Contract Pay: $110,000.00 - $140,000.00 per year Application Question(s): What is Your Work Authorization(H1B, GC, Citizenship, etc.)? This is for a Security Clearance Requirement. Experience: ReactJS: 5 years (Required) Government: 2 years (Preferred) Ability to Commute: Buffalo, NY 14233 (Required) Work Location: In person",nan,https://www.indeed.com/cmp/Venuiti-Solutions-1,nan,nan,,,,,,New York
in-36e1c8a3419f356b,indeed,https://www.indeed.com/viewjob?jk=36e1c8a3419f356b,Senior Java Backend Developer,Venuiti Solutions,"Buffalo, NY, US",2025-11-25,fulltime,direct_data,yearly,120000.0,140000.0,USD,True,,,,"Job Title: Java Developer (Mid-to-Senior | On-Site | U.S. & Canada Travel) Location: Buffalo, NY &ndash; Strictly On-Site Travel: Required (Primarily within the U.S., with occasional travel to Canada) About the Role We're looking for a Mid-to-Senior level Java Developer to join our high-performance, on-site engineering team in Buffalo, NY. This role is tailor-made for someone who has already moved beyond basic CRUD apps and is confident owning complex back-end systems, collaborating with DevOps and QA, and delivering resilient, secure services in a cloud-native environment. You'll work alongside our front-end and infrastructure teams to build API-driven architectures that scale. We want someone who understands why performance, observability, and clean design patterns matter&mdash;and who thrives in environments where delivery speed and code quality go hand in hand. Key Responsibilities Design and develop robust, testable Java services using Spring Boot and RESTful APIs , integrating with secure cloud-based systems. Architect backend components to support real-time applications, asynchronous workflows, and data-rich transactions. Lead or contribute to service-level design decisions, schema modeling, dependency management, and system health monitoring. Optimize performance through effective use of logging, caching, multi-threading, and error-handling strategies. Collaborate cross-functionally with React developers, DevOps, and QA engineers to deliver full-stack solutions. Integrate AWS services such as ECS, SecretManager, PostgresSQL Participate in Agile ceremonies, peer code reviews, technical planning sessions, and architecture discussions. Travel to client sites across the U.S. and Canada to support system rollouts, troubleshoot deployment issues, and represent the engineering team as needed. Minimum Qualifications 5+ years of hands-on professional experience in backend software development with Java and Spring Boot. Strong experience with: REST API development, Relational (e.g., PostgreSQL) , AWS services like S3, and EC2 or Lambda Solid grasp of OOP principles, design patterns , and system modularity. Experience in CI/CD workflows, Git , and Agile methodologies. Ability to independently own, troubleshoot, and enhance production services in secure environments. Excellent communication and technical documentation skills. Bonus Points For Familiarity with: Message queues , event-driven architectures, or pub/sub systems, Authentication/authorization strategies (e.g., JWT, OAuth2) , Monitoring and logging tools and Visualization (e.g., Grafana, micrometer) Full-stack experience with React, Express , or other front-end frameworks Experience in highly regulated industries (e.g., healthcare, finance, government) Who You Are You think in systems and write code that others can read, reuse, and scale. You're comfortable making architectural suggestions&mdash;and backing them up. You approach projects holistically, not just from the standpoint of what you're coding. You take initiative when specs are unclear and aren't afraid to ask the right questions. You care about security, reliability, and what happens after your code hits production. Work Environment This is a strictly on-site role based in Buffalo, NY . Regular travel throughout the U.S. , with occasional visits to Canada , is expected. No remote or hybrid options available. Job Type: Full-time Pay: $120,000.00 - $140,000.00 per year Application Question(s): What is Your Work Authorization(H1B, GC, Citizenship, etc.)? This is for a Security Clearance Requirement. Experience: Java Development: 5 years (Required) Spring Framework (Spring Boot, Spring Security, etc.): 5 years (Required) DevOps and CI/CD: 5 years (Preferred) Ability to Commute: Buffalo, NY 14233 (Required) Work Location: In person",nan,https://www.indeed.com/cmp/Venuiti-Solutions-1,nan,nan,,,,,,New York
in-11f631a7bc91d04e,indeed,https://www.indeed.com/viewjob?jk=11f631a7bc91d04e,TDP Software and AI Internship,GEICO,"New York, NY, US",2025-11-24,parttime,direct_data,yearly,56160.0,104000.0,USD,False,,,,"At GEICO, we offer a rewarding career where your ambitions are met with endless possibilities. Every day we honor our iconic brand by offering quality coverage to millions of customers and being there when they need us most. We thrive through relentless innovation to exceed our customers' expectations while making a real impact for our company through our shared purpose. When you join our company, we want you to feel valued, supported and proud to work here. That's why we offer The GEICO Pledge: Great Company, Great Culture, Great Rewards and Great Careers. TDP Software and AI Internship GEICO's summer internship will run from June 8, 2026, through August 14, 2026. GEICO's Tech team is seeking high-performing, creative tech students to join our software development summer internship. You will help drive our insurance business transformation as we redefine experience for our customers. Find real opportunities to apply the tech skills that you are learning in college and potentially secure a full-time engineering role upon graduation! GEICO's technology teams have positioned our company as a mobile, internet, and customer experience leader, proving that we are more than just an insurance company. We're a cutting-edge technology company, and we're growing and transforming all the time. Come be a part of this journey and help us build technology to disrupt the insurance industry, building experiences that will impact hundreds of millions of users! For Summer 2026, the TDP Software Internship offers two distinct tracks : one focused on Software Engineering and another dedicated to Artificial Intelligence (AI) . Successful applicants will be placed into the track that best aligns with their interests, academic coursework, and experience, ensuring hands-on experience with our GEICO Tech team. During your paid 10-week summer internship, you will: Have the unique opportunity to utilize your technology skills through individual assignments and team projects Work on significant Tech business projects, attend meetings, and give presentations to senior management Receive mentoring and coaching from members of GEICO's Technology Solutions management Interact with associates at all levels of our technology organization &ndash; even our CITO! Develop your technical, project management, and communication skills Candidate Qualifications & Skills: Currently pursuing a Bachelor's or Master's degree in Computer Science, Computer Engineering, Physics, Data Science, Machine Learning or other relevant engineering major, with expected graduation between December 2026 and May 2027 Cumulative GPA of 3.0 or higher (Please upload ALL transcripts as part of the application process) Advanced coursework and hands-on experience with at least one modern language such as Java, C++, or C# including object-oriented design Experience using vibing programming tools to develop systems Strong foundation in algorithms, data structures, and core computer science concepts Hands-on experience with user requirements, web applications, coding reviews and code quality Strong coding skills, with the ability to produce high quality code that is reusable and repeatable without being overly complex Strong analytical, problem-solving, programming and written and verbal English communication skills Knowledge of developer tooling across the software development lifecycle (task management, source code, building, deployment, operations, and real-time communication) Basic understanding of existing Operational Portals such as Azure Portal Basic understanding of HTML-5, JavaScript/TypeScript, XML, JSON, and RESTful Web Services Basic understanding of Monitoring Tools and Site Reliability Engineering (SRE) Basic understanding of PowerShell scripting Well-rounded experiences outside of the classroom with different technologies, resulting in projects that demonstrate strong engineering skills and abilities Previous professional software development internship preferred Interns will work hybrid (2-3 days week in office) out of designated locations. Candidate will participate in a technical skills assessment and multi-dimensional interviews as part of the internship selection process. Annual Salary $27.98 - $50.36 The above annual salary range is a general guideline. Multiple factors are taken into consideration to arrive at the final hourly rate/ annual salary to be offered to the selected candidate. Factors include, but are not limited to, the scope and responsibilities of the role, the selected candidate's work experience, education and training, the work location as well as market and business considerations. At this time, GEICO will not sponsor a new applicant for employment authorization for this position.",nan,https://www.indeed.com/cmp/Geico,"10,000+",Decline to state,"At GEICO, the opportunities to grow your talents go beyond what you imagined at an insurance company. Let's get started on your journey.",,,,,New York
in-f515f5bb44b6742f,indeed,https://www.indeed.com/viewjob?jk=f515f5bb44b6742f,COMPUTER PROGRAMMER/ANALYST - BUSH CAMPUS,GREATER SOUTHERN TIER BOCES,"Elmira, NY, US",2025-11-24,fulltime,nan,nan,,,nan,False,,,,"Full-time (1.0 FTE), 8-hour day, 12-month, Competitive Civil Service Position Prepares, analyzes and/or designs program specifications, documentation forms, flow charts and diagrams to adopt various types of operating methods for electronic data processing; Plans and prepares programming and operational specifications; May assist with the scheduling of projects within the programming area; Analyzes and modifies programs, systems and operations for completeness and accuracy through all phases of implementation and continued operation; Assists Programmers with the preparation and modification of programs and systems; Acts as liaison with user departments to insure the quality, accuracy and appropriateness of information input-output requirements and information flow; Attends meetings to integrate work within the County and to coordinate projects with other departments; Confers with other staff members on program ideas and methods to improve the system's productivity; Provides orientation, instruction and technical assistance to data processing staff members and others. Job Qualifications This is a competitive Civil Service position. The selected candidate must possess this title, be among the top three of a binding Civil Service Certificate of Eligible List for this title, or be among the top three after taking the required Civil Service exam for this title. Graduation from a regionally accredited college or university or one accredited by the New York State Board of Regents to grant degrees with a Bachelor's Degree or higher in Computer Science or a related field; or Graduation from a regionally accredited college or university or one accredited by the New York State Board of Regents to grant degrees with an Associate's Degree in Computer Science or a related field and two (2) years of experience in Computer Application Programming to include: Microsoft Visual Studio with C++, C#, or Visual Basic; SQL, .Net, Access, HTML, web development and/web programming; or Graduation from high school or possession of an equivalency diploma and four (4) years of experience in Computer Application Programming to include: Microsoft Visual Studio with C++, C#, or Visual Basic; SQL, .Net, Access, HTML, web development and/web programming; or A satisfactory equivalent combination of training and experience. Application Deadline: 12/10/2025 Civil Service Title: COMPUTER PROGRAMMER/ANALYST Job Number: 031 CSC25/26",nan,https://www.indeed.com/cmp/Greater-Southern-Tier-Boces,"501 to 1,000",nan,,,,,,New York
in-8f6cb5d22027c4c2,indeed,https://www.indeed.com/viewjob?jk=8f6cb5d22027c4c2,Software Engineer - C# / Python,Millennium Management,"New York, NY, US",2025-11-24,nan,direct_data,yearly,175000.0,250000.0,USD,False,,,,"Software Engineer - C# / Python The Finance Technology group at Millennium works closely with various business units and stakeholders to deliver critical business systems. The team's responsibilities include portfolio accounting technology, corporate accounting technology, tax reporting, partnership accounting, and various other business systems. The right candidate will have great interpersonal skills and a willingness to go above and beyond when collaborating with product management and fellow engineers. Candidates should have experience with Python and a variety of integration technologies such as Kafka and Rest API's. Significant domain experience is a big plus including broad financial product exposure, fund account technology experience, and back office experience. Responsibilities: Work closely with Finance, Middle office and operations team to understand business requirements, technical requests and data needs. Build integration components to communicate with streaming platforms and distributed systems Provide users access to datasets by building and enhancing REST APIs running in containerized environment Develop data architecture components for centralizing data definitions with data governance and stakeholders Implement distributed workflows and processes to coordinate complex business processes across systems Participate in sprint planning. Work with other team members to meet sprint goals across development teams Support what you build. Integrate testing automation at all levels. Have a DevOps mindset. Qualifications/Skills Required 5+ years software development experience Strong understanding of C#, Python, and/or other OO based languages. 2+ years of database development experience in SQL Server, Postgres DevOps experience Experience building, debugging and supporting distributed systems. Rest and/or event-based systems. Positive individual with strong communication skills; able to interface with business users and other development teams. Self-driven individual with ability to multi-task & work under pressure. Other Qualifications: Comfortable working in an iterative manner within a cross functional team Excellent listening and communication (both oral and written) skills Self-starter and critical thinker, takes ownership of own applications and makes improvement suggestions for the entire platform Proactive, assertive and attentive to details but also knows when to reach out to team members for help Excellent time-management and problem-solving skills Desirable skills/experience: UI Development Experience (Angular, React, or other JavaScript based frameworks) Understanding of cloud native development and architectures AWS Experience Docker experience Knowledge in accounting of different products The estimated base salary range for this position is $175,000 to $250,000, which is specific to New York and may change in the future. Millennium pays a total compensation package which includes a base salary, discretionary performance bonus, and a comprehensive benefits package. When finalizing an offer, we take into consideration an individual's experience level and the qualifications they bring to the role to formulate a competitive total compensation package.",nan,https://www.indeed.com/cmp/Millennium-Management-1,"5,001 to 10,000",Decline to state,"Millennium is a global alternative investment management firm, founded in 1989, which manages more than $45 billion in assets.",,,,,New York
in-14bf0d5e2e6aff6b,indeed,https://www.indeed.com/viewjob?jk=14bf0d5e2e6aff6b,Senior Developer,Intercontinental Exchange,"New York, NY, US",2025-11-24,fulltime,direct_data,yearly,150000.0,200000.0,USD,False,,,,"Overview: Job Purpose The New York Stock Exchange, a subsidiary of Intercontinental Exchange, Inc. (ICE) presents an opportunity for a full-time Senior C/C++ Developer to join a team responsible for systems development in a high throughput, low latency trading environment. The Senior Developer will have experience in all phases of software development lifecycle, from requirements gathering, to design, coding, unit testing, debugging and supporting in production. This position requires technical proficiency/problem solving as well as an eager attitude, professionalism and solid communication skills. The successful candidate will play a key role in building low-latency, high capacity and error-free multi asset routing applications, matching engines or back-end software systems to continue to maintain a leading position in low latency trading. The ideal candidate should be knowledgeable in multi-threading, relational database systems, C/C++ and associated debuggers. Strong written and oral communication as the applicant will frequently be interacting with the business and sales teams to achieve strategic business goals Responsibilities Analyze requirements and propose technical solutions in delivering projects within expected parameters of cost, time and quality Work with project managers to compile a work breakdown structure of tasks for a given deliverable and provide realistic estimates for completing the assignment Develop and unit test all functions created or modified according to software development best practices Collaborate with other Developers and QA Engineers to execute full cycle integration, functional and regression testing. Own and resolve all priority defects identified within the developer's codebase in a timely fashion Promote software changes across all environments, safely and responsibly, through to Live Production Provide on-call technical support during business and, occasionally, off hours depending on rotation and/or subject-matter expertise on a given component Participate in team exercises to identify and implement areas for continuous improvement Knowledge and Experience Bachelor's degree in Computer Science or Engineering. 5+ years hands on experience in C/C++ programming language on Linux Experience with C++ unit testing frameworks and continuous integration (CI) tools Experience with code analysis and coverage tools like Coverity, Valgrind, gcov 2+ years hands on scripting experience like python, perl, bash Strong understanding of TCP/IP and Multicast network protocols Strong multithreading and performance-oriented programming skills New York Base Salary Range The expected base salary for this role, if located in New York, is between $150,000 - 200,000 USD. The base salary range does not include Intercontinental Exchange's incentive compensation. While we provide this range as general guidance, at ICE we compensate employees based on the skillset and experience of the individual. Regular full-time ICE employees are eligible for a suite of competitive employee benefits, including healthcare coverage (medical, dental and vision), a 401(k) plan, life insurance, time off, and paid leave for qualifying circumstances. -: Intercontinental Exchange, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to legally protected characteristics.",nan,https://www.indeed.com/cmp/Intercontinental-Exchange,"5,001 to 10,000",$5B to $10B (USD),"Intercontinental Exchange, Inc. (ICE) is an American network of exchanges and clearing houses for financial and commodity markets.",,,,,New York
in-cba1cd7f17feb0c9,indeed,https://www.indeed.com/viewjob?jk=cba1cd7f17feb0c9,Senior Unity Engineer,Rushdown Studios,"Saratoga Springs, NY, US",2025-11-24,fulltime,direct_data,yearly,100000.0,150000.0,USD,True,,,,"About the Studio Founded by games industry veterans, Rushdown was created with a simple philosophy in mind: We believe that when talented developers are consistently challenged and given clear ownership of their work, extraordinary things will happen. As a co-dev game studio, we now focus on solving some of the most difficult problems that face multiplayer games &mdash; and we bring our experience working on games like PUBG, League of Legends, and Rocket League with us. We truly love the work we do and we want to funnel our passion and expertise into features and games that billions of players will enjoy worldwide. About the Role Rushdown Studios is looking for an experienced Unity Engineer to join us in support of our partner studio! In this role, you'll help to spearhead development on a high-profile mobile title, architecting scalable solutions and mentoring engineers while also tackling the technical challenges of bringing a beloved franchise to millions of players on iOS and Android. Our ideal candidate is a self-motivated and demonstrated team player with the ability to juggle and jump between different tasks as necessary. Prior game development experience is required for this role, but we encourage you to apply even if you don't meet all of the requirements listed below! Work Location: Rushdown Studios is based in Saratoga Springs, NY and we have a strong preference for local candidates willing to work from our office on a hybrid basis (i.e., Tuesday-Thursday). However, we also support fully remote work for candidates living across New York State or one of the other states in which we're currently registered to conduct business (e.g., CA, CT, GA, KS, MA, MD, MI, NC, OH, PA, TX, WI). Responsibilities Develop a wide variety of features for games utilizing the Unity Engine. Estimate and prioritize a backlog of existing features, bugs, and tech debt. Partner with designers to iterate on features and optimize for a smoother player experience. Collaborate with external partners to integrate new features for multiplayer games and ensure their features run as quickly and efficiently as possible. Conduct code reviews, providing constructive feedback to your peers and exemplifying the ability to write quality code. Debug issues as they arise on both PC and console. Requirements Five (5) or more years of professional experience building games in the Unity Engine. Excellent C# programming skills and the ability to architect a variety of gameplay mechanics and systems. Experience developing Unity games for mobile platforms (e.g., iOS, Android). Familiarity with platform app store guidelines and restrictions. Experience with data-driven design and programming patterns. Experience upgrading existing Unity projects to new long-term support (LTS) releases. Experience with multiplayer programming patterns and networking fundamentals. Experience with performance optimization and the Unity Asset pipeline. Experience working with SDKs and integrating third-party services. Experience with version control systems (e.g., Git, Perforce). Familiarity with Unity's rendering pipelines (e.g., URP, HDRP). Proactive approach to communication, particularly when it comes to unblocking yourself and navigating obstacles as part of a team. Willingness to selflessly put player experiences first &mdash; before even your own code and ego. Nice-to-Haves Shipped multiple games on iOS and Android platforms. Experience working with Unity's Editor Scripting systems. Experience working with custom networking stacks and third-party tools like Protobuf. Familiarity with Unity's Entity Component System and the broader Data-Oriented Tech Stack. A passion for games and the underlying technology that powers them. Benefits Compensation: $100,000-150,000/year. Please note that final base pay will ultimately depend upon a combination of factors, including your prior experience, general qualifications, and broader skill set. 9 Paid Holidays plus Flexible PTO and Annual Winter Break Closure Medical, Dental, and Vision Insurance Annual Video Game Budget 401(k) Retirement Plan Paid Parental Leave At Rushdown Studios, we believe that we're made better by each of the different perspectives that our team members bring to the table. We said it above, and we'll say it again: We want to hear from you, even if you don't meet all of the requirements for a specific role. We're also an equal opportunity employer and we do not discriminate on the basis of race; color; ancestry or national origin; religion; physical or mental disability; age; sex, including pregnancy; sexual orientation; gender, gender identity, or gender expression; medical condition; genetic information; or marital, military, or veteran status.",nan,https://www.indeed.com/cmp/Rushdown-Studios,11 to 50,nan,Amazing teams building excellent games with our favorite studios in the industry.,,,,,New York
in-9f899f9fe10ae991,indeed,https://www.indeed.com/viewjob?jk=9f899f9fe10ae991,"Sr. Staff Software Development Engineer, Adobe Firefly",Adobe,"New York, NY, US",2025-11-24,fulltime,direct_data,yearly,170500.0,320000.0,USD,False,,,,"Our Company Changing the world through digital experiences is what Adobe's all about. We give everyone-from emerging artists to global brands-everything they need to design and deliver exceptional digital experiences! We're passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen. We're on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours! The Opportunity The Adobe Firefly team is growing and looking to hire a Senior Staff Engineer . Adobe's Firefly organization is responsible for enabling creative solutions, using top AI models which empower end users to ideate and executive seamlessly. This impactful opportunity is for a Fullstack engineer to join Adobe's ever-growing Firefly team, to build modern tools for creators all around th e globe . The Team The best experiences are built by developers who have a strong sense of product and design . Such experiences are not built solely by developers, and that is why developers on Adobe Firefly partner closely with design, quality, product, and user research when crafting the next generation of design tools. We believe that a design tool should be lightweight and approachable, with low friction and amazing performance. This thinking is built into our approach to engineering. We favor excellence over shortcuts, and quality over scope . We also believe in transparent, open dialog with our customers, and continuous improvements to the product and ourselves. If you're looking to be part of a team that is building the future of v ideo and audio design tools, come join us ! The Role Hybrid role, based out of our NYC office. Develop high-performance, reliable, testable, and maintainable code. Develop user interfaces and interactions with nuance and attention to detail. Iterate rapidly to create a delightful user experience. Work closely with our internal team and customers alike to understand their workflows and needs and adapt quickly based on their feedback. Work well both independently and collaboratively within a fast-moving development team, with clear, positive, and constructive communication. Role Qualifications Bachelor's or Master's degree in computer science or equivalent experience. 7-10 years of professional development experience , particularly in an engineering capacity . Experience with JavaScript , Ruby on Rails , and React. An interest in and ability to learn new technologies , languages, and libraries. Desire to collaborate with multiple engineers, using concepts such as pair programming where applicable. Strong conviction in programming concepts and architectural design. Excellent verbal and written communication skills; can effectively articulate complex ideas and influence others through well-reasoned explanations. Bonus Qualifications Strong familiarity with and passion for design and design tools. Experience developing design tools. Experience working with Generative AI models within the audio/video space. Technical leadership experience . #FireflyGenAI Our compensation reflects the cost of labor across several U.S. geographic markets, and we pay differently based on those defined markets. The U.S. pay range for this position is $170,500 -- $320,000 annually. Pay within this range varies by work location and may also depend on job-related knowledge, skills, and experience. Your recruiter can share more about the specific salary range for the job location during the hiring process. At Adobe, for sales roles starting salaries are expressed as total target compensation (TTC = base + commission), and short-term incentives are in the form of sales commission plans. Non-sales roles starting salaries are expressed as base salary and short-term incentives are in the form of the Annual Incentive Plan (AIP). In addition, certain roles may be eligible for long-term incentives in the form of a new hire equity award. State-Specific Notices: California : Fair Chance Ordinances Adobe will consider qualified applicants with arrest or conviction records for employment in accordance with state and local laws and “fair chance” ordinances. Colorado: Application Window Notice If this role is open to hiring in Colorado (as listed on the job posting), the application window will remain open until at least the date and time stated above in Pacific Time, in compliance with Colorado pay transparency regulations. If this role does not have Colorado listed as a hiring location, no specific application window applies, and the posting may close at any time based on hiring needs. Massachusetts: Massachusetts Legal Notice It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability. Adobe is proud to be an Equal Employment Opportunity employer. We do not discriminate based on gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other applicable characteristics protected by law. Learn more. Adobe aims to make Adobe.com accessible to any and all users. If you have a disability or special need that requires accommodation to navigate our website or complete the application process, email accommodations@adobe.com or call (408) 536-3015.",nan,https://www.indeed.com/cmp/Adobe,"10,000+",$5B to $10B (USD),Let's Create Experiences that Matter.,,,,,New York
