FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,ABW,Aruba,WB_WDI_FP_CPI_TOTL,Consumer price index (2010 = 100),IX,Index,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,31.98245913814051,,,,39.85753701652687,41.46469576391306,41.91001266770813,43.4368134807205,44.79285367648797,46.5808177864629,49.29959467279195,52.03846104350273,54.05410597647049,56.87333028470828,60.46265149424587,62.49503766419891,64.51068259716655,66.4459695926078,67.6881693768789,69.23171142687565,72.03145659157516,74.10855877348055,76.56544038626126,79.36495241142123,81.37219481117633,84.13704848767328,87.17273371632184,91.87358252410228,100.1017686789653,97.96416676089686,100.0,104.316297421952,104.9708529722981,102.4808758541627,102.91277219904,103.4013645784572,102.4384952209171,101.3851388310483,105.0614059522266,109.534355432857,,,,,
A,Annual,AFG,Afghanistan,WB_WDI_FP_CPI_TOTL,Consumer price index (2010 = 100),IX,Index,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.52339480931578,71.5821433759539,76.43870300586678,83.07401872752943,105.0210647350049,97.86791083853127,100.0,111.8041858089129,119.0057313466162,127.7952230737319,133.768366733582,132.883209191418,138.7086655088913,145.6107414385931,146.5224818572093,149.8959752080322,158.2929797280159,166.4184803584343,189.2379527511203,180.4484010808902,168.5366671397985
A,Annual,AGO,Angola,WB_WDI_FP_CPI_TOTL,Consumer price index (2010 = 100),IX,Index,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.220081507307718e-08,4.080149797214184e-08,1.630059845455667e-07,2.410088483158379e-06,2.530092888958796e-05,0.0006999376972715,0.0297130970585905,0.0948372889505528,0.1965833051434299,0.6844950133372077,2.909082392950176,7.34720823610931,15.34812962938371,30.42369852526286,43.67081781502994,53.69480503121987,60.83901169529269,68.29270165928189,76.81278242835737,87.3593955494136,100.0,113.4824679218511,125.1460880778664,136.131179284704,146.0420563776038,159.7057105073752,208.7264441980452,271.0197658859882,324.2180676186002,379.5976070732742,464.1398371134648,583.6757794386613,708.3214355684797,804.9655331441319,1032.291783410658
A,Annual,ALB,Albania,WB_WDI_FP_CPI_TOTL,Consumer price index (2010 = 100),IX,Index,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.114499742529291,16.6735464306431,30.84685309668301,37.80746175219584,40.75387987017446,45.94000580924195,61.18302578482111,73.81295144817842,74.10040687432279,74.13747051686674,76.44135785455664,82.38125331474654,82.77998073243872,84.66738016154822,86.67110310374495,88.72583948945223,91.32788664083256,94.360767855428,96.4998529504904,100.0,103.428071301415,105.5293084311282,107.5740662635516,109.3230754033681,113.1507040532535,112.7350820442734,115.0580994078581,117.3915462738126,119.0480475709839,120.9776814420642,123.4474064890239,131.7494948221919,138.0185910481879,141.0769087785867
A,Annual,ARE,United Arab Emirates,WB_WDI_FP_CPI_TOTL,Consumer price index (2010 = 100),IX,Index,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.95312352042215,97.605246567666,99.12965816755396,100.0,100.8773465956851,101.5454258896049,102.6635612216307,105.0723241804427,109.3487321378537,111.1174348557019,113.3029209862707,116.7797727075676,114.5246605323427,112.1432311000253,112.345016399902,118.2894451665296,120.2136694744026,122.2132617005727
A,Annual,ARM,Armenia,WB_WDI_FP_CPI_TOTL,Consumer price index (2010 = 100),IX,Index,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.462030295706842,16.0498210283141,44.289693873561,52.5635338054846,59.9018047741462,65.0967806009243,65.5187677213725,65.0005904218581,67.0454470164194,67.756161803785,70.9553051421402,75.8946893809888,76.3796018037861,78.5887722763934,82.0524630946995,89.3961202671007,92.4416376368405,100.0,107.6500080785929,110.4037168987588,116.7957253299818,120.2777664380184,124.7661612548623,123.0149339844037,124.2076292979815,127.3379519785898,129.1760073267483,130.7408916965933,140.1344107348764,152.2433005726061,155.2583554825849,155.6767953478586
A,Annual,ATG,Antigua and Barbuda,WB_WDI_FP_CPI_TOTL,Consumer price index (2010 = 100),IX,Index,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.56938073394478,80.46158256880707,81.08256880733929,82.21999235474011,84.19956858890349,85.87811271297514,87.621505024028,89.46046308431634,91.05982415902147,92.34927916120584,97.27501092179996,96.7398427260813,100.0,103.4567496723461,106.9503604193972,108.0834971603321,109.261003713412,110.3197356924422,109.7797892092618,112.4501692878987,113.807620427883,115.4366126106557,116.1592339237618,118.5555947209793,127.484109443389,133.9439060302464,142.2469106041572
A,Annual,AUS,Australia,WB_WDI_FP_CPI_TOTL,Consumer price index (2010 = 100),IX,Index,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,7.960457856399584,8.142559833506764,8.116545265348595,8.168574401664934,8.40270551508845,8.688865764828304,8.975026014568158,9.287200832466182,9.521331945889695,9.83350676378772,10.17169614984391,10.79604578563996,11.44640998959417,12.48699271592092,14.41207075962539,16.59729448491155,18.80853277835588,21.12382934443288,22.81477627471384,24.89594172736733,27.41935483870968,30.02081165452654,33.42872008324662,36.78459937565037,38.24141519250781,40.81685744016649,44.51092611862643,48.30905306971904,51.79500520291363,55.69719042663892,59.78147762747139,61.68054110301769,62.30489073881374,63.39750260145682,64.64620187304891,67.6378772112383,69.40686784599376,69.56295525494276,70.16129032258065,71.20187304890739,74.37565036420396,77.6534859521332,79.9687825182102,82.15400624349635,84.07908428720083,86.3423517169615,89.4120707596254,91.49323621227887,95.47346514047868,97.16441207075962,100.0,103.3038501560874,105.1248699271592,107.7003121748179,110.3798126951093,112.0447450572321,113.4755463059313,115.6867845993757,117.89802289282,119.7970863683663,120.8116545265349,124.2715920915713,132.4661810613944,139.8803329864724,144.3028095733611
A,Annual,AUT,Austria,WB_WDI_FP_CPI_TOTL,Consumer price index (2010 = 100),IX,Index,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,17.82416674334272,18.45554148373508,19.26422614919936,19.78604914897071,20.55148503420749,21.56486157542716,22.00798079184038,22.88272604659061,23.51540240959771,24.23977185198705,25.29973451387014,26.48989933370387,28.17337114522095,30.29512971217931,33.1797677975074,35.98188500388617,38.61528598668605,40.73704754588033,42.19311940342797,43.75738751873575,46.52649737094674,49.69171442399833,52.39297133762169,54.14245885488629,57.20864686355078,59.03332627664367,60.04010693253682,60.88184084347138,62.0481645250985,63.6417774978375,65.7176910212227,67.91097100797707,70.6415677919718,73.20711783100796,75.36922370678683,77.0600314833087,78.4940964432539,79.51921252330517,80.25275117389155,80.70938432502265,82.60190869740742,84.79085991623238,86.32587792824567,87.49607156829819,89.2995460030087,91.35266567075082,92.6695586626601,94.6791492774124,97.72398369331177,98.2187688495277,100.0,103.2865791487538,105.8539484672147,107.9711927476181,109.7050069332599,110.6885818023683,111.6754720688494,113.9997391767711,116.2778869528291,118.057980056249,119.6894358363636,123.0008435611697,133.5135656754636,143.9464948325332,148.1755215654181
A,Annual,AZE,Azerbaijan,WB_WDI_FP_CPI_TOTL,Consumer price index (2010 = 100),IX,Index,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0430217786314559,0.0384485217639959,0.4721478566025707,8.320264830774233,42.57975749289022,51.00833652396168,52.88256036626333,52.473937940233,48.0004455223207,48.86685502179303,49.6229209998933,50.99805387966723,52.13728152009958,55.63513546432201,61.02034247362152,66.10268092842333,77.14166666666668,93.225,94.58333333333331,100.0,107.8583333333334,109.0083333333333,111.6416666666667,113.175,117.7333333333333,132.3833333333334,149.5083333333334,152.9,156.891564325,161.221472575,171.9431827583333,195.7611977916667,212.9596617666667,217.6706955396022
