Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","124","Canada","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","64.948845","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","64.736363","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","65.0905","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","65.232155","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","65.869603","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","66.436223","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","66.861188","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","66.507051","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","65.727948","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","65.515465","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","66.294568","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","67.427809","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","67.498636","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","68.206911","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","68.915187","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","69.198497","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","69.906772","X","Figure from external organization","base year is 2015"
