FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,ABW,Aruba,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.17877096,487709497.2067039,596648044.6927375,695530726.2569833,764804469.273743,872067039.1061453,958659217.877095,1083240223.4636872,1245810055.8659215,1320670391.0614524,1379888268.1564243,1531843575.4189944,1665363128.49162,1722905027.9329607,1873452513.9664805,1896456983.240224,1961843575.4189944,2044111731.843576,2254830726.256984,2360017318.435754,2469782681.5642457,2677641340.782123,2843024581.0055866,2553793296.089385,2453597206.7039104,2637859217.8770947,2615208379.888268,2727849720.670391,2790849720.670391,2962907262.5698323,2983635195.5307264,3092429050.27933,3276184357.541899,3395798882.6815643,2481857122.8401003,2929446578.2510448,3279343543.604156,3648573136.1515474,
A,Annual,AFE,Africa Eastern and Southern,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,24209933140.98925,24963256383.38211,27078015031.423,31774831212.193413,30284919141.181065,33812194393.026737,36933907896.9839,38451060071.14336,41749510602.93145,47056941587.25919,47602358397.42696,52197888095.67679,56735886018.86969,73096340026.78336,89551627351.33063,95312337397.3043,96023171889.5594,109227611657.03784,124105768857.16785,142125443087.5711,178504202321.60748,185157804112.60983,178399944240.9169,185817205250.524,170095168125.95224,149393853685.6462,160633055116.32343,190269043509.15265,207464333652.8348,220706095624.17163,256504902942.1142,277043404954.60785,241297872903.1721,240094759186.7469,243571144844.3443,273433173838.29303,273530987732.97537,288377676457.78705,268833469565.37592,265429291662.2156,287201651521.1626,260992228316.3101,267815037639.86145,355716369817.82904,442696186423.4276,516661066865.3956,580240750535.5022,665598701333.933,713502106251.4598,715485349813.3832,849409606774.9001,945439030450.4784,952998471719.3726,962441293816.426,978743758351.2782,898308853395.3586,828961170566.4347,973025126473.8944,1012291194268.215,1009746517725.4224,933407232177.0778,1085604883589.6544,1191638638185.2542,1133818271029.3923,1205973813871.4434
A,Annual,AFG,Afghanistan,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3521418059.923445,2813571753.8725324,3825701438.999633,4520946818.545814,5224896718.67782,6203256538.709669,6971758282.293506,9747886187.393929,10109297047.543194,12416152732.056717,15856668555.833595,17805098206.314083,19907329777.58717,20146416757.598675,20497128555.69723,19134221644.73249,18116572395.077213,18753456497.815865,18053222687.412624,18799444490.11278,19955929052.1496,14259995441.075909,14497243872.13374,17152234636.871508,
A,Annual,AFW,Africa Western and Central,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,11905107707.33407,12708033250.051147,13630920944.363655,14469258364.511011,15803936677.054266,16921238011.651451,18034328957.90011,16493846012.265997,17022944324.622583,19301601790.522976,26697431082.362865,24497038201.077465,29489666871.27729,36891334761.36866,49688193509.186775,57280847676.03798,68386320278.50548,71790695365.6203,78779099935.33167,96682239333.04112,120501079995.99762,216911025160.23245,195917937082.03897,151222762742.65814,131218159345.84557,137802915726.0134,109237001606.14787,112294774135.92232,111227154872.41908,103934371472.96432,123711320144.88084,129941884295.92316,124599331018.71233,129732603621.54916,134776833881.57298,207176966730.6081,262600874773.7577,275742249999.5811,296152427996.97534,139468349993.66473,142140075688.03537,150058483260.65912,179390065281.31378,207754986323.2488,258566656910.9489,317096476047.2647,402724221239.2568,471537814858.5069,575059454850.5073,515474028936.3757,606280114370.8868,691187455140.1849,748126849686.9178,844202569830.5531,903933677159.7228,778022060796.8097,700028171710.1697,694051344215.0453,777840407639.9272,833288902800.0247,797295175501.9727,858114511231.4341,893639944629.8606,814728528754.1882,670025655309.6033
A,Annual,AGO,Angola,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,5930503400.962631,5550483035.964972,5550483035.964972,5784341596.363394,6131475065.178155,7554065410.120997,7072536108.697105,8084412414.26566,8769836768.834816,10201780976.669563,11229515599.304768,10603784541.19696,8307810973.588479,5768720421.613673,4438321017.390678,5538749259.94714,7526421519.16979,7648380195.599022,6506221615.787223,6152923310.4454565,9129594970.153011,8936079117.731356,15285592370.37398,17812704586.43969,23552057679.499435,36970900883.810905,52381025141.42681,65266415494.25839,88538665084.86345,70307196181.65387,83799474069.73146,111789747670.5905,128052915766.34274,132339109040.23174,135966802586.7132,90496420506.59566,52761617225.925285,73690154990.73123,79450688259.36636,70897962732.02774,48501561203.56864,66505129987.72355,104399746853.4014,84875162197.01071,80396942241.62326
A,Annual,ALB,Albania,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,1578102105.2631578,1808177156.177156,1861163170.16317,1881412587.412588,1857337995.3379955,1897050116.5501163,2097326250.0,2080796250.0,2051236250.0,2253090000.0,2028553750.0,1099559027.7777777,652174990.8373039,1185315468.4629517,1880950864.4131143,2905092798.6191645,3234486232.0439167,2293666029.993184,2600356999.206139,3283941510.499638,3584570164.851953,4059064033.133788,4515003116.680365,5801712040.48463,7406645793.440382,8256658249.812802,9150528132.176329,11116937869.85684,13258506375.451752,12335540656.100584,12086545641.299042,12973755874.536465,12246499747.971436,12796985886.147848,13296322588.168371,11470171826.95748,11988668784.662786,13258268435.604792,15379508329.75682,15585111614.037556,15241455556.373676,18032009220.44049,19017244116.720253,23547180412.340405,27177735527.566666
A,Annual,AND,Andorra,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,78617711.09653251,89406608.14581512,113414397.3656347,150841639.29744396,186557081.9981368,220112572.20533124,227283850.83127123,253997897.22696805,308020261.16414887,411548748.3547291,446377776.79800063,388983266.1998864,375914743.5810058,327850042.5158724,330073080.6370984,346742714.67515206,481996012.869071,611299924.5405055,721425939.1515498,795489582.0449102,1028989692.0678709,1106891361.5394838,1209992020.2954278,1007090269.8695564,1017544068.8407956,1178745282.8678029,1224024139.212953,1180645571.8643036,1211953994.0571387,1240295103.079385,1432606188.693242,1548265808.0580215,1764279824.297522,2366941808.944043,2900245324.492212,3161084091.1167426,3459337986.8838334,3957625367.219591,4102319399.0234303,3688976340.754897,3449925738.860686,3629133574.2778273,3188652765.361844,3193512950.024186,3271685596.663212,2789881258.503616,2896610479.7307653,3000162081.1197567,3218419896.9641023,3155149347.806392,2891001149.361105,3324647529.3809986,3380612573.3292155,3785067331.762496,4039844390.225426
A,Annual,ARB,Arab World,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,19997084375.212936,20327670811.82207,22362957745.83785,24811627225.89809,26769289695.59468,28349126512.48073,30598797626.28335,34970677299.21828,38561008452.14828,43091222311.403496,49926770850.20025,59966658268.88519,79125367985.04263,152188729578.37494,168158579114.65634,209993347722.873,242270387243.75452,265398240303.4621,358111304353.0866,486405826809.64777,494916415270.1085,463080469432.7366,437471179625.5432,440182151059.0701,432868201224.0983,405473196686.7887,431257668997.916,429382834204.1643,457369060542.7253,641712235246.4226,467952893083.32587,467794315257.0669,478927015196.0031,499880123725.2935,528480485482.6163,570909722765.544,614596967130.0549,598789587273.9712,665415371173.9202,763411636190.425,744728537853.6204,746649261275.2719,830076468636.6003,987316008401.5898,1210080439500.2998,1439471041382.967,1674641032780.088,2118071078804.5205,1829849574764.629,2155345288815.1875,2565019402570.001,2805384177334.912,2874275588328.1147,2926204954050.536,2568631130655.528,2524102874214.64,2598475460609.5664,2907329557076.048,2949355029586.245,2596422612311.0547,3077906530882.0083,3738584480489.1606,3606002342262.318,3704768275595.8433
A,Annual,ARE,United Arab Emirates,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,685986701.3167013,939893599.6342008,1415086929.3006032,4231243615.860887,11651505689.424364,14720728248.535513,19213158778.7928,24871775164.60431,23775764224.68317,31225659620.995075,43599160050.332245,49333424135.11305,46622718605.28467,42803323345.137566,41807954235.90302,40603650231.54454,33943612094.79706,36384908744.21139,36275674203.21439,41464995913.91992,50701443748.29747,51552165622.446205,54239171887.769005,55625170253.33697,59305093979.84201,65743666575.86489,73571233996.18633,78839008444.56552,75674336283.18584,84445473110.95984,104337372362.15112,103311640571.81757,109816201497.61745,124346358066.71204,147824370319.94556,180617467964.6017,222116541865.21445,257916133424.098,315474615738.5977,253547358747.44727,300189052688.90405,360832739550.7148,384610125391.4227,400218529748.128,414105366752.8931,370275469571.1368,369255326235.5344,390516804029.95233,427049432157.9306,417989721742.6821,349473015330.15656,415178792756.9776,502731935194.0095,514130432648.06,537078829135.4663
A,Annual,ARG,Argentina,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,15865474315.405554,20132220374.90928,18337691145.368755,18272123664.47152,25605249381.75971,28344705966.63891,28630474727.90226,24256667553.25692,26436857247.498184,31256284543.61548,31584210365.54465,33293199095.48812,34733000536.28621,52544000116.90373,72436777342.45541,52438647921.9226,51169499892.17222,56781000101.08483,89049453088.32817,69252328951.6441,76961923741.0701,78676842366.5529,84307486836.72401,103979106777.911,116915052107.03088,88150891728.10643,105872372613.85706,108810885301.25256,126890235049.09248,76629728760.12296,141352654305.16275,189719984268.48453,228778917308.16983,236741715015.015,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.8602,127586973492.17664,164657930452.78662,198737095012.28165,232557260817.3077,287530508430.568,361558037110.41925,332976484577.6189,423627422092.4897,530158122010.4424,545982375701.128,552025140252.2463,526319673731.6383,594749285413.2124,557532320662.9546,643628393281.364,524819892360.1758,447754683615.22455,385740508436.9652,486564085480.0355,632790070063.1237,646075277525.1245,633266692533.6895
