FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
A,Annual,ABW,Aruba,IMF_WEO_PCPI,"Inflation, average consumer prices, Index",IX,Index,IMF_WEO,World Economic Outlook (WEO),0,Units,A,Normal value,PU,Public,,,,,,,37.995,39.378,40.607,42.227,44.692,47.173,48.999,51.557,54.797,56.667,58.463,60.22,61.343,62.738,65.294,67.178,69.405,71.942,73.762,76.268,79.021,83.28,90.74,88.801,90.646,94.612,95.153,92.896,93.287,93.731,92.857,91.902,95.235,98.986,97.686,98.413,103.845,,,,,,,
A,Annual,ABW,Aruba,IMF_WEO_PCPI,"Inflation, average consumer prices, Index",IX,Index,IMF_WEO,World Economic Outlook (WEO),0,Units,F,Forecast value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.34,109.857,111.85,113.992,116.269,118.592,120.962
A,Annual,AFG,Afghanistan,IMF_WEO_PCPI,"Inflation, average consumer prices, Index",IX,Index,IMF_WEO,World Economic Outlook (WEO),0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,31.263,42.413,49.351,54.566,58.269,63.327,80.057,74.604,76.229,85.227,90.717,97.417,101.97,101.296,105.736,110.998,111.693,114.264,120.671,130.038,143.822,,,,,,,
A,Annual,AGO,Angola,IMF_WEO_PCPI,"Inflation, average consumer prices, Index",IX,Index,IMF_WEO,World Economic Outlook (WEO),0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,0.001,0.027,0.088,0.183,0.637,2.707,6.838,14.284,28.313,40.637,49.968,56.616,63.551,71.472,81.278,93.047,105.594,116.454,126.681,135.927,148.377,193.92,251.795,301.218,352.664,431.227,542.334,658.179,747.946,,,,,,
A,Annual,AGO,Angola,IMF_WEO_PCPI,"Inflation, average consumer prices, Index",IX,Index,IMF_WEO,World Economic Outlook (WEO),0,Units,F,Forecast value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912.523,1029.49,1117.07,1200.2,1289.53,1385.5
A,Annual,ALB,Albania,IMF_WEO_PCPI,"Inflation, average consumer prices, Index",IX,Index,IMF_WEO,World Economic Outlook (WEO),0,Units,A,Normal value,PU,Public,,,,,,,,,,3.391,3.385,4.594,14.976,27.706,33.958,36.605,41.266,54.953,66.298,66.556,66.582,68.66,72.231,73.938,76.058,77.855,79.7,82.059,84.775,86.667,89.8,92.892,94.783,96.608,98.167,100.0,101.287,103.297,105.393,106.88,108.613,110.831,118.286,,,,,,,
A,Annual,ALB,Albania,IMF_WEO_PCPI,"Inflation, average consumer prices, Index",IX,Index,IMF_WEO,World Economic Outlook (WEO),0,Units,F,Forecast value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.927,128.259,132.105,136.011,140.095,144.331,148.659
A,Annual,AND,Andorra,IMF_WEO_PCPI,"Inflation, average consumer prices, Index",IX,Index,IMF_WEO,World Economic Outlook (WEO),0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,72.611,74.882,77.17,79.413,82.213,85.241,87.508,91.312,90.201,91.74,94.081,95.461,95.914,95.822,94.737,94.337,96.777,97.741,98.259,98.35,99.999,106.202,112.157,,,,,,
A,Annual,AND,Andorra,IMF_WEO_PCPI,"Inflation, average consumer prices, Index",IX,Index,IMF_WEO,World Economic Outlook (WEO),0,Units,F,Forecast value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.941,119.795,122.256,124.334,126.448,128.597
A,Annual,ARE,United Arab Emirates,IMF_WEO_PCPI,"Inflation, average consumer prices, Index",IX,Index,IMF_WEO,World Economic Outlook (WEO),0,Units,A,Normal value,PU,Public,66.7,72.0,77.1,78.1,80.0,82.8,87.3,92.1,96.7,99.4,100.0,103.4,110.0,115.8,122.4,127.7,131.5,135.4,138.1,141.0,142.9,146.901,151.188,155.904,163.763,173.909,190.057,211.206,237.097,225.895,227.88,229.875,231.398,233.953,239.441,249.181,253.214,258.192,266.12,260.972,255.554,255.265,267.588,,,,,,,
